vendorCode;oem;ранг;карточек;выручка_год_₽
5426;DR-316;171;1;28816
0932;T2621XL-T2634XL;172;2;28700
1328;CLT-K404S;173;4;28604
3671;106R03767;174;2;28594
0506;E260A21E;175;3;28251
1216;SP101E;176;2;27692
0058;PGI-9;177;1;27676
5546;067BK;178;3;27595
5348;109R00748;179;2;27497
4382;122;180;1;27406
4542;W1106XL;181;1;27294
2152;CF540A;182;2;27130
3486;PG-445XL;183;1;27005
3709;TN-321;184;1;26977
0740;Q6000A;185;6;26913
3169;106R03941;186;3;26789
4266;006R01703;187;1;26582
0817;№177XL;188;2;26227
3855;№774BK;189;7;26167
5969;TN-2510XL;190;2;26140
1214;TK-895;191;2;25958
0195;;192;6;25913
2213;LX-350;193;4;25704
1319;45807106;194;4;25549
1864;106R01582;195;1;25396
3553;TN-514;196;1;25188
0303;;197;6;25160
3560;PFI-120MBK;198;2;24629
0099;56-57;199;2;24622
3265;PC-110H;200;6;24553
2764;TK-8335;201;1;24268
1306;50F5H00;202;3;24255
2049;TNP-24;203;4;24105
1156;CF360X-CF363X;204;1;24023
6405;TN-116/TN-118;205;3;23970
5715;TK-7235;206;3;23877
1112;106R02612-106R02609;207;2;23843
0121;TK-420;208;5;23839
4367;;209;3;23761
5527;W1450X;210;3;23620
4802;PC-211EV;211;3;23369
3412;TK-8800;212;2;23352
1384;731H;213;4;23268
3769;W2072X;214;2;23020
6659;;215;1;22878
2769;TK-8345;216;2;22513
