account,sku,assigned_group,applied,причина
oz_acc1,1153761003,A,true,
oz_acc1,1153761675,A,true,
oz_acc1,1153764314,A,true,
oz_acc1,1153765331,A,true,
oz_acc1,1153766081,A,true,
oz_acc1,1153766839,A,true,
oz_acc1,1153766915,A,true,
oz_acc1,1153767114,A,true,
oz_acc1,1153768476,A,true,
oz_acc1,1153774188,A,true,
oz_acc1,1153791042,A,true,
oz_acc1,1153791353,A,true,
oz_acc1,1153791443,A,true,
oz_acc1,1153791956,A,true,
oz_acc1,1153792059,A,true,
oz_acc1,1153792643,A,true,
oz_acc1,1153793323,A,true,
oz_acc1,1153794031,A,true,
oz_acc1,1153794215,A,true,
oz_acc1,1153794240,A,true,
oz_acc1,1153794410,A,true,
oz_acc1,1153794551,A,true,
oz_acc1,1153794676,A,true,
oz_acc1,1153795007,A,true,
oz_acc1,1153795181,A,true,
oz_acc1,1153795212,A,true,
oz_acc1,1153795316,A,true,
oz_acc1,1153795515,A,true,
oz_acc1,1153795904,A,true,
oz_acc1,1153796059,A,true,
oz_acc1,1153796155,A,true,
oz_acc1,1153796686,A,true,
oz_acc1,1153797048,A,true,
oz_acc1,1153797412,A,true,
oz_acc1,1153797649,A,true,
oz_acc1,1153798177,A,true,
oz_acc1,1153798207,A,true,
oz_acc1,1153799400,A,true,
oz_acc1,1153799408,A,true,
oz_acc1,1153799780,A,true,
oz_acc1,1153799855,A,true,
oz_acc1,1153799900,A,true,
oz_acc1,1153801473,A,true,
oz_acc1,1153802283,A,true,
oz_acc1,1153802593,A,true,
oz_acc1,1153802885,A,true,
oz_acc1,1153803975,A,true,
oz_acc1,1153804810,A,true,
oz_acc1,1153805610,A,true,
oz_acc1,1153806006,A,true,
oz_acc1,1153806846,A,true,
oz_acc1,1153807103,A,true,
oz_acc1,1153807740,A,true,
oz_acc1,1153810035,A,true,
oz_acc1,1153810073,A,true,
oz_acc1,1153811575,A,true,
oz_acc1,1153811577,A,true,
oz_acc1,1153812676,A,true,
oz_acc1,1153814126,A,true,
oz_acc1,1153824075,A,true,
oz_acc1,1153825314,A,true,
oz_acc1,1153826334,A,true,
oz_acc1,1153909536,A,true,
oz_acc1,1153913063,A,true,
oz_acc1,1155648730,A,true,
oz_acc1,1155648836,A,true,
oz_acc1,1155648852,A,true,
oz_acc1,1155648881,A,true,
oz_acc1,1155648965,A,true,
oz_acc1,1155649277,A,true,
oz_acc1,1155649369,A,true,
oz_acc1,1155649380,A,true,
oz_acc1,1155649421,A,true,
oz_acc1,1155650760,A,true,
oz_acc1,1156701919,A,true,
oz_acc1,1156701923,A,true,
oz_acc1,1158623085,A,true,
oz_acc1,1158623116,A,true,
oz_acc1,1158623346,A,true,
oz_acc1,1158623424,A,true,
oz_acc1,1158623461,A,true,
oz_acc1,1158623491,A,true,
oz_acc1,1158627128,A,true,
oz_acc1,1160759593,A,true,
oz_acc1,1160759760,A,true,
oz_acc1,1163040863,A,true,
oz_acc1,1163040895,A,true,
oz_acc1,1163040979,A,true,
oz_acc1,1163040995,A,true,
oz_acc1,1163041042,A,true,
oz_acc1,1163041057,A,true,
oz_acc1,1163041073,A,true,
oz_acc1,1163041143,A,true,
oz_acc1,1163041160,A,true,
oz_acc1,1163041176,A,true,
oz_acc1,1163041195,A,true,
oz_acc1,1163041204,A,true,
oz_acc1,1163041306,A,true,
oz_acc1,1163041317,A,true,
oz_acc1,1163041442,A,true,
oz_acc1,1165086207,A,true,
oz_acc1,1165086377,A,true,
oz_acc1,1165086390,A,true,
