account,sku,assigned_group,applied,причина
oz_acc1,1003270833,B,true,
oz_acc1,1043864490,B,true,
oz_acc1,1103307108,B,true,
oz_acc1,1129396111,B,true,
oz_acc1,1131187123,B,true,
oz_acc1,1131187451,B,true,
oz_acc1,1131187506,B,true,
oz_acc1,1131187738,B,true,
oz_acc1,1131187836,B,true,
oz_acc1,1131187921,B,true,
oz_acc1,1131187953,B,true,
oz_acc1,1131188002,B,true,
oz_acc1,1134975943,B,true,
oz_acc1,1134976330,B,true,
oz_acc1,1134976395,B,true,
oz_acc1,1134976513,B,true,
oz_acc1,1134976523,B,true,
oz_acc1,1134976561,B,true,
oz_acc1,1134976774,B,true,
oz_acc1,1137065735,B,true,
oz_acc1,1137065756,B,true,
oz_acc1,1137065906,B,true,
oz_acc1,1137066020,B,true,
oz_acc1,1137066102,B,true,
oz_acc1,1137066155,B,true,
oz_acc1,1137066179,B,true,
oz_acc1,1137066236,B,true,
oz_acc1,1137066415,B,true,
oz_acc1,1137066513,B,true,
oz_acc1,1139101677,B,true,
oz_acc1,1139101728,B,true,
oz_acc1,1139101837,B,true,
oz_acc1,1141050716,B,true,
oz_acc1,1141050805,B,true,
oz_acc1,1141050827,B,true,
oz_acc1,1141050829,B,true,
oz_acc1,1141050869,B,true,
oz_acc1,1141050899,B,true,
oz_acc1,1141050936,B,true,
oz_acc1,1141051070,B,true,
oz_acc1,1141051099,B,true,
oz_acc1,1143057954,B,true,
oz_acc1,1143058029,B,true,
oz_acc1,1143058098,B,true,
oz_acc1,1143059199,B,true,
oz_acc1,1143059756,B,true,
oz_acc1,1143060364,B,true,
oz_acc1,1143060605,B,true,
oz_acc1,1143060724,B,true,
oz_acc1,1143061465,B,true,
oz_acc1,1143061793,B,true,
oz_acc1,1143061849,B,true,
oz_acc1,1143062125,B,true,
oz_acc1,1143062246,B,true,
oz_acc1,1143062369,B,true,
oz_acc1,1143062434,B,true,
oz_acc1,1143063110,B,true,
oz_acc1,1143069550,B,true,
oz_acc1,1146397975,B,true,
oz_acc1,1150859249,B,true,
oz_acc1,1153088960,B,true,
oz_acc1,1153122576,B,true,
oz_acc1,1153214460,B,true,
oz_acc1,1153214475,B,true,
oz_acc1,1153214680,B,true,
oz_acc1,1153214682,B,true,
oz_acc1,1153214702,B,true,
oz_acc1,1153214807,B,true,
oz_acc1,1153214957,B,true,
oz_acc1,1153215003,B,true,
oz_acc1,1153215054,B,true,
oz_acc1,1153215482,B,true,
oz_acc1,1153215802,B,true,
oz_acc1,1153216099,B,true,
oz_acc1,1153216113,B,true,
oz_acc1,1153216167,B,true,
oz_acc1,1153216249,B,true,
oz_acc1,1153216296,B,true,
oz_acc1,1153216412,B,true,
oz_acc1,1153216606,B,true,
oz_acc1,1153216617,B,true,
oz_acc1,1153216806,B,true,
oz_acc1,1153217435,B,true,
oz_acc1,1153217437,B,true,
oz_acc1,1153217469,B,true,
oz_acc1,1153217720,B,true,
oz_acc1,1153217821,B,true,
oz_acc1,1153217916,B,true,
oz_acc1,1153219928,B,true,
oz_acc1,1153220922,B,true,
oz_acc1,1153224507,B,true,
oz_acc1,1153228103,B,true,
oz_acc1,1153229868,B,true,
oz_acc1,1153229872,B,true,
oz_acc1,1153384638,B,true,
oz_acc1,1153396499,B,true,
oz_acc1,1153396733,B,true,
oz_acc1,1153396814,B,true,
oz_acc1,1153405213,B,true,
oz_acc1,1153406512,B,true,
oz_acc1,1153410287,B,true,
oz_acc1,1153415414,B,true,
oz_acc1,1153439537,B,true,
oz_acc1,1153459776,B,true,
oz_acc1,1153650286,B,true,
oz_acc1,1153650503,B,true,
oz_acc1,1153659419,B,true,
oz_acc1,1153660249,B,true,
oz_acc1,1153662973,B,true,
oz_acc1,1153666328,B,true,
oz_acc1,1153668544,B,true,
oz_acc1,1153669367,B,true,
oz_acc1,1153669925,B,true,
oz_acc1,1153670088,B,true,
oz_acc1,1153670128,B,true,
oz_acc1,1153671111,B,true,
oz_acc1,1153671690,B,true,
oz_acc1,1153672020,B,true,
oz_acc1,1153672956,B,true,
oz_acc1,1153673552,B,true,
oz_acc1,1153679066,B,true,
oz_acc1,1153714692,B,true,
oz_acc1,1153720330,B,true,
oz_acc1,1153720507,B,true,
oz_acc1,1153720736,B,true,
oz_acc1,1153721322,B,true,
oz_acc1,1153722514,B,true,
oz_acc1,1153722707,B,true,
oz_acc1,1153722796,B,true,
oz_acc1,1153723349,B,true,
oz_acc1,1153724645,B,true,
oz_acc1,1153725193,B,true,
oz_acc1,1153725383,B,true,
oz_acc1,1153725940,B,true,
oz_acc1,1153727400,B,true,
oz_acc1,1153729071,B,true,
oz_acc1,1153731924,B,true,
oz_acc1,1153739424,B,true,
oz_acc1,1153739429,B,true,
oz_acc1,1153739965,B,true,
oz_acc1,1153740080,B,true,
oz_acc1,1153740082,B,true,
oz_acc1,1153740719,B,true,
oz_acc1,1153741724,B,true,
oz_acc1,1153741823,B,true,
