core,sku,offer_id,ad_days_baseline,ad_views_baseline,spend_baseline,units_baseline,stock_baseline,price_baseline,price_swing_baseline,в_когорте,причина_исключения
CORE_A,1261462713,4699,12,78,16.89,0.0,6.0,22140.0,0.0,1,
CORE_A,1261504774,4693,13,322,31.95,3.0,24.0,3402.0,0.0,1,
CORE_A,1261505490,4721,13,46,0.0,1.0,77.0,8209.0,0.0,1,
CORE_A,1261505784,4659,13,93,11.74,0.0,11.0,3300.0,0.0,1,
CORE_A,1261506552,4719,8,78,0.0,1.0,40.0,18415.33,280.0,1,
CORE_A,1261508830,4654,13,79,0.0,2.0,51.0,5701.0,0.0,1,
CORE_A,1261562713,4887,13,51,0.0,0.0,4564.0,3620.67,128.0,1,
CORE_A,1261568225,4886,13,49,0.0,0.0,1450.0,6865.0,15.0,1,
CORE_A,1261568767,5277,13,97,1.0,1.0,19.0,1779.0,0.0,1,
CORE_A,1261572046,5302,13,177,9.67,1.0,15.0,1106.0,0.0,1,
CORE_A,1261572756,5276,13,162,0.0,1.0,28.0,2141.0,0.0,1,
CORE_A,1261574043,5249,13,57,0.0,4.0,407.0,3645.0,0.0,1,
CORE_A,1261579634,5300,13,140,7.54,0.0,11.0,1226.0,0.0,1,
CORE_A,1268493002,4538,13,96,0.0,0.0,904.0,7235.33,16.0,1,
CORE_A,1268514030,4746,13,128,0.0,1.0,1063.0,7157.0,0.0,1,
CORE_A,1273237792,4745,13,87,0.0,0.0,520.0,7799.0,0.0,1,
CORE_A,1277712086,4653,13,49,0.0,0.0,265.0,4182.0,0.0,1,
CORE_A,1277712112,4656,13,312,23.48,1.0,55.0,3109.0,0.0,1,
CORE_A,1277712290,4658,13,113,15.1,0.0,187.0,2220.0,0.0,1,
CORE_A,1282821536,4837,13,213,8.6,14.0,928.0,8403.0,0.0,1,
CORE_A,1339739137,5362,13,79,0.0,0.0,1791.0,2267.33,63.0,1,
CORE_A,1340720562,5363,12,36,9.81,0.0,1835.0,2267.33,63.0,1,
CORE_A,1340723402,5361,12,21,0.0,0.0,1308.0,2267.33,63.0,1,
CORE_A,1341427985,4554,13,35,0.0,0.0,154.0,2448.0,0.0,1,
CORE_A,1341428709,4556,13,123,15.47,0.0,12.0,2236.0,0.0,1,
CORE_A,1341429588,4559,13,94,6.85,0.0,23.0,2290.0,0.0,1,
CORE_A,1341430114,4555,13,86,0.0,0.0,37.0,2696.0,0.0,1,
CORE_A,1510949596,5365,12,22,0.0,0.0,14.0,4811.0,0.0,1,
CORE_A,1510949677,5384,13,114,14.01,2.0,388.0,4559.0,0.0,1,
CORE_A,1510952685,5413,13,140,5.43,0.0,209.0,864.0,0.0,1,
CORE_A,1510953436,5421,13,155,0.0,4.0,1350.0,3933.67,7.0,1,
CORE_A,1510953548,5420,13,267,19.42,7.0,1632.0,3933.67,7.0,1,
CORE_A,1510954439,5419,13,104,0.0,4.0,1357.0,4045.67,13.0,1,
CORE_A,1547264054,5417,13,45,0.0,0.0,322.0,2340.67,8.0,1,
CORE_A,1548617454,5437,9,22,0.0,0.0,133.0,8491.67,53.0,1,
CORE_A,1549876075,5415,13,41,0.0,0.0,74.0,747.0,9.0,1,
CORE_A,1556487050,4568,13,102,6.92,0.0,495.0,2802.0,0.0,1,
CORE_A,1567180375,5482,10,20,0.0,0.0,1862.0,2283.0,0.0,1,
CORE_A,1569982713,5416,13,35,0.0,3.0,69.0,747.0,9.0,1,
CORE_A,1586846935,5495,13,44,0.0,0.0,691.0,1346.0,0.0,1,
CORE_A,1586847014,5499,12,77,20.55,2.0,326.0,5292.0,0.0,1,
CORE_A,1665177812,5550,13,69,0.0,1.0,23.0,4992.0,0.0,1,
CORE_A,1672231457,5597,7,13,0.0,0.0,3664.0,5093.0,87.0,1,
CORE_A,1692297090,4856,13,62,5.69,0.0,13.0,14899.0,0.0,1,
CORE_A,1692337866,5471,13,140,0.0,1.0,43.0,1037.0,0.0,1,
CORE_A,1692340168,5473,13,119,0.0,1.0,36.0,1037.0,0.0,1,
CORE_A,1692340899,5475,13,129,0.0,1.0,205.0,1037.0,0.0,1,
CORE_A,1692352506,5290,13,150,0.0,0.0,320.0,5036.0,0.0,1,
CORE_A,1692353560,5325,13,57,0.0,0.0,10.0,53912.0,0.0,1,
CORE_A,1692376623,5508,13,114,9.94,0.0,30.0,16295.0,0.0,1,
CORE_A,1692377098,5509,13,85,0.0,0.0,20.0,18601.0,45.0,1,
CORE_A,1692456149,5579,12,47,0.0,0.0,511.0,2937.0,0.0,1,
CORE_A,1692460548,5582,13,56,10.89,0.0,167.0,4343.0,0.0,1,
CORE_A,1692467906,5587,13,43,0.0,0.0,75.0,8923.0,0.0,1,
CORE_A,1692481223,5596,9,14,0.0,0.0,1847.0,4163.0,0.0,1,
CORE_A,1692496606,5632,11,40,0.0,0.0,562.0,2299.0,0.0,1,
CORE_A,1692497034,5630,13,58,0.0,0.0,688.0,2299.0,0.0,1,
CORE_A,1692497601,5628,13,193,0.0,4.0,153.0,7188.0,0.0,1,
CORE_A,1692502062,5627,9,77,0.0,4.0,130.0,7188.0,0.0,1,
CORE_A,1692502756,5625,13,133,6.28,4.0,373.0,5053.0,0.0,1,
CORE_A,1692606006,5602,11,40,0.0,0.0,353.0,7292.67,125.0,1,
CORE_A,1716069603,4649,13,115,0.0,0.0,62.0,8740.0,0.0,1,
CORE_A,1716069616,4648,11,42,4.04,0.0,98.0,8740.0,0.0,1,
CORE_A,1716069802,5289,13,100,0.0,0.0,226.0,4571.0,0.0,1,
CORE_A,1717844452,5715,12,43,0.0,0.0,104.0,14187.0,0.0,1,
CORE_A,1719285984,5720,8,12,0.0,1.0,444.0,4529.0,0.0,1,
CORE_A,1719288406,5721,9,15,0.0,1.0,444.0,4529.0,0.0,1,
CORE_A,1719302433,5703,13,46,0.0,0.0,141.0,3817.0,12.0,1,
CORE_A,1744145180,5736,13,89,0.0,2.0,52.0,10467.0,0.0,1,
CORE_A,1744145189,5735,12,45,0.0,1.0,52.0,7883.0,0.0,1,
CORE_A,1744145207,5734,13,106,0.0,3.0,52.0,10467.0,0.0,1,
CORE_A,1744145404,5730,13,286,9.15,0.0,352.0,5077.67,11.0,1,
CORE_A,1766855608,5758,13,314,20.99,5.0,309.0,827.0,0.0,1,
CORE_A,1766867228,5759,13,272,9.49,1.0,295.0,799.0,0.0,1,
CORE_A,1769024533,5760,13,93,0.0,0.0,342.0,809.0,0.0,1,
CORE_A,1769025213,5761,13,211,0.0,0.0,308.0,762.0,0.0,1,
CORE_A,1769025853,5762,13,250,6.76,0.0,352.0,821.0,9.0,1,
CORE_A,1769026958,5763,13,112,0.0,0.0,357.0,821.0,9.0,1,
CORE_A,1770287314,5757,12,34,0.0,0.0,215.0,6120.67,17.0,1,
CORE_A,1771581290,5719,13,142,0.0,4.0,448.0,5003.0,0.0,1,
CORE_A,1851950392,5832,13,76,0.0,1.0,48.0,15244.67,86.0,1,
CORE_A,1851967374,5822,11,24,0.0,0.0,357.0,4653.67,17.0,1,
CORE_A,1852015549,5816,13,123,17.56,0.0,262.0,12396.33,76.0,1,
CORE_A,1855059066,5704,12,48,0.0,1.0,350.0,4268.0,69.0,1,
CORE_A,1855280127,5808,13,141,0.0,1.0,20.0,8693.0,0.0,1,
CORE_A,1869842194,5594,13,64,0.0,0.0,44.0,6213.0,0.0,1,
CORE_A,1893948328,5841,13,124,0.0,3.0,100.0,710.0,9.0,1,
CORE_A,1897483833,5848,13,34,0.0,0.0,422.0,1695.33,7.0,1,
CORE_A,1897483849,5845,10,64,3.0,6.0,5.0,7815.0,0.0,1,
CORE_A,1897483901,5869,10,30,7.28,0.0,58.0,6532.67,161.0,1,
CORE_A,1910266948,5844,12,69,12.78,0.0,100.0,19720.33,424.0,1,
CORE_A,1999376047,5953,13,107,19.77,0.0,409.0,6729.0,0.0,1,
CORE_A,1999437759,5969,13,48,0.0,2.0,112.0,2960.0,0.0,1,
CORE_A,1999529482,6067,13,64,0.0,0.0,604.0,17639.33,103.0,1,
CORE_A,1999553855,6071,13,50,0.0,0.0,52.0,8235.0,0.0,1,
CORE_A,1999662883,6002,11,31,0.0,1.0,33.0,2102.0,0.0,1,
CORE_A,2041924531,6078,13,79,0.0,0.0,866.0,1913.0,0.0,1,
CORE_A,2129693145,6120,11,28,0.0,0.0,33.0,3598.0,0.0,1,
CORE_A,2129702230,6173,12,62,0.0,0.0,470.0,4544.0,63.0,1,
CORE_A,2201276314,1278,8,25,0.0,0.0,10750.0,2962.33,52.0,1,
CORE_A,2201335721,1998,13,105,0.0,0.0,94.0,9879.0,0.0,1,
CORE_A,2203206777,2954,10,17,18.5,0.0,2266.0,2332.33,86.0,1,
CORE_A,2205638000,3355,12,95,0.0,4.0,849.0,2516.0,0.0,1,
CORE_A,2205679278,0989,13,65,0.0,0.0,199.0,2621.0,0.0,1,
CORE_A,2226478970,1483,12,46,7.12,0.0,636.0,1355.0,0.0,1,
CORE_A,2262643108,6235,12,73,0.0,0.0,51.0,12420.0,0.0,1,
CORE_A,2524669171,6262,13,122,6.12,1.0,593.0,20214.67,53.0,1,
CORE_A,2557329291,6294,7,12,0.0,0.0,85.0,9248.0,0.0,1,
CORE_A,2569522518,4855,13,66,0.0,0.0,17.0,14899.0,0.0,1,
CORE_A,2661349069,6384,12,67,0.0,0.0,2244.0,8987.0,0.0,1,
CORE_A,2784834038,5429,12,87,13.42,0.0,806.0,2316.67,8.0,1,
CORE_A,2994162599,1221,13,48,0.0,0.0,191.0,651.0,0.0,1,
CORE_A,2999084930,1086,11,34,0.0,0.0,51.0,22221.0,0.0,1,
CORE_A,2999096121,1645,12,27,15.4,0.0,6.0,1842.0,0.0,1,
CORE_A,2999115112,5377,13,50,1.0,4.0,688.0,4710.0,0.0,1,
CORE_A,2999199646,1231,12,28,0.0,0.0,461.0,1046.0,0.0,1,
CORE_A,3006265875,1225,8,12,0.0,0.0,160.0,1083.0,9.0,1,
