кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
all powers,11,9,4,0.444,1,6,0,0.0,0,0.0,0.0,57.0
dk-1150,33,16,7,0.438,14,56,10,0.0,0,101.0,0.0,11304.0
tk-5450,31,16,7,0.438,11,19,10,25061.0,1,70.0,0.0,24787.0
canon pixma g640,26,23,10,0.435,2,16,1,0.0,0,70.0,0.0,1196.0
tk-5240,17,7,3,0.429,7,22,2,0.0,0,232.0,7.0,42606.0
принтер цветной лазерный,24,14,6,0.429,4,52,2,0.0,0,68.0,0.0,27703.0
c612,10,7,3,0.429,3,11,2,0.0,0,5.0,0.0,4480.0
tk-1270,11,7,3,0.429,3,5,3,0.0,0,0.0,0.0,192.0
3004,10,7,3,0.429,3,6,2,0.0,0,1.0,0.0,7005.0
page10,10,7,3,0.429,3,2,3,0.0,0,0.0,0.0,18.0
8600,10,7,3,0.429,2,11,1,3351.0,1,155.0,34.0,9742.0
dv,9,7,3,0.429,1,17,0,0.0,0,30.0,0.0,495.0
esi,8,7,3,0.429,1,11,1,0.0,0,0.0,0.0,35.0
pg-445,8,7,3,0.429,1,5,0,0.0,0,44.0,0.0,8586.0
panasonic dp-ub450,8,7,3,0.429,1,5,1,0.0,0,0.0,0.0,15.0
арп,20,19,8,0.421,1,6,0,0.0,0,75.0,6.0,16091.0
3ds,12,5,2,0.4,7,30,4,0.0,0,114.0,16.0,35179.0
canon maxify,12,5,2,0.4,7,11,2,0.0,0,209.0,28.0,14021.0
108r01121,12,5,2,0.4,6,16,1,0.0,0,259.0,0.0,17451.0
pantum p2500nw,10,5,2,0.4,4,11,4,0.0,0,0.0,0.0,4432.0
фотобарабан,11,5,2,0.4,4,28,0,0.0,0,130.0,4.0,16551.0
vigi c350,8,5,2,0.4,3,7,2,0.0,0,3.0,0.0,107.0
006r01828,8,5,2,0.4,3,11,3,0.0,0,0.0,0.0,106.0
tk-1200,17,10,4,0.4,3,25,2,0.0,0,21.0,0.0,9409.0
canon 070h,10,5,2,0.4,3,12,4,0.0,0,0.0,0.0,15265.0
c8543x,8,5,2,0.4,3,8,2,0.0,0,35.0,0.0,10076.0
works,17,10,4,0.4,2,17,0,0.0,0,142.0,7.0,3257.0
canon ts3640,7,5,2,0.4,2,3,2,0.0,0,0.0,0.0,122.0
docolor,7,5,2,0.4,2,4,2,0.0,0,0.0,0.0,84.0
krown t40,6,5,2,0.4,1,7,0,0.0,0,34.0,0.0,2847.0
мфу epson,6,5,2,0.4,1,8,0,0.0,0,8.0,0.0,2951.0
принтер pantum,8,5,2,0.4,1,6,0,0.0,0,145.0,23.0,15084.0
106r02773,25,18,7,0.389,6,29,3,0.0,0,87.0,11.0,9290.0
i2c,20,13,5,0.385,4,27,0,0.0,0,105.0,0.0,34214.0
sfx,22,13,5,0.385,2,16,2,0.0,0,111.0,8.0,18652.0
max3485,18,8,3,0.375,8,6,4,0.0,0,100.0,0.0,24280.0
tk-1140,12,8,3,0.375,4,17,3,0.0,0,37.0,0.0,2384.0
tn-1075,12,8,3,0.375,4,13,3,0.0,0,13.0,0.0,12822.0
photo,11,8,3,0.375,3,6,0,0.0,0,120.0,41.0,18775.0
t90 nike,10,8,3,0.375,2,11,0,0.0,0,38.0,0.0,494.0
w2210x,11,8,3,0.375,2,10,1,0.0,0,19.0,0.0,2140.0
ozon express,10,8,3,0.375,2,6,0,539.0,1,158.0,9.0,23799.0
картридж xerox workcentre 3025,9,8,3,0.375,1,9,0,0.0,0,36.0,0.0,3533.0
epson lx-350,27,19,7,0.368,8,16,2,0.0,0,35.0,0.0,346.0
hp 953,16,11,4,0.364,4,12,1,0.0,0,59.0,0.0,22937.0
картриджи для принтера canon 445 и 446,22,20,7,0.35,1,11,1,0.0,0,0.0,0.0,688.0
dk-1110,14,3,1,0.333,11,23,10,0.0,0,14.0,0.0,8889.0
w1510a,16,6,2,0.333,8,8,7,0.0,0,9.0,0.0,31372.0
w1470x,11,3,1,0.333,7,5,7,0.0,0,0.0,0.0,6626.0
dl-420,11,3,1,0.333,5,13,3,0.0,0,40.0,0.0,7950.0
xerox 3325,8,3,1,0.333,5,5,5,0.0,0,0.0,0.0,3546.0
tk-3160,13,9,3,0.333,4,12,4,0.0,0,0.0,0.0,116.0
hp 652 картридж черный,7,3,1,0.333,4,12,4,0.0,0,0.0,0.0,7678.0
картридж q2612a,6,3,1,0.333,3,11,3,0.0,0,0.0,0.0,260.0
lc3617,6,3,1,0.333,3,7,2,0.0,0,34.0,12.0,152.0
3310,9,6,2,0.333,3,7,0,0.0,0,0.0,0.0,70.0
ноутбук 3710,6,3,1,0.333,3,1,3,0.0,0,0.0,0.0,1485.0
ce340a,6,3,1,0.333,3,8,3,0.0,0,0.0,0.0,43.0
4070,17,15,5,0.333,2,32,1,0.0,0,27.0,0.0,13648.0
lego 43030,5,3,1,0.333,2,4,2,0.0,0,0.0,0.0,81.0
mp5043,5,3,1,0.333,2,5,0,0.0,0,89.0,0.0,15363.0
w2300x,13,6,2,0.333,2,11,4,0.0,0,0.0,0.0,9437.0
lc472 картридж,5,3,1,0.333,2,11,2,0.0,0,0.0,0.0,7393.0
dw-6900,5,3,1,0.333,2,7,2,0.0,0,0.0,0.0,8336.0
737 картридж,5,3,1,0.333,2,4,2,0.0,0,0.0,0.0,1450.0
xerox sc2020,5,3,1,0.333,2,4,1,0.0,0,0.0,0.0,3547.0
q7553x,5,3,1,0.333,2,2,1,0.0,0,24.0,0.0,13091.0
toshiba,13,9,3,0.333,1,27,0,0.0,0,0.0,0.0,3888.0
картридж е16,4,3,1,0.333,1,2,0,0.0,0,13.0,0.0,24189.0
mlc,4,3,1,0.333,1,6,0,0.0,0,40.0,0.0,165.0
pfi-104m,4,3,1,0.333,1,5,1,0.0,0,0.0,0.0,67.0
tk-3405,8,3,1,0.333,1,11,0,0.0,0,55.0,13.0,181.0
tn-2590,5,3,1,0.333,1,6,1,0.0,0,0.0,0.0,38.0
t9451,4,3,1,0.333,1,3,0,0.0,0,0.0,0.0,6885.0
8000,4,3,1,0.333,1,0,0,0.0,0,0.0,0.0,53.0
tk-1160,4,3,1,0.333,1,4,1,0.0,0,0.0,0.0,46.0
tk-475,8,6,2,0.333,1,6,0,0.0,0,13.0,0.0,153.0
лего 71872,5,3,1,0.333,1,7,0,0.0,0,29.0,0.0,189.0
xh-m601,5,3,1,0.333,1,2,1,0.0,0,0.0,0.0,19.0
sf3500,7,6,2,0.333,1,3,1,0.0,0,0.0,0.0,1279.0
039h,4,3,1,0.333,1,5,1,0.0,0,0.0,0.0,3108.0
e260x22g,4,3,1,0.333,1,7,0,0.0,0,54.0,0.0,3299.0
nivona 779,4,3,1,0.333,1,7,0,0.0,0,20.0,0.0,2979.0
принтер для лент,7,6,2,0.333,1,1,1,0.0,0,0.0,0.0,36.0
c7115a картридж,4,3,1,0.333,1,8,1,0.0,0,0.0,0.0,5255.0
kyocera pa2001w,4,3,1,0.333,1,1,1,0.0,0,0.0,0.0,32.0
5080,5,3,1,0.333,1,14,0,0.0,0,19.0,0.0,7472.0
cf360x,4,3,1,0.333,1,8,0,0.0,0,8.0,0.0,7976.0
мр 512,28,25,8,0.32,3,4,3,0.0,0,0.0,0.0,558.0
w203,28,13,4,0.308,5,17,2,0.0,0,101.0,10.0,25964.0
ppa,20,10,3,0.3,10,16,1,0.0,0,0.0,0.0,44253.0
cc2530,13,10,3,0.3,3,9,1,6938.0,2,141.0,48.0,35357.0
7500,10,7,2,0.286,3,3,3,0.0,0,0.0,0.0,149.0
dk-3190,10,7,2,0.286,2,9,2,0.0,0,0.0,0.0,6802.0
cto-2600k,9,7,2,0.286,2,9,2,0.0,0,0.0,0.0,1021.0
q7516a,9,7,2,0.286,2,6,2,0.0,0,0.0,0.0,28.0
чернила epson 664,16,14,4,0.286,2,0,0,0.0,0,125.0,0.0,7968.0
sharp 5618,8,7,2,0.286,1,8,0,0.0,0,0.0,0.0,4599.0
xerox phaser 6020bi,8,7,2,0.286,1,6,0,0.0,0,19.0,0.0,3783.0
106r01374,17,15,4,0.267,1,20,0,0.0,0,18.0,0.0,2867.0
tk-8365,10,4,1,0.25,5,6,4,0.0,0,4.0,0.0,139.0
106r03585,9,4,1,0.25,5,11,5,0.0,0,0.0,0.0,107.0
принтер киосера,9,4,1,0.25,5,20,4,0.0,0,34.0,0.0,22512.0
1394,9,4,1,0.25,4,11,1,0.0,0,46.0,0.0,11922.0
q6470a,10,8,2,0.25,2,10,2,0.0,0,0.0,0.0,58.0
pfi-107,10,8,2,0.25,2,6,1,0.0,0,0.0,0.0,7708.0
tank 500,7,4,1,0.25,2,10,0,0.0,0,116.0,7.0,2965.0
070h картридж,7,4,1,0.25,2,12,2,0.0,0,0.0,0.0,14993.0
cb540a,6,4,1,0.25,2,13,1,0.0,0,82.0,0.0,12820.0
картридж 122 hp,10,4,1,0.25,2,25,2,0.0,0,0.0,0.0,241.0
электробарабаны,7,4,1,0.25,1,19,1,0.0,0,28.0,0.0,181.0
epson r1900,5,4,1,0.25,1,5,1,0.0,0,0.0,0.0,8.0
3060,6,4,1,0.25,1,4,0,0.0,0,35.0,4.0,535.0
ко 503,6,4,1,0.25,1,6,1,0.0,0,0.0,0.0,37.0
oki c650dn,5,4,1,0.25,1,3,1,0.0,0,0.0,0.0,9.0
epson l11050,5,4,1,0.25,1,6,1,0.0,0,0.0,0.0,22.0
tk-6325,5,4,1,0.25,1,4,1,0.0,0,0.0,0.0,31.0
картриджи для принтера,16,10,2,0.2,6,10,0,428.0,1,416.0,54.0,89847.0
tk-8115,14,5,1,0.2,6,18,3,0.0,0,189.0,39.0,31243.0
ricoh m c250fwb,11,5,1,0.2,5,12,1,38205.0,1,14.0,0.0,26347.0
чернила для принтера brother,10,5,1,0.2,5,14,1,0.0,0,232.0,13.0,1306.0
56f0z00,8,5,1,0.2,3,4,3,0.0,0,0.0,0.0,496.0
xerox c235,13,5,1,0.2,3,5,3,0.0,0,0.0,0.0,243.0
reoka rksf-c3600,7,5,1,0.2,2,8,2,0.0,0,0.0,0.0,987.0
8060s,8,5,1,0.2,2,14,1,0.0,0,123.0,0.0,896.0
xerox 550,8,5,1,0.2,2,10,1,0.0,0,45.0,0.0,20239.0
epson surecolor p700,6,5,1,0.2,1,5,1,0.0,0,0.0,0.0,2.0
canon selphy,6,5,1,0.2,1,9,0,0.0,0,46.0,0.0,5883.0
tk-435,6,5,1,0.2,1,3,1,0.0,0,0.0,0.0,31.0
kx-fad473a7,6,5,1,0.2,1,5,1,0.0,0,0.0,0.0,192.0
картридж c703,6,5,1,0.2,1,1,0,4514.0,1,31.0,0.0,703.0
xerox b225,11,6,1,0.167,5,9,2,0.0,0,50.0,0.0,3053.0
картридж hp 653 черный,7,6,1,0.167,1,3,1,0.0,0,0.0,0.0,28.0
q3960a,9,7,1,0.143,2,7,1,0.0,0,32.0,0.0,11957.0
d104s картридж,8,7,1,0.143,1,12,0,0.0,0,0.0,0.0,3834.0
i3200,12,8,1,0.125,4,17,3,0.0,0,18.0,0.0,1206.0
промывочная жидкость для принтера epson,11,8,1,0.125,3,18,0,856.0,2,162.0,35.0,18836.0
bra,17,8,1,0.125,3,6,1,0.0,0,242.0,47.0,7071.0
h2d,18,2,0,0.0,12,64,15,0.0,0,0.0,0.0,21512.0
kyocera ecosys m8124cidn,12,2,0,0.0,10,8,5,18982.0,1,0.0,0.0,5271.0
huawei pixlab x1,9,2,0,0.0,7,4,7,0.0,0,0.0,0.0,10321.0
картридж 445,8,2,0,0.0,6,7,6,0.0,0,0.0,0.0,39741.0
riso,7,2,0,0.0,5,14,5,0.0,0,0.0,0.0,95.0
tk-5270,10,2,0,0.0,5,10,3,0.0,0,78.0,1.0,9128.0
lexmark ms431dn картридж,9,4,0,0.0,5,12,4,0.0,0,36.0,18.0,9825.0
cytac,6,2,0,0.0,4,7,0,0.0,0,48.0,0.0,14454.0
lc 250,6,2,0,0.0,4,18,0,0.0,0,111.0,2.0,5307.0
3ed71a,10,3,0,0.0,4,10,1,0.0,0,172.0,9.0,23459.0
101r00474,8,2,0,0.0,4,11,3,0.0,0,41.0,0.0,2649.0
dk-5231,6,2,0,0.0,4,11,3,0.0,0,30.0,0.0,3187.0
tk-1275 картридж,5,2,0,0.0,3,11,0,0.0,0,23.0,0.0,7633.0
006r01160,8,4,0,0.0,3,13,3,0.0,0,0.0,0.0,60.0
zynq 7020,5,2,0,0.0,3,8,3,0.0,0,0.0,0.0,1200.0
картридж 445 canon,5,2,0,0.0,3,4,0,0.0,0,50.0,0.0,2031.0
принтер куосера,7,4,0,0.0,3,4,1,0.0,0,45.0,0.0,1662.0
epson 1410 картридж,5,2,0,0.0,3,5,2,0.0,0,17.0,0.0,380.0
bpgt20ba,6,3,0,0.0,3,0,0,0.0,0,0.0,0.0,2166.0
106r02782,6,2,0,0.0,3,12,3,0.0,0,0.0,0.0,1338.0
принтер а4 лазерный,5,3,0,0.0,2,13,2,0.0,0,0.0,0.0,2051.0
w222,6,4,0,0.0,2,5,0,0.0,0,102.0,0.0,20984.0
dwt,9,7,0,0.0,2,8,1,0.0,0,0.0,0.0,2117.0
177,5,2,0,0.0,2,5,0,0.0,0,90.0,0.0,25087.0
tk-1170,11,8,0,0.0,2,9,0,0.0,0,126.0,13.0,7500.0
sivga m260,4,2,0,0.0,2,6,2,0.0,0,0.0,0.0,106.0
rx 590,5,3,0,0.0,2,4,0,0.0,0,73.0,0.0,772.0
mp1605,6,4,0,0.0,2,0,0,0.0,0,0.0,0.0,2817.0
scx-4500,4,2,0,0.0,2,4,2,0.0,0,0.0,0.0,217.0
055h,4,2,0,0.0,2,0,2,0.0,0,0.0,0.0,1209.0
cisa c3000,4,2,0,0.0,2,4,2,0.0,0,0.0,0.0,1269.0
mc,6,2,0,0.0,1,13,0,0.0,0,26.0,0.0,16741.0
фотобарабан dr-1075,4,2,0,0.0,1,17,0,0.0,0,26.0,0.0,5902.0
картридж 963xl,4,3,0,0.0,1,5,0,0.0,0,0.0,0.0,89.0
1060,10,6,0,0.0,1,26,1,0.0,0,57.0,0.0,2848.0
kx-fa52a,3,2,0,0.0,1,3,0,0.0,0,0.0,0.0,229.0
epson fx-890,4,3,0,0.0,1,3,1,0.0,0,0.0,0.0,3486.0
hl 905n,4,3,0,0.0,1,7,0,0.0,0,23.0,31.0,19325.0
1150,6,4,0,0.0,1,7,1,0.0,0,0.0,0.0,43.0
лазерный цветной принтер,5,2,0,0.0,1,21,0,0.0,0,21.0,0.0,6067.0
tk-6110,4,3,0,0.0,1,4,0,0.0,0,0.0,0.0,3776.0
ce278a,6,5,0,0.0,1,5,0,0.0,0,5.0,0.0,2351.0
tn-2375,15,10,0,0.0,1,31,0,0.0,0,22.0,0.0,3347.0
pt210,3,2,0,0.0,1,6,0,0.0,0,24.0,0.0,165.0
tn-323,4,3,0,0.0,1,8,0,0.0,0,2.0,0.0,130.0
953xl,5,2,0,0.0,1,3,2,0.0,0,43.0,0.0,380.0
tn-2500,6,4,0,0.0,1,17,0,0.0,0,73.0,0.0,1259.0
c-809,3,2,0,0.0,1,3,1,0.0,0,0.0,0.0,24.0
hiper engine bx630,3,2,0,0.0,1,6,0,0.0,0,53.0,0.0,326.0
чернила для принтера,3,2,0,0.0,1,15,0,0.0,0,137.0,13.0,3913.0
hpw9225,4,2,0,0.0,1,4,1,0.0,0,0.0,0.0,5.0
canon принтер,5,3,0,0.0,1,2,1,0.0,0,0.0,0.0,13535.0
c4092a картридж,4,3,0,0.0,1,4,0,0.0,0,15.0,0.0,19396.0
tn-2090,3,2,0,0.0,1,0,0,0.0,0,34.0,0.0,2894.0
hp c310b,3,2,0,0.0,1,0,0,0.0,0,0.0,0.0,62.0
5105 liquimoly,3,2,0,0.0,1,9,0,0.0,0,0.0,0.0,8322.0
p2040dn kyocera,3,2,0,0.0,1,2,1,0.0,0,0.0,0.0,49.0
liquipol 806,7,3,0,0.0,1,6,3,0.0,0,0.0,0.0,3529.0
принтер мини цветной,3,2,0,0.0,1,2,0,0.0,0,13.0,0.0,2264.0
fx10 картридж,3,2,0,0.0,1,3,1,0.0,0,0.0,0.0,15.0
dudu5,3,2,0,0.0,1,9,1,0.0,0,0.0,0.0,19.0
cl660,4,3,0,0.0,1,4,1,0.0,0,0.0,0.0,972.0
epson expression photo hd xp-15000,3,2,0,0.0,1,3,1,0.0,0,0.0,0.0,45.0
pioneer sxt 10ps,4,3,0,0.0,1,13,1,0.0,0,0.0,0.0,43.0
mpc-851,3,2,0,0.0,1,4,1,0.0,0,0.0,0.0,20.0
t096,5,4,0,0.0,1,6,0,1346.0,1,4.0,0.0,126.0
cli-521,3,2,0,0.0,1,5,0,0.0,0,34.0,0.0,407.0
