sku,arm,stratum
5181125318,treatment,1
1261506709,treatment,1
5181159154,treatment,1
930615627,treatment,1
3557210996,treatment,1
1153803204,treatment,1
1567180481,treatment,1
930613102,treatment,1
5181163349,treatment,1
4128830875,treatment,1
1510946573,treatment,1
5181160246,treatment,1
5181194494,treatment,1
5181158241,treatment,1
5181296805,treatment,1
5181304513,treatment,1
5182921459,treatment,1
5327660963,treatment,1
3627558552,treatment,1
873320130,treatment,2
874373568,treatment,2
5068073541,treatment,2
5198650542,treatment,2
874376947,treatment,2
5078660495,treatment,2
874376469,treatment,2
874374388,treatment,2
5199195182,treatment,2
5169151430,treatment,2
5168495320,treatment,2
5182632199,treatment,2
5181123045,treatment,2
1425329946,treatment,2
2144691970,treatment,2
1131187892,treatment,2
4996844303,treatment,2
1146702725,treatment,2
5181563964,treatment,2
5327285903,treatment,3
5427983310,treatment,3
4996856796,treatment,3
1139119275,treatment,3
3736075535,treatment,3
5022635859,treatment,3
5079583136,treatment,3
4560605959,treatment,3
1153757034,treatment,3
1261505794,treatment,3
1261566085,treatment,3
906877438,treatment,3
2213848246,treatment,3
3199369586,treatment,3
4866963499,treatment,3
874376877,treatment,4
952467663,treatment,4
1153722580,treatment,4
1510946144,treatment,4
3651670927,treatment,4
3874309053,treatment,4
4866631132,treatment,4
4866966620,treatment,4
866443160,treatment,4
930623022,treatment,4
1165086118,treatment,4
1744145173,treatment,4
4117754293,treatment,4
4866630158,treatment,4
4866970942,treatment,4
5181012914,treatment,4
1153665069,treatment,4
1519326874,treatment,4
1999347106,treatment,4
3655792408,treatment,4
5021188939,treatment,4
5023152665,treatment,4
5180998838,treatment,4
873319909,treatment,4
2203314455,control,1
4867099538,control,1
5181155642,control,1
5198900177,control,1
5078842896,control,1
653028004,control,1
874374098,control,1
874373855,control,1
4867098992,control,1
5181120511,control,1
4867101659,control,1
4117756142,control,1
4128809002,control,1
1510947929,control,1
5183849788,control,1
5181285224,control,1
5183203924,control,1
5181183993,control,2
5152015807,control,2
873320520,control,2
5199396526,control,2
870872454,control,2
5182967125,control,2
5327649040,control,2
1261572650,control,2
1153751978,control,2
5168788008,control,2
864225339,control,2
1131187400,control,2
1425329860,control,2
2463315033,control,2
873319877,control,2
1869838585,control,2
5182164131,control,2
5181325463,control,3
874375958,control,3
904484151,control,3
2205631937,control,3
1282816798,control,3
3788117429,control,3
5022517094,control,3
5181124250,control,3
5183265827,control,3
874373755,control,3
4866633243,control,3
4866637809,control,3
5020630837,control,3
5198104690,control,3
1467529013,control,3
3678586774,control,3
1153756234,control,3
1153758764,control,3
5181010717,control,3
904485780,control,3
874375083,control,3
2061399956,control,4
3557210646,control,4
3583705045,control,4
866443601,control,4
1143059933,control,4
4866968902,control,4
5023154166,control,4
5181003279,control,4
930617855,control,4
5023187830,control,4
873319766,control,4
930617203,control,4
