sku,arm,stratum
873313048,treatment,1
3557211134,treatment,1
864225954,treatment,1
930613780,treatment,1
930623814,treatment,1
3557210487,treatment,1
3736075010,treatment,1
1692512906,treatment,1
652456640,treatment,1
1153670088,treatment,1
1261509311,treatment,1
873320485,treatment,1
866443177,treatment,1
930624327,treatment,1
930619621,treatment,1
1692459498,treatment,1
930613572,treatment,1
3557209636,treatment,1
3656525055,treatment,1
864225639,treatment,1
1261564987,treatment,1
2166594928,treatment,1
1759727479,treatment,1
652608896,treatment,1
3735024637,treatment,1
866442784,treatment,1
863386168,treatment,1
930626048,treatment,1
2201782304,treatment,2
2463313020,treatment,2
1131187953,treatment,2
1586847172,treatment,2
3557209596,treatment,2
904485738,treatment,2
1143062125,treatment,2
1153669367,treatment,2
1165086093,treatment,2
1220133376,treatment,2
1999049225,treatment,2
1999565121,treatment,2
3674690637,treatment,2
652576830,treatment,2
930613153,treatment,2
930627967,treatment,2
1143062246,treatment,2
1999371106,treatment,2
3557211314,treatment,2
874375809,treatment,2
1153806470,treatment,2
1155649451,treatment,2
1556486523,treatment,2
873313095,treatment,3
873313442,treatment,3
873313551,treatment,3
873320345,treatment,3
874376391,treatment,3
904485624,treatment,3
906877600,treatment,3
930614443,treatment,3
930618586,treatment,3
930625862,treatment,3
930626976,treatment,3
930631903,treatment,3
930642749,treatment,3
1134976033,treatment,3
1141051099,treatment,3
1153722796,treatment,3
1153724645,treatment,3
1153725193,treatment,3
1153757529,treatment,3
1153757599,treatment,3
1153791939,treatment,3
1153791953,treatment,3
1153794808,treatment,3
1163040870,treatment,3
1163041157,treatment,3
1165087256,treatment,3
1167177873,treatment,4
1232694481,treatment,4
1261570496,treatment,4
1434655834,treatment,4
1665039531,treatment,4
1674767373,treatment,4
1692319582,treatment,4
1759730685,treatment,4
1759731366,treatment,4
1775340960,treatment,4
1897483917,treatment,4
1999611800,treatment,4
1999753721,treatment,4
2205705304,treatment,4
3006507445,treatment,4
3557209680,treatment,4
3557209943,treatment,4
3557210101,treatment,4
3557210867,treatment,4
3582307708,treatment,4
3860897466,treatment,4
3943468740,treatment,4
652454523,treatment,4
652454648,treatment,4
652479807,treatment,4
873313696,control,1
1167179912,control,1
864225770,control,1
653348251,control,1
1155648903,control,1
866443623,control,1
3557209912,control,1
930627807,control,1
1143057954,control,1
930640268,control,1
653348238,control,1
1143062434,control,1
2557332475,control,1
2166566418,control,1
3557211107,control,1
1155649579,control,1
1131187123,control,1
653348169,control,1
930624553,control,1
653317978,control,1
1155649346,control,1
1153755627,control,1
1434663044,control,2
2837779525,control,2
652454646,control,2
874373823,control,2
1576714508,control,2
2214117657,control,2
653449868,control,2
1233219548,control,2
1282766627,control,2
2375201350,control,2
4672159174,control,2
863418613,control,2
874373999,control,2
1153807026,control,2
1163041231,control,2
1277712334,control,2
1663255764,control,2
1719302840,control,2
2203245065,control,2
2375195414,control,2
2805589187,control,2
3557209864,control,2
3557211052,control,2
930607327,control,2
1167177851,control,2
1261510872,control,2
2214126927,control,2
873313361,control,3
873313395,control,3
873314552,control,3
873320490,control,3
873320621,control,3
874373747,control,3
874373753,control,3
874377365,control,3
874378208,control,3
904483457,control,3
930617669,control,3
930617679,control,3
930619791,control,3
930630722,control,3
1137065906,control,3
1143059756,control,3
1143060724,control,3
1153439537,control,3
1153751254,control,3
1153793429,control,3
1153795904,control,3
1153797687,control,3
1158623209,control,3
1163041067,control,3
1218342653,control,4
1218342984,control,4
1218352002,control,4
1261463635,control,4
1261506443,control,4
1692443086,control,4
1717842781,control,4
1897483925,control,4
1998987726,control,4
1999621307,control,4
2031647134,control,4
2203248384,control,4
2470392848,control,4
2837793563,control,4
2870879821,control,4
3557209965,control,4
3557210728,control,4
3655307897,control,4
3655430031,control,4
652456539,control,4
652457706,control,4
652469443,control,4
652469489,control,4
652474954,control,4
652501138,control,4
