sku,arm,stratum
930627928,treatment,1
930628629,treatment,1
863385684,treatment,1
3557210884,treatment,1
652576712,treatment,1
1153907882,treatment,1
930607878,treatment,1
930626053,treatment,1
930631898,treatment,1
653501876,treatment,1
930612729,treatment,1
873313853,treatment,1
930640667,treatment,1
930636884,treatment,1
873313650,treatment,1
1153214807,treatment,1
3735021239,treatment,1
3557209931,treatment,1
1163041442,treatment,1
874375569,treatment,1
906874353,treatment,1
3735023034,treatment,1
864225903,treatment,1
3735027021,treatment,1
3557211113,treatment,1
651911972,treatment,2
1153741837,treatment,2
1277712516,treatment,2
874373850,treatment,2
652547579,treatment,2
870872462,treatment,2
3558791048,treatment,2
3557211449,treatment,2
1153794886,treatment,2
930622063,treatment,2
2516919927,treatment,2
930620663,treatment,2
1153792643,treatment,2
870873013,treatment,2
3558730852,treatment,2
652594190,treatment,2
1153751441,treatment,2
901543991,treatment,2
874374770,treatment,2
901543971,treatment,2
1153216113,treatment,2
1261506816,treatment,2
1999500586,treatment,2
3557211269,treatment,2
3736136098,treatment,2
1261501195,treatment,3
1261564860,treatment,3
1716750101,treatment,3
1869838821,treatment,3
1897483890,treatment,3
1999733571,treatment,3
2209390190,treatment,3
3557210895,treatment,3
652535750,treatment,3
652684394,treatment,3
653141625,treatment,3
866442766,treatment,3
866442853,treatment,3
866443501,treatment,3
874374132,treatment,3
874374328,treatment,3
901543989,treatment,3
907460129,treatment,3
930612587,treatment,3
930617778,treatment,3
930620474,treatment,3
1134976395,treatment,3
1153214812,treatment,3
1153215054,treatment,3
1153799855,treatment,3
1153804074,treatment,3
1574458118,treatment,3
1665037011,treatment,3
2214246481,treatment,4
2214376913,treatment,4
2556254579,treatment,4
3497932541,treatment,4
3557209404,treatment,4
3557210753,treatment,4
3557211258,treatment,4
3557211453,treatment,4
652461244,treatment,4
652469430,treatment,4
652554008,treatment,4
652554769,treatment,4
652558602,treatment,4
653324146,treatment,4
863394163,treatment,4
866443050,treatment,4
866443426,treatment,4
866443440,treatment,4
866443517,treatment,4
866443570,treatment,4
866443746,treatment,4
866443841,treatment,4
866443911,treatment,4
870873067,treatment,4
873313788,treatment,4
873314222,treatment,4
653424171,control,1
651913913,control,1
863385903,control,1
653317946,control,1
653462770,control,1
866442941,control,1
930616010,control,1
653449270,control,1
904484131,control,1
930626128,control,1
874376001,control,1
874373713,control,1
866442748,control,1
930606950,control,1
1337645480,control,1
3582264350,control,1
3722519746,control,1
866443359,control,1
930631025,control,1
906877470,control,1
930625127,control,1
1153672956,control,1
1153793719,control,1
930641507,control,1
1300722249,control,1
874377353,control,2
874378310,control,2
1153793210,control,2
3557210787,control,2
906874651,control,2
930626792,control,2
1153228103,control,2
873319520,control,2
863431199,control,2
1043864490,control,2
1137066020,control,2
1160759636,control,2
2595214265,control,2
652576903,control,2
1153799400,control,2
652456833,control,2
873319899,control,2
1153805366,control,2
2791145660,control,2
1904009870,control,2
1903993637,control,2
1153216313,control,2
1153216099,control,2
1160759637,control,2
3558739285,control,2
1692492072,control,3
1692492608,control,3
1897483823,control,3
2214349624,control,3
3350289769,control,3
3557210928,control,3
3735008384,control,3
652454585,control,3
652454657,control,3
653144637,control,3
653449226,control,3
873314211,control,3
906875133,control,3
906877984,control,3
930614856,control,3
930616456,control,3
930634105,control,3
1153721322,control,3
1153799787,control,3
1163041060,control,3
1165086683,control,3
1510951326,control,3
2203267451,control,4
2556256049,control,4
3006507502,control,4
3556716471,control,4
3557209685,control,4
3557211470,control,4
3655303449,control,4
651922454,control,4
652453605,control,4
652524392,control,4
652543177,control,4
652638211,control,4
653027465,control,4
653317641,control,4
653381332,control,4
653454725,control,4
866443267,control,4
866443557,control,4
866443604,control,4
873313200,control,4
873313297,control,4
873313844,control,4
873314341,control,4
873314592,control,4
