sku,arm,stratum
864226015,treatment,1
866443797,treatment,1
652461550,treatment,1
873313324,treatment,1
1153214682,treatment,1
864226079,treatment,1
930616817,treatment,1
652453606,treatment,1
652352853,treatment,1
1158623148,treatment,1
866443744,treatment,1
864221185,treatment,1
873320495,treatment,1
1153808968,treatment,1
873314175,treatment,1
2169552868,treatment,1
652454577,treatment,1
864225626,treatment,1
652454579,treatment,1
3656521266,treatment,1
653063745,treatment,1
874376655,treatment,1
873313131,treatment,1
652453594,treatment,1
2999164787,treatment,1
906875265,treatment,2
2268558322,treatment,2
1131187738,treatment,2
863389058,treatment,2
651939124,treatment,2
900991020,treatment,2
930607125,treatment,2
930631541,treatment,2
874374002,treatment,2
930617569,treatment,2
863431208,treatment,2
874373611,treatment,2
930625112,treatment,2
1165087280,treatment,2
652610431,treatment,2
864226028,treatment,2
651920890,treatment,2
873320580,treatment,2
1341113616,treatment,2
907648871,treatment,2
873319911,treatment,2
652576300,treatment,2
3861484815,treatment,2
906875645,treatment,2
906875600,treatment,2
1852061447,treatment,3
1871778718,treatment,3
2713595729,treatment,3
2950166687,treatment,3
3557210033,treatment,3
3681599158,treatment,3
4786554613,treatment,3
652453760,treatment,3
652543173,treatment,3
653065455,treatment,3
866443629,treatment,3
866443895,treatment,3
873320649,treatment,3
874385489,treatment,3
930608169,treatment,3
930613490,treatment,3
930631571,treatment,3
930641253,treatment,3
1143060364,treatment,3
1153660249,treatment,3
1153671139,treatment,3
1153672020,treatment,3
1153722514,treatment,3
873320079,treatment,4
874373614,treatment,4
874374089,treatment,4
874378499,treatment,4
874380015,treatment,4
904483356,treatment,4
904483504,treatment,4
904485723,treatment,4
906874793,treatment,4
906876928,treatment,4
906877934,treatment,4
930606927,treatment,4
930612989,treatment,4
930614216,treatment,4
930615457,treatment,4
930616489,treatment,4
930616614,treatment,4
930619552,treatment,4
930620208,treatment,4
930620560,treatment,4
930622887,treatment,4
930627250,treatment,4
930629425,treatment,4
930641100,treatment,4
930642148,treatment,4
2200266375,control,1
1153908044,control,1
863418562,control,1
873314491,control,1
874377298,control,1
873313010,control,1
652837432,control,1
1153749363,control,1
1153768476,control,1
863388790,control,1
874373877,control,1
3557210714,control,1
904483404,control,1
864225597,control,1
874373561,control,1
863386433,control,1
652468574,control,1
864225179,control,1
866442901,control,1
653377454,control,1
930629365,control,1
3557211275,control,1
652999878,control,1
873313941,control,1
652725051,control,1
2521686782,control,2
907607937,control,2
653317975,control,2
1153678576,control,2
866442786,control,2
3735028847,control,2
3674691633,control,2
873313881,control,2
930624702,control,2
1153800828,control,2
906875591,control,2
863385804,control,2
873313616,control,2
2262633300,control,2
651912255,control,2
1261482285,control,2
2994110087,control,2
652491160,control,2
873313492,control,2
651918146,control,2
3557210797,control,2
3953689946,control,2
930614505,control,2
1131187506,control,2
1851955468,control,2
1999658114,control,3
3557209846,control,3
3557210008,control,3
3558752535,control,3
3757274618,control,3
3953690255,control,3
4280738784,control,3
652468722,control,3
652473020,control,3
652576882,control,3
652600618,control,3
864225039,control,3
864225662,control,3
864225788,control,3
866443691,control,3
866443700,control,3
866443723,control,3
866443916,control,3
873313140,control,3
930607834,control,3
930620259,control,3
930623148,control,3
1153214616,control,3
1153216296,control,3
1153216806,control,3
1153719766,control,3
1153720736,control,3
873319833,control,4
874376039,control,4
874376853,control,4
874377129,control,4
901199959,control,4
904484133,control,4
904484229,control,4
906874668,control,4
930606979,control,4
930607162,control,4
930613547,control,4
930617963,control,4
930617995,control,4
930619680,control,4
930622519,control,4
930627310,control,4
930628137,control,4
930639448,control,4
930639962,control,4
930640698,control,4
930641142,control,4
930641901,control,4
930642098,control,4
983886316,control,4
1131188002,control,4
