sku,arm,stratum
3548520966,treatment,1
866443191,treatment,1
652576892,treatment,1
866443819,treatment,1
930607345,treatment,1
930630765,treatment,1
1153812973,treatment,1
2201849026,treatment,1
864224847,treatment,1
866442814,treatment,1
904483559,treatment,1
864225208,treatment,1
873313436,treatment,1
864225515,treatment,1
3739951989,treatment,1
1692509324,treatment,1
930622094,treatment,1
930627274,treatment,1
1155649361,treatment,1
1153805594,treatment,1
3557210105,treatment,1
1153214680,treatment,1
874377277,treatment,1
930617528,treatment,1
1261573838,treatment,1
653348198,treatment,2
3855411611,treatment,2
3557210257,treatment,2
652550900,treatment,2
1139101837,treatment,2
873313659,treatment,2
652576875,treatment,2
930620738,treatment,2
930623391,treatment,2
652456523,treatment,2
1139101677,treatment,2
1261563264,treatment,2
3557211167,treatment,2
652474937,treatment,2
906875447,treatment,2
3557209751,treatment,2
874376191,treatment,2
1277712393,treatment,2
1586847157,treatment,2
1771618814,treatment,2
1999603552,treatment,2
3199294138,treatment,2
3557209740,treatment,2
3557209893,treatment,2
652599836,treatment,2
866442850,treatment,2
874373691,treatment,2
930609319,treatment,2
1153800864,treatment,3
1153801969,treatment,3
1155648965,treatment,3
1160762020,treatment,3
1163041048,treatment,3
1163041143,treatment,3
1261462418,treatment,3
1555314250,treatment,3
1585142258,treatment,3
1869847986,treatment,3
1897483876,treatment,3
3548514468,treatment,3
3557209847,treatment,3
3557210545,treatment,3
3557210896,treatment,3
3557211135,treatment,3
3655306498,treatment,3
3656852058,treatment,3
3656853152,treatment,3
651912809,treatment,3
651924794,treatment,3
652550544,treatment,3
864225085,treatment,3
864225352,treatment,3
866442782,treatment,3
866443603,treatment,3
866443815,treatment,3
1134976554,treatment,4
1141050827,treatment,4
1143061849,treatment,4
1153088960,treatment,4
1153216249,treatment,4
1153722707,treatment,4
1153751268,treatment,4
1153755078,treatment,4
1153755264,treatment,4
1153792148,treatment,4
1153794676,treatment,4
1153796059,treatment,4
1153801594,treatment,4
1153802785,treatment,4
1153803169,treatment,4
1153814420,treatment,4
1153913063,treatment,4
1158623132,treatment,4
1158623152,treatment,4
1153888948,control,1
653317597,control,1
904483844,control,1
652997550,control,1
930618177,control,1
1153795375,control,1
1232831156,control,1
863393127,control,1
863388166,control,1
653346982,control,1
866442730,control,1
873319969,control,1
873320091,control,1
904483489,control,1
906877298,control,1
1674593194,control,1
930627027,control,1
984583787,control,1
1129396111,control,1
653388590,control,1
1999107552,control,1
873320161,control,1
984584468,control,1
2129708909,control,1
1153740968,control,1
3558779657,control,2
652611913,control,2
907459005,control,2
930641607,control,2
866443378,control,2
874374391,control,2
3557209911,control,2
873313115,control,2
874374395,control,2
930621027,control,2
1261505282,control,2
874373806,control,2
1261438246,control,2
873320096,control,2
873320536,control,2
1672002311,control,2
1716676830,control,2
1547263622,control,2
1719405344,control,2
1999568919,control,2
930623713,control,2
1155648901,control,2
1155648858,control,3
1163040974,control,3
1163041021,control,3
1163041057,control,3
1163041195,control,3
1261505603,control,3
1692358236,control,3
1920561754,control,3
1999654042,control,3
2214016265,control,3
2214026117,control,3
3557209885,control,3
3557210987,control,3
3674691283,control,3
4280731365,control,3
652457980,control,3
652522782,control,3
652524467,control,3
652552031,control,3
653067936,control,3
653120826,control,3
863418740,control,3
870873055,control,3
1134976209,control,4
1141050731,control,4
1141050805,control,4
1141050829,control,4
1143058076,control,4
1143061465,control,4
1143062164,control,4
1150859249,control,4
1153122576,control,4
1153213979,control,4
1153216412,control,4
1153216758,control,4
1153229868,control,4
1153406512,control,4
1153659540,control,4
1153662973,control,4
1153679066,control,4
1153720333,control,4
1153741724,control,4
1153741823,control,4
1153742278,control,4
1153750190,control,4
1153752937,control,4
1153754617,control,4
1153756770,control,4
1153757595,control,4
1153800536,control,4
1158623062,control,4
1158623461,control,4
1158623485,control,4
1167177468,control,4
