sku,arm,stratum
930628953,treatment,1
930611906,treatment,1
2477602245,treatment,1
904483024,treatment,1
873313030,treatment,1
1282634378,treatment,1
930607229,treatment,1
864225439,treatment,1
1165086623,treatment,1
1261509668,treatment,1
864225041,treatment,1
930616164,treatment,1
984583599,treatment,1
1153668194,treatment,1
1692511284,treatment,1
1153739965,treatment,1
1153216617,treatment,1
873313412,treatment,1
1153666328,treatment,1
1869846584,treatment,1
1143058029,treatment,1
1143058576,treatment,1
930606997,treatment,1
3736076752,treatment,1
930641048,treatment,1
1153217469,treatment,1
1232838817,treatment,1
652576841,treatment,1
930622648,treatment,1
3557211221,treatment,2
652463353,treatment,2
652588915,treatment,2
863431352,treatment,2
873313913,treatment,2
874376016,treatment,2
930614580,treatment,2
930638003,treatment,2
1141050724,treatment,2
1141050853,treatment,2
1153749181,treatment,2
1163040883,treatment,2
1220113535,treatment,2
1261464057,treatment,2
1261573362,treatment,2
1716679849,treatment,2
2516620047,treatment,2
2517094198,treatment,2
652535202,treatment,2
652543185,treatment,2
653386602,treatment,2
863387737,treatment,2
863390137,treatment,2
863393486,treatment,2
866443637,treatment,3
873313525,treatment,3
873319976,treatment,3
873320657,treatment,3
874377290,treatment,3
874378222,treatment,3
904483784,treatment,3
904484630,treatment,3
906874696,treatment,3
906875344,treatment,3
930607190,treatment,3
930609186,treatment,3
930627922,treatment,3
930629235,treatment,3
930635010,treatment,3
1134976513,treatment,3
1137066236,treatment,3
1137066415,treatment,3
1141050878,treatment,3
1141051070,treatment,3
1153214483,treatment,3
1153224507,treatment,3
1153511170,treatment,3
1153671111,treatment,3
1153673552,treatment,3
1153723349,treatment,3
1153749299,treatment,3
1153751338,treatment,3
1153753873,treatment,3
1153754606,treatment,3
1153755433,treatment,3
1153756293,treatment,3
874373594,treatment,4
874374160,treatment,4
874374237,treatment,4
874375832,treatment,4
874376325,treatment,4
874377209,treatment,4
874377626,treatment,4
901199976,treatment,4
904483548,treatment,4
904483806,treatment,4
906875213,treatment,4
906876510,treatment,4
906876576,treatment,4
906877995,treatment,4
930607282,treatment,4
930609724,treatment,4
930613152,treatment,4
930615615,treatment,4
930616136,treatment,4
930616471,treatment,4
930617625,treatment,4
930619167,treatment,4
930620092,treatment,4
930621697,treatment,4
930613837,control,1
1555314665,control,1
2999144539,control,1
1155649354,control,1
863385523,control,1
930608577,control,1
652462813,control,1
2166521592,control,1
930621491,control,1
1692493927,control,1
930619267,control,1
3557209952,control,1
930614376,control,1
930629339,control,1
873320560,control,1
1153217437,control,1
930608030,control,1
3735029679,control,1
4562814805,control,1
2604839648,control,1
652577006,control,1
3557209878,control,2
3557211188,control,2
3655924186,control,2
3656076154,control,2
3677139081,control,2
653423847,control,2
864225348,control,2
874373586,control,2
874375980,control,2
930627500,control,2
930641393,control,2
1141050869,control,2
1141050936,control,2
1146397975,control,2
1153215802,control,2
1153747844,control,2
1167177840,control,2
1218342730,control,2
1261508777,control,2
1261509259,control,2
1692461856,control,2
3194557033,control,2
652530773,control,2
652566192,control,2
652618432,control,2
863390488,control,2
873313190,control,3
873319946,control,3
874374294,control,3
874377304,control,3
906874648,control,3
930614694,control,3
930620635,control,3
930630465,control,3
930634713,control,3
930640829,control,3
930641594,control,3
1137066102,control,3
1153217720,control,3
1153219105,control,3
1153219928,control,3
1153669925,control,3
1153714692,control,3
1153746491,control,3
874373538,control,4
874374124,control,4
874374533,control,4
874374545,control,4
874375062,control,4
874375876,control,4
874380006,control,4
901119571,control,4
904483201,control,4
904485789,control,4
906874486,control,4
906874641,control,4
906874999,control,4
906875060,control,4
906875299,control,4
930607642,control,4
930608809,control,4
930609328,control,4
930613500,control,4
930613669,control,4
930614891,control,4
930615168,control,4
930618777,control,4
930619468,control,4
930620643,control,4
930621908,control,4
