acc,offer_id,product_id,name,status,is_archived,present,reserved,stock_src,vis,archived
oz_acc1,5917,3852264725,"Печатающая головка C4811A для принтеров HP Business InkJet 1100, Inkje",Готов к продаже,False,0,0,,ALL,False
oz_acc1,5917del,1573834209,"Печатающая головка C4811A для принтеров HP Business InkJet 1100, Inkje",Продается,True,6,0,fbs:6,ARCHIVED,True
oz_acc2,05131C0OPBHV,5364070123,Картридж для Lexmark T630 5000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,05132NS8675C,5364070186,Картридж для Lexmark T632 5000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,05133FYGGAVH,5364070603,Картридж для Lexmark T634 5000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0513X12VCDZ5,6280744664,Комплект картриджей 12A7360 (12 шт) на 60000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0513X3EQ6IMZ,6280744378,Комплект картриджей 12A7360 (3 шт) на 15000 страниц для принтеров Lexm,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0513X6B1PAR5,6280744508,Комплект картриджей 12A7360 (6 шт) на 30000 страниц для принтеров Lexm,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0513X9FIPG9W,6280744575,Комплект картриджей 12A7360 (9 шт) на 45000 страниц для принтеров Lexm,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0513YVTQ3B3P,1426193899,"Картридж DS 12A7360 для принтеров Lexmark T630, T632 черный",Готов к продаже,False,0,0,,ALL,False
oz_acc2,05141KRDCLJZ,5364065951,Картридж для Lexmark X630 21000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,05142LZYE0IT,5364066014,Картридж для Lexmark X632 21000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0514FAVOX2NU,1426193937,"Картридж DS 12A7462 для принтеров Lexmark T630, T632, X630, X632 черны",Готов к продаже,False,0,0,,ALL,False
oz_acc2,0514X3XBICC8,6280745244,Комплект картриджей 12A7462 (3 шт) на 63000 страниц для принтеров Lexm,Готов к продаже,False,0,0,,ALL,False
oz_acc2,0514X6FYP65Z,6280745320,Комплект картриджей 12A7462 (6 шт) на 126000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc2,17601JJLMGBZ,5357652583,Картридж для OKI Data B2500 4400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,17602BQLA4JB,5357652584,Картридж для OKI Data B2520MFP 4400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,17603SELLJZO,5357652585,Картридж для OKI Data B2540MFP 4400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,1760M2P83G46,1426195648,"Картридж DS 9004391 для принтеров OKI Data B2500, B2520MFP черный",Готов к продаже,False,0,0,,ALL,False
oz_acc2,18431EB9MAR3,4396829582,Картридж для Xerox DocuColor DC-12 7400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,18432QGI4LHU,4396829835,Картридж для Xerox DocuColor DC-1255 7400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,18433Y0F4VSF,5353280567,Картридж для Xerox DocuCentre CS50 7400 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,1843H422W9UO,1426195863,"Картридж DS 006R90280 для принтеров Xerox DocuCentre CS50, DocuColor 1",Готов к продаже,False,0,0,,ALL,False
oz_acc2,24961PY8W23U,5075873496,Картридж для Epson EPL N7000 15000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,2496CYOQ0OO7,1426199209,Картридж DS S051100 для принтеров Epson EPL N7000 черный,Готов к продаже,False,0,0,,ALL,False
oz_acc2,2496X12WJTMS,6307693820,Комплект картриджей S051100 (12 шт) на 180000 страниц для принтеров Ep,Готов к продаже,False,0,0,,ALL,False
oz_acc2,2496X3PU2HQ2,6307693862,Комплект картриджей S051100 (3 шт) на 45000 страниц для принтеров Epso,Готов к продаже,False,0,0,,ALL,False
oz_acc2,2496X6AU3U6Z,6307693863,Комплект картриджей S051100 (6 шт) на 90000 страниц для принтеров Epso,Готов к продаже,False,0,0,,ALL,False
oz_acc2,2496X9STKHBY,6307693726,Комплект картриджей S051100 (9 шт) на 135000 страниц для принтеров Eps,Готов к продаже,False,0,0,,ALL,False
oz_acc2,34071JHI720Y,5357999038,Картридж для Lexmark LaserPrinter T650 7000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,34072P6H4YYH,5357999039,Картридж для Lexmark LaserPrinter T652 7000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,34073G1BAE8W,5357999041,Картридж для Lexmark LaserPrinter T654 7000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,34074BDR97IR,5357999042,Картридж для Lexmark LaserPrinter T656 7000 страниц,Готов к продаже,False,0,0,,ALL,False
oz_acc2,3407GILHIDOJ,1426202092,"Картридж DS T650A11E для принтеров Lexmark LaserPrinter T650, LP-T652,",Готов к продаже,False,0,0,,ALL,False
oz_acc2,3407X12QPJU0,6317867012,Комплект картриджей T650A11E (12 шт) на 84000 страниц для принтеров Le,Готов к продаже,False,0,0,,ALL,False
oz_acc2,3407X3C90LHU,6317866988,Комплект картриджей T650A11E (3 шт) на 21000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc2,3407X6TDQXD0,6317867030,Комплект картриджей T650A11E (6 шт) на 42000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc2,3407X9HSIGEW,6317866966,Комплект картриджей T650A11E (9 шт) на 63000 страниц для принтеров Lex,Готов к продаже,False,0,0,,ALL,False
oz_acc2,5694B06BFLP0,1405611871,"Чернила DS E-110 Bk для принтеров Epson EcoTank M1100, EcoTankM1120 че",Готов к продаже,False,0,0,,ALL,False
oz_acc2,5917LV3K4ZE5,1573834186,"Печатающая головка DS C4811A для принтеров HP Business InkJet 1100, In",Готов к продаже,False,0,0,,ALL,False
