nm_id;arm;advert_id;cpc_now;clicks14;views14;orders14;margin;stock
323336925;control;35509833;7.3;1;198;0;41.8;14
323339687;seed;35509833;7.3;4;101;0;34.5;25
323345021;seed;35495292;7.3;4;85;0;45.8;1
323348795;control;35508987;5.4;3;6;0;29.6;45
323349463;seed;35512936;7.3;1;3;0;46.0;45
323355873;seed;35508987;5.4;1;12;0;32.8;45
323359634;seed;35512317;7.3;1;14;0;39.8;45
323359850;control;35512317;8.8;1;78;0;33.1;12
323361368;seed;35512317;7.3;1;2;0;28.1;45
324981213;seed;35515230;7.3;1;48;0;25.2;34
324983904;seed;35514926;7.3;5;256;0;27.9;1
324983967;seed;35509833;8.0;4;108;0;34.2;35
324986604;seed;35514220;7.3;1;19;0;34.5;45
324987397;control;35501262;7.3;1;88;0;27.0;3
324987785;control;35513872;7.3;2;303;0;29.5;45
324989535;control;35508987;7.1;4;94;1;42.2;2
324989539;seed;35508987;5.4;2;94;1;43.9;45
324989830;seed;35495292;7.3;1;44;0;34.9;45
324989957;control;35513491;7.3;1;4;0;34.1;1
324991248;seed;35512936;7.3;1;1;0;37.4;11
324991296;seed;35512936;7.3;2;237;0;33.8;45
324994725;seed;35499196;7.3;1;49;1;31.2;45
324995313;control;35495292;7.3;1;24;0;37.9;45
324995485;control;36463324;7.3;1;6;0;37.3;4
324995891;control;36460888;7.3;2;29;0;35.4;45
343240130;seed;35511919;7.3;1;29;0;36.4;6
343261974;seed;36462624;7.3;1;54;0;38.3;8
355713918;seed;35508987;4.47;2;19;0;39.1;45
393838678;control;35508987;4.47;2;4;0;43.1;1
416649265;seed;36462624;8.0;10;157;0;37.4;45
432720891;control;35511919;7.3;4;81;0;32.5;1
434720728;seed;35511919;7.3;1;98;0;25.9;45
434720989;seed;36460888;7.3;1;15;0;26.7;45
434795047;control;35495292;7.3;4;336;0;41.0;45
434805158;control;35495292;7.3;3;248;0;44.3;23
434805661;control;35503146;7.3;2;184;0;30.0;41
435042275;seed;35512936;8.0;1;300;0;27.0;25
435044276;seed;35500249;7.3;3;339;0;32.4;45
435045553;control;35513180;7.3;2;71;0;32.8;16
435045916;seed;35513180;7.3;2;198;0;45.7;45
437416612;control;36459075;7.3;1;72;0;38.4;45
447219917;seed;35495292;7.3;1;6;0;35.2;1
488746328;control;35495292;7.3;12;705;0;25.7;3
497230540;seed;35508987;4.47;1;60;0;40.4;2
498770591;seed;35510132;7.3;2;2;0;37.8;1
507053831;seed;36462624;8.8;1;58;0;28.2;45
507535867;seed;36462624;8.8;1;52;1;47.8;45
545073605;control;35495292;7.3;1;56;0;37.4;45
550366371;control;36462624;7.3;8;219;0;37.3;25
550453271;seed;36462624;7.3;5;199;0;26.6;41
552820715;seed;35498926;7.3;2;45;0;33.8;45
555381186;control;35508987;4.47;1;31;0;40.1;45
716763840;control;35500111;7.3;1;28;0;34.4;45
797536175;control;36460596;7.3;1;47;0;28.9;10
797685849;control;35505900;7.3;2;34;0;42.6;2
801169491;control;35509833;7.3;4;29;0;54.2;2
801178799;control;35509833;7.3;1;10;1;45.3;5
807385889;control;35508987;4.9;1;68;0;39.2;45
832143094;control;35510132;7.3;1;26;0;29.0;45
858718800;seed;35509833;7.3;1;4;1;36.4;45
858957315;control;35498621;7.3;1;151;0;40.0;45
859847320;control;35503414;7.3;2;5;0;36.4;14
859952915;seed;35509529;8.0;4;53;0;36.1;25
859966307;seed;35509529;7.3;1;8;0;35.5;30
859968136;control;35509529;7.3;2;9;0;35.5;30
859971983;control;35509529;7.3;2;66;0;35.5;30
859983202;seed;35509529;7.3;1;28;0;34.5;1
859997992;seed;35509529;7.3;2;5;0;34.8;11
859998277;seed;35509529;7.3;1;19;0;34.8;11
860008821;seed;35509529;7.3;1;12;0;34.5;11
860027083;control;35509529;7.3;2;3;0;33.8;20
860099256;control;35509529;7.3;11;85;1;37.5;1
860493495;control;35505545;7.3;1;6;0;37.4;15
860647322;seed;35509529;7.3;2;23;0;33.9;45
862419665;seed;35509256;7.3;1;4;0;33.3;2
862420341;control;35509256;7.3;1;3;0;33.3;2
862422795;control;36463324;7.3;5;49;1;25.6;2
862423500;seed;35508987;7.3;2;14;0;33.3;2
862431434;seed;35501028;7.3;1;12;0;35.2;25
862432570;control;35501028;7.3;1;7;0;35.2;25
862433140;control;35509256;7.3;1;3;0;33.5;45
862504599;control;35509256;7.3;2;11;0;30.6;45
862507346;seed;35509256;7.3;1;21;0;30.6;1
865083512;seed;35508404;7.3;1;1;0;32.6;45
865115401;seed;35508404;7.3;4;10;1;34.7;1
865125983;control;35508404;7.3;1;11;0;37.6;25
865159161;control;35508404;7.3;2;2;0;34.6;5
865296760;seed;35508404;7.3;3;5;0;28.6;45
865321830;control;35508404;7.3;1;38;0;40.8;1
865380601;control;35508404;7.3;1;20;0;35.7;25
865394789;control;35508404;8.0;1;23;0;35.2;6
865701456;control;35508061;8.8;3;59;0;26.8;2
865711799;control;35508061;7.3;2;17;0;25.9;15
865725901;control;35501028;7.3;1;20;0;27.9;45
865774385;seed;35498621;7.3;1;1;0;28.6;45
866748441;control;35501509;8.0;1;20;3;42.8;2
867117437;seed;35508061;7.3;4;151;0;25.9;3
867212456;seed;35507796;7.3;1;22;0;39.8;1
868913316;seed;35501028;7.3;1;6;0;38.4;45
870460381;control;35498671;7.3;1;52;0;37.0;21
870468595;seed;35498621;7.3;1;13;0;33.3;14
871013614;control;35507605;7.3;1;18;0;34.6;45
871019675;seed;35507605;7.3;1;21;0;34.6;45
871025553;control;35507605;7.3;1;21;0;34.6;45
871047086;seed;35507605;7.3;1;73;0;27.0;25
871054892;control;35505900;7.3;2;24;0;31.3;1
871057717;seed;35507605;8.0;2;13;1;31.3;1
871075743;control;35507605;7.3;4;30;1;34.8;8
871162778;seed;35505238;9.0;4;16;0;35.7;11
871163509;control;35507256;7.3;10;121;2;36.2;11
871610118;seed;35507256;7.3;1;7;0;35.6;45
871618748;control;35507256;7.3;1;4;0;35.6;45
871642567;seed;35507256;7.3;1;11;0;31.3;1
871678890;seed;35507256;7.3;4;4;2;32.9;6
871681593;seed;35501028;8.0;2;4;0;33.6;45
871695200;control;35506296;7.3;1;9;0;37.0;6
871696316;control;35506296;7.3;1;4;0;37.0;6
871734224;control;35506296;7.3;2;23;0;36.8;20
871734930;seed;35506296;7.3;1;16;0;36.8;20
871739656;seed;35506296;7.3;1;8;0;36.8;17
871743327;seed;35506296;7.3;4;83;0;36.8;17
872310628;seed;35506296;7.3;1;11;1;38.2;3
872313895;control;35506296;7.3;2;19;0;38.2;3
872339941;seed;35506296;7.3;1;5;0;28.6;24
872341296;seed;35506296;7.3;3;16;0;28.6;24
872344034;control;35506296;7.3;1;33;0;28.6;24
872344554;control;35506296;7.3;2;32;0;28.6;24
872345301;seed;35506296;7.3;1;35;0;28.6;24
872353295;seed;35506296;7.3;1;21;1;28.6;24
872365966;control;35506296;7.3;1;56;0;40.2;8
872366889;seed;35506296;7.3;2;56;0;40.2;8
872367178;control;35506296;7.3;2;46;0;40.2;8
872370785;control;35506296;7.3;1;31;0;40.2;8
872371204;seed;35506296;7.3;1;48;0;40.2;8
872372319;control;35506296;7.3;1;37;0;40.2;8
872374052;seed;35506296;7.3;1;31;0;40.2;8
872379386;control;35505900;7.3;1;10;0;33.1;2
872385590;seed;35505900;7.3;1;9;0;33.1;2
872393746;control;35505900;7.3;2;17;0;33.1;2
872416690;control;35505900;7.3;1;1;0;33.1;2
872426220;control;35505900;7.3;1;6;0;33.1;2
872448709;control;35505545;7.3;3;2;0;31.5;9
873340476;control;36458352;7.3;5;11;0;42.5;7
873342800;seed;36458352;7.3;1;13;0;42.6;2
873343044;seed;36458352;7.3;2;18;0;42.5;7
873348037;seed;36458352;7.3;1;15;0;33.1;1
873359904;control;35505545;7.3;2;47;0;42.8;1
873376008;seed;35505545;7.3;1;3;0;33.1;1
873433808;control;35498462;7.3;2;29;0;40.2;2
873435015;control;35498462;7.3;1;65;0;40.2;2
873435321;seed;35498462;7.3;6;87;0;40.2;2
873436487;seed;35498462;7.3;2;120;0;40.2;2
873436832;seed;35498462;7.3;1;139;0;35.5;2
873437727;seed;35498462;7.3;2;15;0;40.2;2
873437909;control;35498462;7.3;1;24;0;40.2;2
873438405;control;35498462;8.0;3;76;0;40.2;2
873443684;control;35505545;7.3;2;92;0;31.8;45
874412814;control;35501028;7.3;1;4;0;33.2;14
874752486;control;36463324;7.3;4;20;3;25.1;6
874765012;control;35505238;7.3;2;42;0;35.1;1
874766016;seed;35505238;7.3;1;13;0;40.4;1
874766770;control;35505238;7.3;1;12;1;40.4;1
874767217;seed;35505238;7.3;1;10;1;40.4;1
874771669;seed;35505238;7.3;1;10;0;32.7;25
874802448;seed;35505238;7.3;1;7;1;31.5;3
874838035;seed;35505545;7.3;1;6;0;35.1;2
874842126;seed;35505238;7.3;3;33;1;36.9;3
874843871;seed;36463324;7.3;3;137;0;36.9;3
874844343;seed;35505238;7.3;2;42;0;36.9;3
874892532;control;35505238;7.3;1;156;0;39.4;25
874894321;seed;35505238;7.3;4;181;0;39.4;25
876063805;seed;35505238;7.3;1;48;0;39.4;25
876162546;seed;35505238;7.3;1;5;0;33.3;1
877184778;control;35505238;7.3;1;3;0;39.4;2
877447058;seed;35504951;7.3;1;19;0;34.3;2
878066317;control;35497479;7.3;1;6;0;36.1;2
878717773;seed;35504537;7.3;1;8;0;33.2;1
878769505;control;35504156;7.3;4;195;0;38.4;45
879551892;control;35504537;7.3;15;207;0;29.3;1
879576997;seed;35504537;7.3;1;12;0;33.5;1
879654463;control;35504537;7.3;1;3;0;38.9;14
879719224;seed;35504156;7.3;1;18;0;37.0;1
879741288;control;35504156;7.3;1;9;0;37.0;1
879745121;seed;35504156;7.3;1;23;0;30.3;1
880185577;seed;35504156;7.3;1;28;0;28.4;3
880189575;control;35504156;7.3;1;16;0;28.4;3
880215156;control;35501028;7.3;1;1;0;34.1;2
880304772;seed;35504156;7.3;2;14;0;33.5;2
880305789;control;35504156;7.3;1;2;0;37.4;10
880312355;control;35504156;7.3;1;6;0;37.9;15
880571388;seed;35503784;7.3;2;30;0;32.8;2
880571786;seed;35503784;7.3;2;41;0;25.8;2
880572076;seed;35503784;8.0;1;46;0;25.4;2
880575819;seed;35500249;7.3;1;4;0;34.0;14
881017201;seed;35503784;7.3;3;6;0;36.1;45
881019166;seed;35503784;7.3;1;8;0;36.1;45
881077426;seed;35503784;7.3;1;5;0;32.8;8
881176391;control;35503784;7.3;4;3;0;37.4;1
