nm_id;vendor_code;buyer_price_0709;buyer_price_live;margin_0709;margin_live;stock_live;cpc
546318860;6615;2810;2810;-18.8;-18.8;4;
1208520885;7071;3790;3790;-18.4;-18.4;36;
440334909;02321;463;463;-14.2;-14.2;4;7.3
964785607;02328;463;463;-9.5;-9.5;3;
964785152;02326;463;463;-9.5;-9.5;3;
181052385;0232;463;463;-9.5;-9.5;3;7.3
967393446;02323;463;463;-9.5;-9.5;3;
199566595;02329;463;463;-9.5;-9.5;3;
192569011;3064;2323;5785;-103.5;-6.6;8;
878640681;2176;2305;2305;-6.5;-6.5;21;
552867820;6743;3028;3028;-6.1;-6.1;22;
209712923;0869;1086;1111;-2.6;-1.2;2;
257807710;0784;1060;1060;-1.1;-1.1;1;
236322550;0785;1060;1060;-1.1;-1.1;1;
551374050;6712;9604;9604;-0.8;-0.8;36;
209727742;3061;785;785;-0.3;-0.3;9;
192626365;4734;14730;15782;-4.5;-0.3;11;
199334748;3062;785;785;-0.3;-0.3;8;
181116465;2173;785;785;-0.3;-0.3;24;7.3
199334645;3063;785;785;-0.3;-0.3;8;
