# oz_acc1: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 4.6 п.п.; построено 2026-08-18 — кандидаты на подъём ставки
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",True,35.43,2,от 5000 до 10000 / Эксперимент1,3839,63,1.64,17.7,1112.19,1517,1.0,9496.0,11.7,1.59,21,42,789.45,0.0,0.0,38969,820,0,11794,31.3333333333333333,26,1783,0,69479,6,4,39002.0000,29,249257.0000,38,321884.0000,37,1,2.7,2026-08-01,17,0,9871.0,,28.51,23.9,2813.88,0.0394,91.5,73.5,38.1,bid_up,A,реклама окупается (ДРР 11.7 %); сам продаёт 249 257 ₽/90 дн
870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6630cidn",True,29.0,2,от 5000 до 10000 / Эксперимент1,1562,28,1.79,16.4,459.51,627,3.0,24818.0,1.9,10.71,22,19,357.24,3.0,24818.0,112111,748,0,19982,45.2500000000000000,37,1323,0,135862,7,10,86198.0000,24,214268.0000,28,249722.0000,26,1,3.8,2026-08-11,7,0,10342.0,,26.91,22.3,2782.85,0.0565,128.1,101.2,72.2,bid_up,A,реклама окупается (ДРР 1.9 %); сам продаёт 214 268 ₽/90 дн
863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",True,22.54,2,от 5000 до 10000 / Эксперимент1,1552,57,3.67,9.4,538.13,734,4.0,32734.0,1.6,7.02,21,28,234.04,3.0,24510.0,164676,845,0,21417,43.0000000000000000,39,1748,0,201969,6,7,57658.0000,24,188918.0000,38,283125.0000,43,5,11.6,2026-08-10,8,0,8337.0,,29.15,24.5,2430.57,0.0394,79.3,64.1,41.6,bid_up,A,реклама окупается (ДРР 1.6 %); сам продаёт 188 918 ₽/90 дн
863385336,1214,"Картриджи TK-895 для принтеров Kyocera FS-C8020MFP, FS C8025MFP, FSC8520MFP, FS-C8525MFP",True,17.71,1,Эксперимент1,782,11,1.41,7.0,76.46,104,3.0,30310.0,0.3,27.27,22,4,50.61,0.0,0.0,81558,626,0,30251,48.0000000000000000,30,1313,0,104140,7,5,51877.0000,18,173912.0000,19,182568.0000,19,0,0.0,2026-08-03,15,0,13586.0,,24.68,20.1,3353.24,0.0565,151.2,116.0,98.3,bid_up,A,реклама окупается (ДРР 0.3 %); сам продаёт 173 912 ₽/90 дн
1510950358,5388,"Картриджи 055H для принтеров Canon i-SENSYS LBP-662, LBP 663, MF 741, MF 743",True,12.89,1,Эксперимент1,842,27,3.21,9.7,261.39,356,3.0,39748.0,0.7,11.11,22,20,229.41,1.0,12460.0,15065,504,0,7348,51.7500000000000000,36,731,0,20182,7,3,39748.0000,13,160617.2400,13,160617.2400,15,2,13.3,2026-08-15,3,0,13128.0,,32.68,28.1,4290.4,0.0565,205.4,171.4,158.5,bid_up,A,реклама окупается (ДРР 0.7 %); сам продаёт 160 617 ₽/90 дн
863431671,0358,"Картриджи Q6000A-Q6003A для принтеров HP Color LaserJet 1600, LJ 2600, LJ-2605, LJ CM1015, LJCM1017",True,19.33,1,от 10000 до 500 тыс,867,51,5.88,13.6,692.76,945,2.0,41344.0,1.7,3.92,22,28,438.55,1.0,20648.0,70704,931,0,0,29.5000000000000000,23,1457,0,105068,7,3,64420.0000,7,146042.0000,7,146042.0000,10,3,30.0,2026-08-10,8,0,22176.0,,22.83,18.2,5063.14,0.0565,223.5,165.5,146.2,bid_up,A,реклама окупается (ДРР 1.7 %); сам продаёт 146 042 ₽/90 дн; позиция 30 при спросе 70 704
2536598937,6297,"Картриджи BPGT20BA-BPGT20YA для принтеров Sharp BP-10C20EU, BP 20C20EU, BP20C25EU",True,20.93,2,от 10000 до 500 тыс / Эксперимент1,444,6,1.35,6.6,39.48,54,2.0,37858.0,0.1,33.33,20,2,19.81,0.0,0.0,17540,317,0,41692,30.2500000000000000,18,551,0,29710,7,3,63479.0000,6,114440.0000,7,130749.0000,7,1,14.3,2026-08-03,15,0,31412.0,,23.79,19.2,7473.59,0.0565,333.7,252.2,231.3,bid_up,A,реклама окупается (ДРР 0.1 %); сам продаёт 114 440 ₽/90 дн
1852062768,5807,Картридж C-EXV65K для принтеров Canon iR-C3226i черный,True,32.0,1,от 5000 до 10000,212,3,1.42,17.4,52.10,71,1.0,7566.0,0.7,33.33,22,1,22.97,0.0,0.0,13320,293,0,23734,68.5000000000000000,59,853,0,47881,7,6,45930.0000,22,144391.0000,24,157861.0000,24,4,16.7,2026-08-11,7,0,7727.0,,31.21,26.6,2411.72,0.0394,79.8,65.8,33.8,bid_up,A,реклама окупается (ДРР 0.7 %); сам продаёт 144 391 ₽/90 дн
3557210909,6813,"Картриджи 055H для принтеров HP Color LaserJet M454dn, LJ Pro M454dw, M480f, M479dw, M479fdw, LBP-664, i-SENSYS-LBP663cdw, MF 741 MF 743",True,12.89,1,Эксперимент1,1295,40,3.09,7.5,301.46,411,2.0,28437.0,1.1,5.0,22,17,104.18,1.0,13048.0,20962,675,0,6775,43.5000000000000000,24,1323,0,35332,7,2,28437.0000,10,120056.0000,10,120056.0000,8,0,0.0,2026-08-04,14,0,12932.0,,21.79,17.2,2817.72,0.0565,122.8,89.2,76.3,bid_up,A,реклама окупается (ДРР 1.1 %); сам продаёт 120 056 ₽/90 дн
870872414,2266,"Картриджи TK-590 для принтеров m6026cdn, kyocera m6526cdn",True,19.33,2,от 5000 до 10000 / Эксперимент1,284,11,3.87,13.5,148.14,202,4.0,56055.0,0.3,36.36,20,8,112.82,2.0,28537.0,14450,144,0,8352,53.2500000000000000,25,358,0,33135,7,4,56055.0000,8,90809.0000,10,111887.0000,9,0,0.0,2026-08-12,6,0,14467.0,,34.77,30.2,5030.68,0.0565,243.5,206.1,186.8,bid_up,A,реклама окупается (ДРР 0.3 %); сам продаёт 90 809 ₽/90 дн
3550138162,6547,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF832Cdw",True,19.33,2,от 10000 до 500 тыс / Эксперимент1,572,17,2.97,7.3,123.71,169,1.0,20905.0,0.6,5.88,20,3,14.92,0.0,0.0,28385,482,0,0,43.6666666666666667,28,918,0,48234,6,2,41810.0000,6,122372.0000,6,122372.0000,6,0,0.0,2026-08-03,15,0,22680.0,,21.93,17.3,4972.77,0.0565,217.1,157.7,138.4,bid_up,A,реклама окупается (ДРР 0.6 %); сам продаёт 122 372 ₽/90 дн
3681638376,4147,"Картриджи №963XL для принтеров HP OfficeJet Pro 9010, OfficeJet Pro 9013",True,12.89,1,Эксперимент1,1026,21,2.05,6.0,125.57,171,1.0,15336.0,0.8,4.76,21,14,98.67,0.0,0.0,10538,480,0,24751,45.6666666666666667,32,721,0,15133,6,4,62034.0000,9,127312.0000,13,164016.0000,15,2,13.3,2026-08-14,4,0,14956.0,,22.48,17.9,3362.6,0.0565,147.8,109.1,96.2,bid_up,A,реклама окупается (ДРР 0.8 %); сам продаёт 127 312 ₽/90 дн
