sku,offer_id,name,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price,net_live
3846927355,07343ON0Z3FX,Картридж для Xerox Phaser 3040 2200 страниц,1,1382.0000,0,0.0,2026-07-29,31.52,1426.0,449.46
3846926505,07811XXMHAVA,Картридж для Kyocera FS-1040 2500 страниц,1,1299.0000,0,0.0,2026-05-19,24.9,1488.0,370.48
3862969842,04814IVXJ6XG,Картридж для Epson Stylus C42UX 230 страниц,1,1109.0000,0,0.0,2026-06-16,24.29,1136.0,275.96
3853742320,443311EF7FDQ,Чернила для Epson EcoTank M3180 6000 страниц,1,944.0000,0,0.0,2026-05-22,22.39,889.0,199.08
3853714704,38504J52V3FX,Чернила для Epson L-6160 7500 страниц,1,934.0000,0,0.0,2026-05-27,22.62,889.0,201.09
3830352051,0329PCONCDG1,"Картридж DS 178XL для принтеров HP PhotoSmart 7510, PhotoSmart 7520 фото-черный",1,925.0000,0,0.0,2026-06-14,22.91,889.0,203.69
3853745013,44334QI33G8V,Чернила для Epson EcoTank M1170 6000 страниц,1,889.0000,0,0.0,2026-07-21,21.45,889.0,190.66
3830431018,0758UXOC89Q4,"Картридж DS CLI-8PM для принтеров Canon Pixma iP6600D, Pixma ip6700D, Pro9000 Mark II фото-пурпурный",1,775.0000,0,0.0,2026-06-14,4.19,344.0,14.4
3846857047,05956UISEG0U,Картридж для Brother DCP-195C 300 страниц,1,707.0000,0,0.0,2026-07-24,18.81,726.0,136.55
3853452736,260729RIMFEI,Чернила для Epson L3060 4500 страниц,1,635.0000,0,0.0,2026-06-02,22.57,860.0,194.13
3853451377,26076XMCU3US,Чернила для Epson L210 4500 страниц,1,635.0000,0,0.0,2026-05-20,22.57,860.0,194.13
3846847032,04896P8D4WX9,Картридж для Epson Stylus C86 450 страниц,1,457.0000,0,0.0,2026-05-18,8.24,430.0,35.42
