# oz_acc1: неделя 31.08–06.09 против 24.08–30.08; органика — неделя 24.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
enter,enter,652576892,5336,"Картридж 703 для принтеров Canon и i-SENSYS LBP2900, LBP-3000 черный",,,6.0,,13.3,,18.5,2463.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,173.0000000000000000,87.0000000000000000,86.0,8,1,0,8,23,0,8,1,2473.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,653028004,3110,"Картридж LC-3619XLC для принтеров Brother MFC-J2330, MFC J2730 голубой",,,6.0,,9.9,,17.7,1552.0,0.05,справочная,0,0,0,0,0,,,,0,0,0,,65.0000000000000000,138.0000000000000000,-73.0,8,2,0,4905,29,0,6,1,1457.0000,0,3,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,930626153,3118,"Картриджи LC-665XL-669XL для принтеров Brother MFC-J2320, MFC-J2720",,,6.0,,26.4,,19.9,5903.0,0.03,справочная,0,0,0,0,0,,,,0,0,0,,12.0000000000000000,,,15,14,0,14,19,0,1,1,5884.0000,0,17,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,1146702725,5220,Фотобарабан DL-5126 для принтеров BM5106ADN черный,,,6.0,,14.4,,17.4,2896.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,79.0000000000000000,131.0000000000000000,-52.0,9,3,0,21,11,0,6,1,2943.0000,0,4,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,1586847030,5127,Картриджи 45862845-45862848 для принтеров OKI Data MC873,,,6.0,,55.0,,10.6,49147.0,0.02,справочная,0,0,0,0,0,,,,0,0,0,,17.0000000000000000,6.0000000000000000,11.0,10,6,0,672,2,1,3,1,31751.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,1765863938,5774,"Заправочный комплект W1540X для принтеров HP LaserJet Tank 1502w, LJ Tank 2502dw черный",,,6.0,,11.6,,19.1,1646.0,0.05,справочная,0,0,0,0,0,,,,0,0,0,,69.0000000000000000,86.0000000000000000,-17.0,13,6,0,4938,15,0,6,1,1598.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4481064956,12312,Картридж для Brother MFC-J2510,,,6.0,,5.1,,14.7,1046.0,0.05,справочная,0,0,0,0,0,,,,0,0,0,,53.0000000000000000,33.0000000000000000,20.0,11,4,0,14,3,1,10,1,1175.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4797037709,13334,Картридж для Toshiba e-Studio 167,,,6.0,,17.6,,16.4,5156.0,0.03,справочная,0,0,0,0,0,,,,0,0,0,,94.0000000000000000,85.0000000000000000,9.0,7,4,0,7,,0,0,1,4951.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4504241142,239314,Комплект картриджей для Canon SELPHY CP720,,,6.0,,30.3,,16.0,9183.0,0.03,справочная,0,0,0,0,0,,,,0,0,0,,52.0000000000000000,53.0000000000000000,-1.0,91,11,0,648,26,0,12,1,9645.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4507510309,29052,Картридж для Ricoh Aficio SP 8300,,,6.0,,27.5,,14.7,14178.0,0.02,справочная,0,0,0,0,0,,,,0,0,0,,45.0000000000000000,21.0000000000000000,24.0,12,6,0,11251,1,4,6,1,7656.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
