# oz_acc2: неделя 24.08–30.08 против 17.08–23.08; органика — неделя 17.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
green,up10,1883106519,2187VWKJBIQI,"Картриджи DS №953XL для принтеров HP OfficeJet Pro 7720, OfficeJet Pro 7730",Все,8.0,8.8,0.8,24.0,16.0,16.7,5180.0,0.0396,факт,436,28,229.75,2.0,8325.0,8.2,6.42,2.8,30,219.04,1.0,7.3,22.0000000000000000,35.0000000000000000,-13.0,249,26,3156,9194,6,5,13,4,18477.0000,2,15,101,818.48,4.0,0,0,"2 заказ(ов) на 8325 ₽, ДРР 2.8 % ≤ 10.0 %, было 1 заказ(ов); ставка 8.0 → 8.8 ₽"
green,up10,1873140750,5309AEW585GM,"Тонер DS TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",Все,8.0,8.8,0.8,25.7,17.7,18.1,1766.0,0.1111,факт,250,10,72.14,1.0,1681.0,7.2,4.0,4.3,7,39.01,0.0,5.6,51.0000000000000000,64.0000000000000000,-13.0,109,-21,841,1252,5,2,15,2,3400.0000,1,18,36,256.08,4.0,0,0,"1 заказ(ов) на 1681 ₽, ДРР 4.3 % ≤ 10.0 %; ставка 8.0 → 8.8 ₽"
green,up10,2681828516,6404SF5GNJ65,"Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",5000-10000,12.0,13.2,1.2,19.6,7.6,11.7,14634.0,0.02,справочная,120,7,70.14,1.0,11007.0,10.0,5.83,0.6,0,0.0,0.0,,53.0000000000000000,102.0000000000000000,-49.0,100,-86,0,14872,3,1,15,1,11007.0000,1,29,19,176.33,3.0,0,0,"1 заказ(ов) на 11007 ₽, ДРР 0.6 % ≤ 10.0 %; ставка 12.0 → 13.2 ₽"
green,up10,2698855664,6452NKN14RKX,"Чернила DS GI-46PGBK для принтеров Canon MAXIFY GX5040, GX6040, GX7040 черный",Все,9.8,10.8,1.0,16.0,6.2,18.2,3024.0,0.04,справочная,116,3,23.51,1.0,1348.0,7.8,2.59,1.7,2,6.64,0.0,3.3,36.0000000000000000,48.0000000000000000,-12.0,143,-90,0,420,3,4,15,1,1348.0000,1,35,28,290.96,1.0,0,0,"1 заказ(ов) на 1348 ₽, ДРР 1.7 % ≤ 10.0 %; ставка 9.8 → 10.8 ₽"
