nm_id;vendor_code;price_was;price_now;margin_was;margin_now;cpc
323250549;3064AU3QB59F;16869.46;1349.44;32.81;-263.69;
323246229;1713Y3NJ6ZCN;24555.67;2209.81;35.26;-200.64;
880266430;08803YLOYBDH;16710.45;2005.08;34.57;-141.61;
880266022;08802NWWJOMH;16710.45;2005.08;34.57;-141.61;
880267145;08804MM8VUUH;16710.45;2005.08;34.57;-141.61;
880265719;08801ISR2K22;16710.45;2005.08;34.57;-141.61;
323205794;4181DN0IN78P;17490.47;2098.67;34.68;-140.65;
323266329;2549GH33D17O;25414.68;3049.5;35.32;-135.35;
434799022;4824GMMUPLMK;20885.56;2506.05;35.48;-134.01;
323281690;2077LBECTZ4S;13523.37;1622.67;35.53;-133.62;
323299381;4208DDJF3ROR;21926.6;2630.96;35.68;-132.38;
323348002;4291P6EDTS0H;55527.5;7773.18;31.96;-131.64;
497169988;6440ZFVKNOWK;80981.19;10526.65;33.92;-131.18;
485560295;6327A7RAK533;80470.16;11264.85;32.23;-129.74;
870430196;63614FNMH3GS;41650.12;5830.51;32.54;-127.48;
869385730;63613TAJPMUS;41650.12;5830.51;32.54;-127.48;
869382933;63612VHC39UJ;41650.12;5830.51;32.54;-127.48;
490291215;6361ZPE5M2Y0;41650.12;5830.51;32.54;-127.48;
869382034;63611FDZKC28;41650.12;5830.51;32.54;-127.48;
870436013;63619SJHZ2J9;41650.12;5830.51;32.54;-127.48;
870435262;63618QMY484B;41650.12;5830.51;32.54;-127.48;
870434506;63617CAPP88N;41650.12;5830.51;32.54;-127.48;
870433653;63616WDZDQC1;41650.12;5830.51;32.54;-127.48;
870430716;63615LRF3ZWY;41650.12;5830.51;32.54;-127.48;
324987550;3427DOO4DMQZ;4034.11;524.39;34.67;-125.41;
324987556;3428ITC3NHDF;4034.11;524.39;34.67;-125.41;
323362444;5508GXDRQY7R;21497.58;2794.44;34.82;-124.28;
323244811;5100CTCKCH5L;67094.81;9392.46;33.14;-123.2;
887179411;50612QZFUR9B;19638.53;2552.79;35.1;-122.16;
887179025;50611KHQ61AK;19638.53;2552.79;35.1;-122.16;
883997686;25481UH66IMV;23859.64;3101.49;35.21;-121.3;
324984181;2548ZM5Y9TK0;23859.64;3101.49;35.21;-121.3;
323339668;4290DA3CECS1;31116.83;4044.84;35.24;-121.02;
323259199;0521JGZTTFAP;22706.61;2951.61;35.25;-120.94;
323248303;1710DWOOA508;24555.67;3191.97;35.26;-120.9;
323242748;1304L4DF4L21;10107.94;1858.77;25.88;-119.35;
343239794;5797Y8339422;48589.31;6801.91;33.86;-118.1;
343239716;5794OS9R2G29;48589.31;6801.91;33.86;-118.1;
323328833;4819VBDC7N4D;31116.83;4044.84;35.73;-117.26;
323138170;4775REBNV5SM;74038.0;10364.43;34.1;-116.37;
323132216;2878H145QAGA;39864.07;5181.88;35.94;-115.67;
489541024;6347YJZG9K6M;32420.88;4214.34;35.94;-115.65;
868989272;19943NSKN0PL;44081.19;5730.05;36.04;-114.87;
868984434;19942WQ66KCR;44081.19;5730.05;36.04;-114.87;
868983765;19941V9GW941;44081.19;5730.05;36.04;-114.87;
489539682;6345KE4QI5QO;36308.98;4719.76;36.06;-114.76;
514351345;6578Y4PV5TCM;36308.98;4719.76;36.06;-114.76;
435042239;4803TD8F8KDV;33715.91;4382.68;36.16;-114.0;
484925746;6316LTSLPIU1;38903.06;5056.96;36.41;-112.07;
484926223;6317R494KQ9V;38903.06;5056.96;36.41;-112.07;
484925080;6315XSYWQJO1;38903.06;5056.96;36.41;-112.07;
484911430;6314Q7UOZDA3;41492.11;5393.5;36.45;-111.77;
885105538;27933TYWR88Z;19054.51;2667.4;34.89;-110.74;
885105157;27932HT4WNDZ;19054.51;2667.4;34.89;-110.74;
885104671;27931V32WIFJ;19054.51;2667.4;34.89;-110.74;
885113122;28086VGOKU8Y;18793.51;2818.79;33.27;-110.26;
885125421;280815VSG5FO;18793.51;2818.79;33.27;-110.26;
885125998;280816QHIS4W;18793.51;2818.79;33.27;-110.26;
885126315;280817AX1HTA;18793.51;2818.79;33.27;-110.26;
885120534;280814PRLMWI;18793.51;2818.79;33.27;-110.26;
885114686;28088KV4BB2A;18793.51;2818.79;33.27;-110.26;
885115234;28089T2L8FAT;18793.51;2818.79;33.27;-110.26;
885116213;280810HRF5F9;18793.51;2818.79;33.27;-110.26;
885116608;280811NW2E4X;18793.51;2818.79;33.27;-110.26;
885118563;280812R2JDB6;18793.51;2818.79;33.27;-110.26;
885120009;280813T1HLVB;18793.51;2818.79;33.27;-110.26;
885106582;28081BPN6Z0V;18793.51;2818.79;33.27;-110.26;
885107073;28082QEPLGIC;18793.51;2818.79;33.27;-110.26;
885109857;28083XNVWK7R;18793.51;2818.79;33.27;-110.26;
885126849;280818G4KQ1I;18793.51;2818.79;33.27;-110.26;
885114186;28087W8RIQ9L;18793.51;2818.79;33.27;-110.26;
885110276;28084X5XTNMT;18793.51;2818.79;33.27;-110.26;
885110857;28085MG9BXQU;18793.51;2818.79;33.27;-110.26;
869224740;49417BIEKCL3;77135.08;12340.55;31.67;-109.73;
323253560;4941NXBCKSQT;77135.08;12340.55;31.67;-109.73;
869228663;49419V30M4PD;77135.08;12340.55;31.67;-109.73;
869218387;49413WARXX8U;77135.08;12340.55;31.67;-109.73;
869220283;49414HUNL0ZB;77135.08;12340.55;31.67;-109.73;
869222714;49415PAB0692;77135.08;12340.55;31.67;-109.73;
869224032;49416EGEPMNU;77135.08;12340.55;31.67;-109.73;
869226713;49418EDW5K0R;77135.08;12340.55;31.67;-109.73;
869216322;49411GZGUY3F;77135.08;12340.55;31.67;-109.73;
869217568;49412WW2DOLX;77135.08;12340.55;31.67;-109.73;
869313507;58981QKCI89D;46278.25;6941.13;33.39;-109.44;
380712002;5898OQ2SBJAM;46278.25;6941.13;33.39;-109.44;
886331425;36443YAT0FTL;20885.56;2923.73;35.09;-109.31;
886330516;36442QR8DK89;20885.56;2923.73;35.09;-109.31;
886329752;36441L2UUXLS;20885.56;2923.73;35.09;-109.31;
886332409;36444LZ0Q81N;20885.56;2923.73;35.09;-109.31;
