account,offer_id,sku,rev,net,margin_pct,price,new_price,market_min,index,cut,cut_pct,net_loss_2m,net_after,survives
oz_acc1,3913,457222036,255187.16666666666,84311.63166666665,33.0391346743534,9857.0,9408.954545454544,5270.0,1.1,448.04545454545524,4.545454545454552,7423.626666666678,76888.00499999998,True
oz_acc1,4278,457712866,168462.5,55154.55999999998,32.73996289975513,9363.0,9274.669811320755,5252.0,1.06,88.33018867924527,0.9433962264150941,1017.1320754716979,54137.42792452829,True
oz_acc1,10325,330000988,143742.0,34074.54511111111,23.70535063593877,8378.0,7392.352941176471,4090.0,1.19,985.6470588235287,11.764705882352933,10822.927058823521,23251.618052287587,True
oz_acc1,5530,1146091905,134494.0,55439.22999999999,41.22059720136214,4885.0,4383.974358974359,2184.0,1.17,501.0256410256403,10.256410256410241,8828.324102564091,46610.9058974359,True
oz_acc1,2240,455887808,134236.0,40625.899999999994,30.264534104115135,7507.0,6854.217391304348,3831.0,1.15,652.7826086956518,8.695652173913038,7470.5252173912995,33155.37478260869,True
oz_acc1,5374,2909241694,121780.5,37556.115,30.839186076588618,5668.0,4474.736842105263,2072.0,1.33,1193.2631578947369,21.052631578947366,16408.32,21147.795,True
oz_acc2,6454AL1ZE8I7,2508112129,74559.5,28944.960000000003,38.82129037882497,8189.0,6665.46511627907,3534.0,1.29,1523.53488372093,18.6046511627907,8877.782325581395,20067.177674418606,True
oz_acc1,5544,1152895611,73502.0,21996.1,29.925852357758973,24316.0,17021.2,6267.0,1.5,7294.799999999998,29.999999999999993,14112.383999999996,7883.716000000002,True
oz_acc1,2280,455887958,66450.0,18442.48,27.753920240782545,9581.0,8525.466101694916,5442.0,1.18,1055.533898305084,11.016949152542367,4685.288135593218,13757.191864406781,True
oz_acc1,5521,1145570000,51288.0,16834.316666666666,32.82311001923777,3564.0,3144.7058823529414,1692.0,1.19,419.2941176470585,11.764705882352933,3861.68470588235,12972.631960784316,True
oz_acc2,4147LPJQN98A,1405560043,49022.0,8200.559999999998,16.72832605768838,16481.0,14301.694214876035,7396.0,1.21,2179.305785123965,13.223140495867758,4148.638677685947,4051.9213223140505,True
oz_acc1,4481,457713266,48222.0,17633.139999999996,36.566587864460196,4580.0,4218.421052631579,2327.0,1.14,361.57894736842064,7.894736842105255,2436.4799999999973,15196.659999999998,True
