nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
267444427;35282981;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;14.18;42.3;;17.3;0.00;0;0;0;0;0;0;0;24;0;0;
209665702;35703547;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;40.4;;15.4;0.00;0;0;0;0;0;0;0;34;0;0;
192228201;35706004;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;15.2;;0.0;0.00;0;0;0;0;0;0;0;23;0;0;
566154551;35282981;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;28.1;;3.1;0.00;0;0;0;0;0;0;1;24;0;0;
200163067;35282447;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;44.3;;19.3;0.00;0;0;0;0;0;0;0;10;0;2;
199569881;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;25.5;;0.5;0.00;0;0;0;0;0;0;5;3;0;3;
192568815;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;51.5;;26.5;0.00;0;0;0;0;0;0;0;29;0;0;
192568889;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;47.3;;22.3;0.00;0;0;0;0;0;0;0;10;0;1;
964955376;36879576;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;34.5;;9.5;0.00;0;0;0;0;0;0;0;9;0;0;
199571893;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;25.0;;0.0;0.00;0;0;0;0;0;0;0;5;0;0;
199572516;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;31.2;;6.2;0.00;0;0;0;0;0;0;0;6;0;0;
199570567;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;23.3;;0.0;0.00;0;0;0;0;0;0;0;11;0;0;
199570622;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;17.2;;0.0;0.00;0;0;0;0;0;0;0;15;0;0;
199570708;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;19.3;;0.0;0.00;0;0;0;0;0;0;0;16;0;0;
199572429;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;28.1;;3.1;0.00;0;0;0;0;0;1;0;17;0;1;
199572507;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;9.71;31.3;;6.3;0.00;0;0;0;0;0;0;0;7;0;0;
199572508;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;26.2;;1.2;0.00;0;0;0;0;0;0;0;13;0;0;
181097423;35706004;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;33.3;;8.3;0.00;0;0;0;0;0;0;0;26;0;1;
199335623;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;26.6;;1.6;0.00;0;0;0;0;0;0;0;20;0;1;13
859072201;36874215;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;23.4;;0.0;0.00;0;0;0;0;0;0;0;26;0;0;
416673135;35282981;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;26.4;;1.4;0.00;0;0;0;0;0;0;0;2;0;0;
209713986;35282447;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;30.0;;5.0;0.00;0;0;0;0;0;0;0;41;0;0;
181105110;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;45.0;;20.0;0.00;0;0;0;0;0;0;0;10;0;1;
181116188;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;25.1;;0.1;0.00;0;0;0;0;0;0;0;8;0;0;
199334822;35277054;🟡 жёлтый;держим;в KPI, заказов нет — наблюдаем;12.93;38.6;;13.6;45.93;0;0;0;0;0;0;1;71;4;3;2
216341469;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;34.5;;9.5;0.00;0;0;0;0;0;0;0;45;0;3;1
257945575;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;30.8;;5.8;0.00;0;0;0;0;0;0;0;17;0;1;94
261208093;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;37.5;;12.5;0.00;0;0;0;0;0;0;0;9;0;1;38
264243757;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;39.4;;14.4;0.00;0;0;0;0;0;0;1;14;0;0;
284701193;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;36.4;;11.4;0.00;0;0;0;0;0;0;0;64;0;0;
294204999;35698223;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;44.0;;19.0;0.00;0;0;0;0;0;0;0;9;0;0;
199335335;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;55.3;;30.3;0.00;0;0;0;0;0;0;2;18;0;6;
199335399;35277054;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;12.93;21.3;;0.0;0.00;0;0;0;0;0;0;0;46;0;2;15
