nm_id;маржа_live_%;ДРР_потолок_%;заказы_неделя;заказы_прошлая;выручка_₽;бюджет_до_потолка_₽_нед;в_корзину;открытия;орг_позиция
912873177;30.5;5.5;1;0;12421;681;1;4;
313190391;36.8;11.8;1;0;2101;247;1;1;
859995852;30.8;5.8;1;0;2166;125;1;2;
872295772;38.9;13.9;1;0;874;122;1;3;
