offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
2324,Картридж №177 (C8772HE) пурпурный,0798,Картриджи для HP,,,177M,B,vc=0798,0798,,marketCategoryId marketCategoryName
10085,Лента для печати наклеек PT-2300,273076,Картриджи для матричных принтеров,,43324403,,C,,,,marketCategoryId marketCategoryName
10084,Лента для печати наклеек PT-2210,273075,Картриджи для матричных принтеров,,43324403,,C,offer=10084,,,marketCategoryId marketCategoryName
10088,Лента для печати наклеек PT-2410,273079,Картриджи для матричных принтеров,,43324403,,C,,,,marketCategoryId marketCategoryName
10089,Лента для печати наклеек PT-2420,273080,Картриджи для матричных принтеров,,43324403,,C,,,,marketCategoryId marketCategoryName
10081,Лента для печати наклеек PT-2100,273072,Картриджи для матричных принтеров,,43324403,,C,offer=10081,,,marketCategoryId marketCategoryName
14788,Картридж T1704 (C13T17044A10) желтый,3138,Картриджи для Epson,,CL-38,T1704,B,vc=3138,3138,,marketCategoryId marketCategoryName
10234,Картридж CZ637 (№46) черный,2811,Картриджи для HP,,44059119,№46,B,,28111 28112 2811X10 2811X2 2811X6,,marketCategoryId marketCategoryName
10254,Картридж T676XL4 желтый,2817,Картриджи для Epson,,44059117,T676XL4,B,vc=2817,2817,,marketCategoryId marketCategoryName
10252,Картридж T676XL2 голубой,2815,Картриджи для Epson,,44059117,T676XL2,B,vc=2815,2815,,marketCategoryId marketCategoryName
10304,Картридж PFI-706Y желтый,2849,Картриджи для Canon,,43487733,PFI-706Y,B,vc=2849,2849,,marketCategoryId marketCategoryName
10313,Картридж T6034 желтый,2854,Картриджи для Epson,,43487733-43487736,T6034,B,vc=2854,2854,,marketCategoryId marketCategoryName
10356,Картридж C-EXV31M пурпурный,2880,Картриджи для Canon,,SP200HL,C-EXV31M,B,vc=2880,2880,,marketCategoryId marketCategoryName
10377,Картридж TNP-40,2890,Картриджи для Konica,,MPC3000E BK,TNP-40,B,vc=2890,2890 28901 2890X10 2890X2 2890X6,,marketCategoryId marketCategoryName
10357,Картридж C-EXV31Y желтый,2881,Картриджи для Canon,,SP200HL,C-EXV31Y,B,vc=2881,2881,,marketCategoryId marketCategoryName
10389,Картридж MP3354,2894,Картриджи для Ricoh,,MPC3000E C,842125,C,vc=2894,2894 28941 28942 28943 28944,,marketCategoryId marketCategoryName
21287,Риббон-картридж S015016 (C13S015262BA),3251,Ленточные картриджи,,MK-410,S015016,B,vc=3251,3251 32511 32512 32513 32514,,marketCategoryId marketCategoryName
10106,Лента для печати наклеек PT-9200,273097,Картриджи для матричных принтеров,,43324401,,C,,,,marketCategoryId marketCategoryName
10643,Картридж PFI-1000Y,3045,Картриджи для Canon,,CLT-C508S,PFI-1000Y,B,vc=3045,3045,,marketCategoryId marketCategoryName
10688,Картридж 728 C (F9J67A) голубой,3073,Картриджи для HP,,AR270LT,728XL,B,vc=3073,3073,,marketCategoryId marketCategoryName
