offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
21305,Риббон-картридж 09002310 (01109102),3253,Ленточные картриджи,,C9153A,9002310,B,vc=3253,3253 32531 32532 3253X10 3253X2,,marketCategoryId marketCategoryName
26994,Картридж DS St Pro 9450,,Картриджи для принтеров Epson,,T6121,,C,,,,marketCategoryId marketCategoryName
4386,Картридж для HP DeskJet 300,4386,Картриджи для принтера HP,,,,D,offer=4386;vc=4386,,,marketCategoryId marketCategoryName
10068,Лента для печати наклеек PT-1700,273059,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10685,Картридж T9461 BK,3070,Картриджи для Epson,,AR270LT,T9461 BK,B,vc=3070,3070 3070X10 3070X2 3070X6,,marketCategoryId marketCategoryName
2795,Картридж LBP-430W,2795,Картриджи для принтера Canon,,,,D,,,,marketCategoryId marketCategoryName
10044,Лента для печати наклеек PT-1000,273035,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10094,Лента для печати наклеек PT-2480,273085,Картриджи для матричных принтеров,,43324402,,C,,,,marketCategoryId marketCategoryName
10100,Лента для печати наклеек PT-2730,273091,Картриджи для матричных принтеров,,43324401,,C,,,,marketCategoryId marketCategoryName
3313,Фотобумага DS Lomond 0102049 односторонняя глянцевая A4/230/25,3313,Фотобумага,,,,D,offer=3313;vc=3313,,,marketCategoryId marketCategoryName
10045,Лента для печати наклеек PT-1005,273036,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10109,Лента для печати наклеек PT-9600,2730100,Картриджи для матричных принтеров,,43324401,,C,,,,marketCategoryId marketCategoryName
10120,Лента для печати наклеек TZe-251,2739,Ленточные картриджи,,43865744/ 43865724 BK,TZe-251,B,vc=2739,2739 2739X10 2739X2 2739X6,,marketCategoryId marketCategoryName
10242,Картридж T676XL1 черный,2814,Картриджи для Epson,,44059118,T676XL1,B,offer=10242;vc=2814,2814 28141 28142 28143 28144,,marketCategoryId marketCategoryName
3332,"Наклейка адресная Lomond 2100225 210x148,5",3332,Фотобумага,,,,D,offer=3332;vc=3332,,,marketCategoryId marketCategoryName
3333,"Наклейка адресная Lomond 2100025 105x148,5",3333,Фотобумага,,,,D,offer=3333;vc=3333,,,marketCategoryId marketCategoryName
10020,Лента для печати наклеек PT-D200,273011,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10046,Лента для печати наклеек PT-1010,273037,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10282,Картридж PFI-207M пурпурный,2834,Картриджи для Canon,,43487735,PFI-207M,B,vc=2834,2834,,marketCategoryId marketCategoryName
10299,Картридж PFI-706MK черный матовый,2844,Картриджи для Canon,,43487734,PFI-706MK,B,vc=2844,2844,,marketCategoryId marketCategoryName
14787,Картридж T1703 (C13T17034A10) пурпурный,3137,Картриджи для Epson,,CL-38,T1703,B,vc=3137,3137,,marketCategoryId marketCategoryName
10048,Лента для печати наклеек PT-1090,273039,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10049,Лента для печати наклеек PT-1100,273040,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
1872,Картридж T026 (C13T02640110) черный,0479,Картриджи для Epson,,,T026,B,vc=0479,0479 04791 04792 04793 04794,,marketCategoryId marketCategoryName
2796,Картридж LBP-4U,2796,Картриджи для принтера Canon,,,,D,,,,marketCategoryId marketCategoryName
10050,Лента для печати наклеек PT-1120,273041,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
10051,Лента для печати наклеек PT-1130,273042,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
10301,Картридж PFI-706PGY фото-серый,2846,Картриджи для Canon,,43487733,PFI-706PGY,B,vc=2846,2846,,marketCategoryId marketCategoryName
10303,Картридж PFI-706R красный,2848,Картриджи для Canon,,43487733,PFI-706R,B,vc=2848,2848,,marketCategoryId marketCategoryName
10710,Картридж 903XL C (T6M03AE) голубой,3084,Картриджи для HP,,AR-310NT,903XL,B,vc=3084,3084,,marketCategoryId marketCategoryName
10728,Картридж 657X M (CF473X),3096,Картриджи для HP,,AR-455,CF473X,B,vc=3096,3096,,marketCategoryId marketCategoryName
14824,Картридж №98A (92298A),3154,Картриджи для HP,,CLI-526C,92298A,B,vc=3154,3154 31541 31542 31543 3154X10,,marketCategoryId marketCategoryName
10053,Лента для печати наклеек PT-1160,273044,Картриджи для матричных принтеров,,43381905,,C,offer=10053,,,marketCategoryId marketCategoryName
10055,Лента для печати наклеек PT-1180,273046,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
10056,Лента для печати наклеек PT-1190,273047,Картриджи для матричных принтеров,,43381905,,C,,,,marketCategoryId marketCategoryName
