код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;GDEP0T7741010;G-zakYY-ioGglPqffBZ1S1;Чернила Epson T7741, C13T77414A, Чёрные банка 500 мл pigment;;;52.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0050;ZnMNj822gsrmmAFfJddnW3;Чернила Epson Universal Light, Голубые банка 100 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0060;kHT7Lr9Ai906bc0iYaDvi2;Чернила Epson Universal Light, Пурпурные, банка 100 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0080;zLoNwMzfgqYFGbVRxaQ5O0;Чернила Epson Universal, Голубые банка 500 мл dye;;;100.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0090;0erWUEGeiLZ4v1CEL8cGO0;Чернила Epson Universal, Пурпурные, банка 500 мл dye;;;100.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0100;L90BQro-huEydLq5aRguZ2;Чернила Epson Universal, Жёлтые, банка 500 мл dye;;;100.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0110;Cbby5EMniu55XcfPokg-K2;Чернила Epson Universal Light, Голубые, банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDEP0UNIV0120;FbE421KghMOb58QyBWoOM3;Чернила Epson Universal Light, Пурпурные банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDEPL15150010;ZfdpWE8njfBxXbZZxo8o02;Контейнер с чернилами БУЛАТ 112, C13T06C14A для Epson L15150, L6550, Pro L6580, M15140 (Чёрный, 7500 стр., 127 мл) pigment;;;100.0;bulat_2026-08-17_p14;2026-08-17
;GDHELCUNIV050;y9PBc7K6gIHyZ-VxwEFzL1;Чернила БУЛАТ чёрные, универсальные банка (70мл) dye для HP, Epson, Lexmark, Canon, Brother;;;200.0;bulat_2026-08-17_p14;2026-08-17
;GDHP00GT52040;kWa9YLaojsWqlaezyjOUc2;Чернила HP GT52 (M0H54AE), Голубые (100 мл) dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP00GT52050;GJ6-Qd6Zhsylapn-JN6e10;Чернила HP GT52 (M0H55AE), Пурпурные (100 мл) dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP00GT52060;Br2CZs65gl88fXm3mvrwP2;Чернила HP GT52 (M0H56AE), Жёлтые (100 мл) dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP0UNIV0010;Uy4m4kUghzubKyejBaRpQ2;Чернила HP Universal, Чёрные банка 500 мл pigment;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP0UNIV0020;8oNEVXC0hXS0MIid8pqRS0;Чернила HP Universal, Чёрные банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP0UNIV0030;LuttSNV5gTe7ZREYVZy5-0;Чернила HP Universal, Голубые, банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP0UNIV0040;3uel0k9DgNwuroWs6sVUR3;Чернила HP Universal, Пурпурные банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GDHP0UNIV0050;kj0Yae9djjFIGD6CuSDn83;Чернила HP Universal, Жёлтые банка 500 мл dye;;;50.0;bulat_2026-08-17_p12;2026-08-17
;GFCNIP1200010;4c0jndgPjxccJJ8SKhttd1;Струйный картридж БУЛАТ CL-41 Color (0617B025) для Canon Pixma iP1200, 2200, 6210, MP140, MX300 (Цветной, 18 мл), ref.;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNIP1200020;monqICZYgbF3P17pLp8hs1;Струйный картридж БУЛАТ PG-40 (0615B025) для Canon Pixma iP1200, 2200, 6210, MP140, MX300 (Чёрный, 18 мл), ref.;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNMG2110010;1Fkhza9LjhDzlmUSPe27A0;Струйный картридж PG-140XL (5200B001) для Canon Pixma MG2110, MX371, TS5110 (Чёрный, 300 стр., 18 мл), ref.;;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFCNMG2110020;8XTxMbl0jrNrjE5zXgmkl1;Струйный картридж CL-141XL Color (5202B001) для Canon Pixma MG2110, MX371, TS5110 (Цветной, 400 стр.,18 мл), ref.;;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFCNMG2140010;U4qEFPSajfe3YYFfwnpae1;Струйный картридж БУЛАТ PG-440XL (5216B001) для Canon Pixma MG2140, 3140 (Чёрный, 18 мл), ref.;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNMG2140020;7faVBGrrgmshBtKqEUatu0;Струйный картридж БУЛАТ CL-441XL Color (5220B001) для Canon Pixma MG2140, 3140 (Цветной, 18 мл), ref.;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNMG2440010;ZKyQfkksgJPnXycM2us4H3;Струйный картридж БУЛАТ PG-445XL (8282B001) для Canon Pixma MG2440, 2540, MX494, iP2840, TS204 (Чёрный, 14 мл), ref.;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI102010;hEXS6ERFiR4NA0WnlA03l3;Струйный картридж БУЛАТ PFI-102BK (0895B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Чёрный, 130 мл);;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI102020;DiW3uKDeib6LvFUHIPyxp0;Струйный картридж БУЛАТ PFI-102MBK (0894B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Матовый чёрный, 130 мл) pigment;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI102030;oIhrBO2LjXCYpvhQ0sKXP0;Струйный картридж БУЛАТ PFI-102C (0896B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Голубой, 130 мл);;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI102050;DDHczKt9jWhoyJ9Z6QLq01;Струйный картридж БУЛАТ PFI-102Y (0898B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Жёлтый, 130 мл);;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI104010;6u5yBXKTj8COa172aB2BI0;Струйный картридж БУЛАТ PFI-104M (3631B001) для Canon imagePROGRAF iPF650, iPF750 (Пурпурный, 130 мл) pigment;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI320040;xjTm24moiaAQhwG0iiU6r1;Струйный картридж БУЛАТ PFI-320M (2892C001) для Canon imagePROGRAF TM-200, TM-300 (Пурпурный, 300 мл);;;20.0;bulat_2026-08-17_p14;2026-08-17
;GFCNPFI710020;e41pu9AYh3lm29m7QwNQJ3;Струйный картридж БУЛАТ PFI-710BK (2354C001), Чёрный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI710030;fEunAd2wh6ILd9EMtm1jk0;Струйный картридж БУЛАТ PFI-710C (2355C001) Голубой, 700мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI710040;7DmWbz2FjbxKvp05whayH2;Струйный картридж БУЛАТ PFI-710M (2356C001), Пурпурный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFCNPFI710050;Op2qkyNPgj2IAKVve6uaI2;Струйный картридж БУЛАТ PFI-710Y (2357C001) Жёлтый, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEP0M5290010;5cZDVWQdhxHnbn3pkf0N60;Струйный картридж БУЛАТ Т9461, C13T946140 (XL) для Epson WorkForce Pro WF-C5290DW,  Чёрный (10000 стр.);;;50.0;bulat_2026-08-17_p11;2026-08-17
;GFEP0M5298010;aOEXLtwciqADiLZgK4nPf3;Струйный картридж БУЛАТ T9661, C13T966140 XXL для Epson WorkForce Pro WF-M5299, Чёрный (40000 стр.);;;200.0;bulat_2026-08-17_p11;2026-08-17
;GFEPM20590010;oti9ZlO8gn6sSn6kilfp-0;Струйный картридж БУЛАТ C13T04Q100 для Epson WorkForce WF-M20590D4TW E-04Q1 (60000 стр.);;;20.0;bulat_2026-08-17_p13;2026-08-17
;GFEPSP7700010;nQcNeGjZhlcpSaEMaKP7g1;Струйный картридж БУЛАТ T6361, C13T636100 Photo Black (700 мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7700020;XTJM9fhiiF0XnokXZltsQ2;Струйный картридж БУЛАТ T6362, C13T636200 Cyan (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7700030;r79JuGX4hkqnjdttN311d2;Струйный картридж БУЛАТ T6363, C13T636300 Magenta (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7700040;qKuq6ZvDiTSoT-In-ah3T0;Струйный картридж БУЛАТ T6364, C13T636400 Yellow (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7700050;SgNYCtxHgXmyno7-sYdvV0;Струйный картридж БУЛАТ T6368 / C13T636800 Matte Black (700мл) pigment для Epson Stylus Pro 7700, 7890, 7900, 9700, 9890, 9900, WT7900;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7890010;7gMrTwEkhqhBQrdeqhx4x2;Струйный картридж БУЛАТ T6365, C13T636500 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-голубой, 700 мл) pigment;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7890020;tEDvUeXqhO53wmWYRv40F1;Струйный картридж БУЛАТ T6366, C13T636600 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-пурпурный, 700 мл) pigment;;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7890030;pBuu2pjhhAzTNKCyhcXAx0;Струйный картридж БУЛАТ T6367, C13T636700 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Серый, 700 мл, pigment);;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPSP7890040;GWxIKheSgvFhbGVaHkIMH1;Струйный картридж БУЛАТ T6369, C13T636900 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-серый, 700 мл, pigment);;;20.0;bulat_2026-08-17_p15;2026-08-17
;GFEPWF6090020;bJghpGbSiCpDllOmn1r6F0;Струйный картридж БУЛАТ T9072, C13T907240 для Epson WorkForce Pro WF-6090, WF-6590 (Голубой, XXL, 7000 стр., 90 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190010;75YH7Db6jYrfrZySkjNTC3;Струйный картридж БУЛАТ T04A1, C13T04A140 для Epson WorkForce Pro WF-C8190, WF-C8690 (Чёрный, XXL,11500 стр., 240 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190030;HGHsmj33jMnwh2x00tK8R1;Струйный картридж БУЛАТ T04A3, C13T04A340 для Epson WorkForce Pro WF-C8190, WF-C8690 (Пурпурный, XXL, 8000 стр.);;;20.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190040;Igofs5fNhy1OuVqv6FDLd3;Струйный картридж БУЛАТ T04A4, C13T04A440 для Epson WorkForce Pro WF-C8190, WF-C8690 (Жёлтый, XXL, 8000 стр., 90 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190060;rww4uhKciF4XjHz9Zncxk3;Струйный картридж БУЛАТ T04B2, C13T04B240 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Голубой, XL, 4600 стр.);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190070;qd0yulq2gMHPHNf-O9ppT1;Струйный картридж БУЛАТ T04B3, C13T04B340 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Пурпурный, XL, 4600 стр., 62 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWF8190080;oaZHmf4EgI3iWR-SNhnzP3;Струйный картридж БУЛАТ T04B4, C13T04B440 для Epson WorkForce Pro WF-C8190, WF-C8610, WF-C8690 (Жёлтый, XL, 4600 стр., 62мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC869020;6fGJmN8Pi90rR5LduNEDc1;Струйный картридж БУЛАТ Т9732, C13T973200 для Epson WorkForce Pro WF-C869 (Голубой, 22000 стр., 192 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC869030;KloXJyVWhfV6E0ub103RH3;Струйный картридж БУЛАТ Т9733, C13T973300 для Epson WorkForce Pro WF-C869 (Пурпурный, 22000 стр., 192 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC869040;zFtsHoYEiMH8OjDrY3-0Z2;Струйный картридж БУЛАТ Т9734, C13T973400 для Epson WorkForce Pro WF-C869 (Жёлтый, 22000 стр., 192 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC869050;ezYYSu6eiftGasJ6Hm3wi3;Струйный картридж БУЛАТ Т9741, C13T974100 (XXL) Чёрный, 86000 стр., pigment для Epson WorkForce Pro WF-C869;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFEPWFC878010;lhxJSuSkg-JMg2GI4RsmG1;Струйный картридж БУЛАТ T05A1, C13T05A100 для Epson WorkForce Pro WF-C878, WF-C879 (Чёрный, 20000 стр., 420 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC878020;rG1gwB2KjLijjAswRV1hJ3;Струйный картридж БУЛАТ T05A2, C13T05A200 для Epson WorkForce Pro WF-C878, WF-C879 (Голубой, 20000 стр., 220 мл);;;20.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC878030;RMBGnwveh61q3aSgkUfFI2;Струйный картридж БУЛАТ T05A3, C13T05A300 для Epson WorkForce Pro WF-C878, WF-C879 (Пурпурнный, 20000 стр., 220 мл);;;20.0;bulat_2026-08-17_p14;2026-08-17
;GFEPWFC878040;2jrWTzovgInF3qQSpTrG72;Струйный картридж БУЛАТ T05A4, C13T05A400 для Epson WorkForce Pro WF-C878, WF-C879 (Жёлтый, 20000 стр., 220 мл);;;20.0;bulat_2026-08-17_p14;2026-08-17
;GFHPDJ1015020;dTnoX095hEbceYLVFeC5R2;Струйный картридж БУЛАТ 650XL (CZ102AE) для HP DeskJet 1015, 2515, 3515, 4515 (Цветной, 18 мл), ref.;;;20.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJ110P010;8QnGDHiUgrBjwMkidnNuR2;Струйный картридж БУЛАТ HP-10Bk, C4844A для HP DesignJet 110 Plus, Чёрный (2500 стр.);;;50.0;bulat_2026-08-17_p12;2026-08-17
;GFHPDJ110P020;bHzX7i8JhqsNIrqb5Osio3;Струйный картридж БУЛАТ C4836A для HP DesignJet 110 Plus, Голубой (2350 стр.);;;20.0;bulat_2026-08-17_p12;2026-08-17
;GFHPDJ1600010;PhBH9dXajxXW-KnDBFGwH2;Струйный картридж БУЛАТ 730 (P2V71A) для HP DesignJet T1600, T1700, T2600 (Матовый чёрный, 300 мл);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJ1600040;atPB6cKghvFw-bFn-DD8W2;Струйный картридж БУЛАТ 730 (P2V69A) для HP DesignJet T1600, T1700, T2600 (Пурпурный, 300 мл);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJ1600050;aZ0W8UVpi8mm0uK1sCyUO2;Струйный картридж БУЛАТ 730 (P2V70A) для HP DesignJet T1600, T1700, T2600 (Жёлтый, 300 мл);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJ1600060;YVnrVaYThAv-cm5B6L-Cc1;Струйный картридж БУЛАТ 730 (P2V72A) для HP DesignJet T1600, T1700, T2600 (Серый, 300 мл);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJ3100030;mKrKgDJniTa7YtH9IP34J3;Струйный картридж БУЛАТ 70 (C9452A) Голубой,135 мл, pigment для HP DesignJet Z3100, Z3200;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPDJ3100040;qqa3YkprjW5s-id0ExhZb2;Струйный картридж БУЛАТ 70 (C9453A) Пурпурный, 135 мл, pigment для HP DesignJet Z3100, Z3200;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPDJ3100070;aqMnsXTBiEWWhegEqbmSu2;Струйный картридж БУЛАТ 70 (C9455A) Пурпурный Светлый, 135 мл, pigment для HP DesignJet Z3100, Z3200;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPDJ5743010;Zk1YW0HAhXqBvGGuLkM4O3;Струйный картридж БУЛАТ C8767HE для HP DeskJet 5743, OfficeJet 6313 130 (Чёрный, 860 стр.);;;100.0;bulat_2026-08-17_p13;2026-08-17
;GFHPDJT920070;MSEnHyL2hesKTiV-VBOiU0;Струйный картридж БУЛАТ 727 (B3P19A) для HP DesignJet T920, T1500, T2500 (Голуболй, 130 мл, 130 стр.);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJT920080;Tp93YS27iOpfWEX1xP-Ya2;Струйный картридж БУЛАТ 727 (B3P20A) для HP DesignJet T920, T1500, T2500 (Пурпурный, 130 мл, 130 стр.);;;50.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJT920090;8aatQXgsgouNhNqaffFK33;Струйный картридж БУЛАТ 727 (B3P21A) для HP DesignJet T920, T1500, T2500 (Жёлтый, 130 мл, 130 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJT920110;MVRS7OlngOUEiyVJkQDKm2;Струйный картридж БУЛАТ 727 (B3P23A) Photo Black для HP DesignJet T920, T1500, T2500 (130 мл, 130 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;GFHPDJT920120;6AIM0r5bhOlDT6buDHSgu2;Струйный картридж БУЛАТ 727 (B3P24A) для HP DesignJet T920, T1500, T2500 (Серый, 130 мл, 130 стр.);;;20.0;bulat_2026-08-17_p16;2026-08-17
;GFHPOJ6000020;Hs5Ckk0HiJ8GS8oQBOqt30;Струйный картридж Булат 920XL (CD972AE) для HP OfficeJet 6000 (Голубой 700 стр.);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GFHPOJ6100030;Rojb2lnjhzaXdgRT4sOTK3;Струйный картридж БУЛАТ CN055AE для HP OfficeJet 6100 933XL (Пурпурный, 825 стр.);;;50.0;bulat_2026-08-17_p13;2026-08-17
;GFHPOJ6100040;j3P8D06shna0MydlPl0xl0;Струйный картридж БУЛАТ CN056AE для HP OfficeJet 6100 933XL (Жёлтый, 825 стр.);;;50.0;bulat_2026-08-17_p13;2026-08-17
;GFHPOJX451010;m8r8ie2Jghn9tL4jHDflV0;Струйный картридж БУЛАТ 970XL (CN625AE) Чёрный, 9200 стр., pigment для HP OfficeJet Pro X451, X476, X551, X576;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPOJX451020;U2cvagalhnZjHxadtbLz01;Струйный картридж БУЛАТ 971XL (CN626AM) Голубой, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPOJX451030;LSb6eUU8jyQEVpa7p7WDL1;Струйный картридж БУЛАТ 971XL (CN627AM) Пурпурный, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPOJX451040;vWHeOEvSicSA2vZJ6ySEt1;Струйный картридж БУЛАТ 971XL (CN628AM) Жёлтый, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;;;50.0;bulat_2026-08-17_p15;2026-08-17
;GFHPPWP452010;gAOVdG0cg7Rg0Owti16SX0;Струйный картридж БУЛАТ L0S07AE для HP PageWide Pro 452 973X (Чёрный, 10000 стр.);;;100.0;bulat_2026-08-17_p13;2026-08-17
;GFHPPWP452020;yV3tR2FIhNcJmWI7aawRM0;Струйный картридж БУЛАТ F6T81AE для HP PageWide Pro 452 973X (Голубой, 7000 стр.);;;50.0;bulat_2026-08-17_p13;2026-08-17
;GFHPPWP452030;CDBfdndshDyjDz9EGZkve3;Струйный картридж БУЛАТ F6T82AE для HP PageWide Pro 452 973X (Пурпурный, 7000 стр.);;;50.0;bulat_2026-08-17_p13;2026-08-17
;GFHPPWP452040;iEtzd4w7iXZceWf9Hx4x71;Струйный картридж БУЛАТ F6T83AE для HP PageWide Pro 452 973X (Жёлтый, 7000 стр.);;;50.0;bulat_2026-08-17_p13;2026-08-17
