sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,reason
651915925,0232,Картридж KX-FAT92A для принтеров Panasonic KXMB263 KXMB271 K,от 0 до 1000,10.0,12,5944,9,139,456,52.0,-0.3,4.3,маржа ниже KPI 17 %
652638210,0822,"Картридж CLI-451GY для принтеров Canon Pixma iP7240, Pixma i",Вне РК — спрос без рекламы (08.08),15.0,7,5361,4,0,0,,9.2,25.5,ставка выше потолка
1893948328,5841,"Картридж ME-300 для принтеров Epson FX-80, FX 800, FX870, LX",от 0 до 1000,13.0,7,5313,6,106,0,,11.4,19.1,ставка выше потолка
906876631,2384,"Картридж TN-414 для принтеров Konica Minolta Bizhub 363, Biz",от 0 до 1000,12.0,4,5244,2,15,0,100.0,11.3,13.5,маржа ниже KPI 17 %
652576734,1503,"Картридж PGI-525BK для принтеров Canon и Pixma iP4850, Pixma",от 0 до 1000,11.0,11,4143,3,18,575,48.0,-13.7,-18.4,маржа ниже KPI 17 %
652576912,1482,Картридж CLI-526C Canon голубой совместимый,Эксперимент1,8.0,12,4135,5,87,655,0.0,-6.8,-22.0,маржа ниже KPI 17 %
4736481388,7044,"Картридж TN-273M для принтеров Brother DCP-L3510CDW, DCP L35",Эксперимент1,8.0,1,3983,1,0,0,0.0,,,"продаётся, но маржа не посчитана"
4736481388,7044,"Картридж TN-273M для принтеров Brother DCP-L3510CDW, DCP L35",от 2000 до 5000,12.0,1,3983,1,60,3983,0.0,,,"продаётся, но маржа не посчитана"
653139604,0591,"Картридж LC-1000BK для принтеров DCP-350C, DCP-130C, DCP 150",от 0 до 1000,12.0,5,3763,2,145,0,0.0,9.6,18.5,ставка выше потолка
1261504720,4736,"Картридж T9641 для принтеров Epson WorkForce Pro M5298, WF P",от 2000 до 5000,12.0,2,3634,2,3,0,100.0,,,"продаётся, но маржа не посчитана"
873320171,3843,"Чернила BT5000Y для принтеров Brother DCP-T300, DCP T310, MF",Эксперимент1,6.0,6,3439,1,11,514,0.0,2.2,9.3,маржа ниже KPI 17 %
873312915,3470,"Картридж 106R03522 для принтеров Xerox и VersaLink C400, Ver",от 2000 до 5000,12.0,1,3282,1,0,0,100.0,,,"продаётся, но маржа не посчитана"
863432497,0493,"Картридж T0461 для принтеров Epson и Stylus C63, Stylus C65 ",Эксперимент1,9.0,3,3278,1,0,0,,,,"продаётся, но маржа не посчитана"
652576770,1481,Картридж CLI-526Y Canon желтый совместимый,от 0 до 1000,12.0,9,3256,4,12,0,100.0,-6.8,-22.0,маржа ниже KPI 17 %
