sku,offer_id,queries,demand,best_pos,own_orders,leader_orders,ad_spend_30d,kind,verdict
4490437105,16451,1,1,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
900989003,0429,1,1,14,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
863385774,3383,1,1,25,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5237218561,0060X2,1,1,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5276873456,5237X6,1,1,21,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5279391142,5488X6,1,1,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1153791300,2960,1,1,12,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
651918320,1285,1,1,16,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
3557210726,6851,1,1,20,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
930614726,0893,1,1,8,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5239611568,0893X6,1,1,21,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5250016222,2183X2,1,1,23,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
1586846966,54954,1,1,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5265651639,4274X2,1,1,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5280354500,5715X2,1,1,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5280119825,5631X6,1,1,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4489628867,14874,1,1,12,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4493548505,22933,1,1,29,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5250359910,2215X2,1,1,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4527395867,55871,1,1,29,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
651909718,23554,1,1,23,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4463532700,04896,1,1,15,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5251832337,2411X6,1,1,22,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5240181485,1307X2,1,1,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4490428697,17182,1,1,17,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4452002790,030523,1,1,22,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4480825189,085110,1,1,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451989984,02517,1,1,18,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1893948328,5841,1,1,16,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5265651727,4274X6,1,1,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4518320010,42645,1,1,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1153751231,2208,1,1,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652456550,2193,1,1,16,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
