code,offers_in_ads,offers_with_sales,ad_spend_july,revenue_180d,offer_ids,name
3669,3,1,35,89262,3669; 3669X2; 3669X6,Картридж 106R03765 для принтеров Xerox VersaLink C7000 черны
0251,3,3,35,9281,02512; 02517; 02518,Картридж для Brother HL-5350DN
6885,3,1,34,56774,6885; 6885X2; 6885X6,Фотобарабан 60IU60S для принтеров F+ Imaging M60ade черный
0002,3,3,34,9597,0002; 00024; 00025,"Картридж Q2612A для принтеров HP LaserJet 1022, LaserJet 102"
5353,2,2,33,5715,5353; 53531,"Картридж CB435A для HP LaserJet P1005, LJ P1006, LJ-P1007, L"
3442,3,1,33,76506,3442; 3442X2; 3442X6,"Картридж T9661 для принтеров Epson WorkForce Pro M5298, WF P"
3845,2,2,33,2189,3845; 38457,"Чернила №103BK для принтеров Epson L 3101, L 3110 черный"
0249,4,4,33,21158,0249; 02496; 02497; 02498,"Картридж TN-2275 для принтеров Brother DCP-7070DWR, FAX-2845"
2226,2,2,33,85786,2226; 22262,"Картридж 51F5H00 для принтеров Lexmark MS312, MS415dn, MS312"
0587,2,2,33,5009,0587; 05872,"Картридж LC-900BK для принтеров Brother DCP-115C, DCP-110C, "
5216,2,2,32,23249,5216; 52161,"Картридж S015339 для принтеров Epson PLQ-20, PLQ-20M"
3441,2,2,32,11531,3441; 34413,"Картридж T9651 для принтеров Epson WorkForce Pro M5298, WF P"
3906,3,1,31,29011,3906; 3906X2; 3906X6,Картридж TK-7125 для принтеров Kyocera TASKalfa 3212i черный
0713,2,2,31,62469,0713; 07135,"Картридж C8543X для принтеров HP LaserJet 9000, LJ 9040, LJ "
5587,2,2,30,17596,5587; 55871,"Картридж W1520A для принтеров HP LaserJet 4004, LJ 4104fdw ч"
5403,3,1,29,52056,5403; 5403X2; 5403X6,"Картридж 056H для принтеров Canon i-SENSYS MF542x, MF543x, L"
2208,4,2,28,39130,2208; 22084; 2208X2; 2208X6,"Картридж iR40T для принтеров Citizen CX120, CX123, IR40T, IR"
3743,3,1,27,70735,3743; 3743X2; 3743X6,Фотобарабан 113R00782 DU для принтеров Xerox VersaLink C7000
1487,2,2,27,5859,1487; 14874,"Картридж PGI-2400XLBK для принтеров Canon и MAXIFY iB4040, i"
