nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
343262032;36463324;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;16.6;;0.0;0.00;0;0;0;0;0;0;0;9;0;0;
323109984;36459894;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;22.7;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
486826684;35501509;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.8;;0.0;0.00;0;0;0;0;0;0;0;1;0;3;
874418011;35501262;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;36.0;;11.0;0.00;0;0;0;0;0;0;0;1;0;0;
323205777;36463324;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;27.3;;2.3;0.00;0;0;0;0;0;0;0;7;0;4;
880185577;35504156;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.0;;0.0;0.00;0;0;0;0;0;0;0;14;0;0;
872394841;35505900;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;40.0;;15.0;0.00;0;0;0;0;0;0;0;2;0;0;
881876495;35503414;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;23.5;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
859940456;35509529;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.3;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
883112753;35503146;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.0;;0.0;0.00;0;0;0;0;0;0;0;13;0;0;
323178576;35512642;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;21.5;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
884027172;35502769;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.8;;8.8;0.00;0;0;0;0;0;0;0;3;0;0;
886555825;35497916;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;37.4;;12.4;0.00;0;0;0;0;0;0;0;3;0;0;
323231444;35515230;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;17.7;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
872428330;36458352;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;40.0;;15.0;0.00;0;0;0;0;0;0;0;3;0;0;
881300323;35500638;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;16.5;;0.0;0.00;0;0;0;0;0;0;0;1;0;0;
878718579;35504537;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;33.7;;8.7;0.00;0;0;0;0;0;1;0;4;0;0;
