# oz_acc2: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
enter,enter,3862349953,45429JUZIUVZ,Картридж для HP Laser 137FNW MFP 5000 страниц,,,10.1,,20.2,,19.6,3451.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,106.0000000000000000,481.0000000000000000,-375.0,8,-4,0,10,,0,0,1,2776.0000,0,6,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽  показы 8  спрос по фразам 10; маржа_safe 19.6 % ≥ KPI; старт 10.1 ₽ при потолке 20.2 ₽
enter,enter,3846836094,03086VI55VOP,Картридж для HP PhotoSmart 375 260 страниц,,,10.8,,21.7,,18.3,4077.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,140.0000000000000000,,,9,9,0,9,2,1,2,1,3335.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽  показы 9  спрос по фразам 9; маржа_safe 18.3 % ≥ KPI; старт 10.8 ₽ при потолке 21.7 ₽
