nm_id;месяцев_с_продажами;штук_3мес;выручка_3мес_₽;маржа_live_%;бюджет_₽_нед
313185214;2;13;99615;28.6;273
313189712;3;17;70720;55.1;1637
313194770;3;7;26249;29.2;85
323202973;2;3;25712;32.6;150
324983979;2;3;21378;38.4;220
313191773;2;6;21300;54.9;490
324983893;2;3;20192;29.2;65
313195834;2;4;18003;50.8;358
323089979;3;7;15789;50.2;306
324994660;2;5;13267;37.1;124
324980173;2;3;11271;30.1;44
323316832;2;3;9811;27.1;16
313214955;3;3;7219;49.6;137
323168389;2;10;4446;42.4;59
