sku,offer_id,name,card_dims,card_vol,real_vol,delta_l,suppliers,qty90,revenue90,stock,loss90
1692327057,5137,Фотобарабан 43913808 для принтеров OKI и C710 черный,149x372x231,12.804,,,,0,0,0,0
1692327794,5156,"Картридж 5100 для принтеров Ricoh и PRO C5100, PRO C5110 черный",210x220x290,13.398,,,,0,0,0,0
1692337866,5471,"Картридж BCI-5EC для принтеров Canon BJ-F300, BJ F600, BJC-3000, BJC30",110x140x40,0.616,,,,1,1057,0,0
1692340168,5473,"Картридж BCI-5EM для принтеров Canon BJ-F300, BJ F600, BJC-3000, BJC30",110x140x40,0.616,,,,1,1057,0,0
1692340899,5475,"Картридж BCI-5EY для принтеров Canon BJ-F300, BJ F600, BJC-3000, BJC30",110x140x40,0.616,,,,1,1057,0,0
1692345482,5160,"Картриджи 5100 для принтеров Ricoh и PRO C5100, PRO C5110",172x573x174,17.149,,,,0,0,0,0
1692346591,5223,"Картридж 106R04348 для принтеров Xerox B-205, B 210, B215 черный",135x336x103,4.672,6.8,-2.128,rapid,0,0,0,0
1692351812,5286,"Картридж T1 для принтеров Deli и M2500DW, P2500DW черный",100x310x180,5.58,6.08,-0.5,cactus;sakura;изи,1,3831,0,0
1692352035,5288,"Картридж T2 для принтеров Deli M2000DW, P2000DW черный",100x310x180,5.58,6.08,-0.5,cactus;sakura;изи,2,6362,0,0
1692352506,5290,"Картридж T31A для принтеров Deli M3100, P3100 черный",350x200x200,14.0,6.08,7.92,cactus;sakura;изи,0,0,0,0
1692353560,5325,"Картридж DK-6115 для принтеров Kyocera и EcoSys M4125, M4132 черный",200x520x118,12.272,,,,0,0,0,0
1692354247,5394,Фотобарабан 108R00974 для принтеров Xerox Phaser 6700 черный,140x165x430,9.933,,,,0,0,0,0
1692355212,5395,Фотобарабан 108R00972 для принтеров Xerox и Phaser 6700 пурпурный,134x431x164,9.472,,,,0,0,0,0
1692355836,5402,"Картридж 056 для принтеров Canon i-SENSYS MF542x, MF543x, LBP325 черны",200x320x80,5.12,5.27,-0.15,sakura,0,0,0,0
1692357624,5456,Картридж 106R04085 для принтеров Xerox и VersaLink C9000 черный,95x550x95,4.964,4.964,0.0,cactus,0,0,0,0
1692358236,5457,Картридж 106R04082 для принтеров Xerox VersaLink C9000 голубой,95x550x95,4.964,4.964,0.0,cactus,0,0,0,0
1692358526,5458,Картридж 106R04083 для принтеров Xerox и VersaLink C9000 пурпурный,95x550x95,4.964,4.964,0.0,cactus,0,0,0,0
1692359661,5459,Картридж 106R04084 для принтеров Xerox VersaLink C9000 желтый,95x550x95,4.964,4.964,0.0,cactus,0,0,0,0
1692367375,5460,Картриджи 106R04082 - 106R04085 для принтеров Xerox VersaLink C9000,240x100x150,3.6,,,,0,0,0,0
1692366739,5477,"Картридж 106R03509 для принтеров Xerox VersaLink C400, VersaLink C405 ",300x50x100,1.5,,,,0,0,0,0
1692376627,5493,"Картридж ERC28BK для принтеров Epson ERC28, M2000 черный",100x100x150,1.5,0.158,1.342,cactus,0,0,0,0
1692376623,5508,"Блок проявки DV-512C для принтеров Konica Minolta Bizhub 224e, Bizhub ",140x610x170,14.518,,,,0,0,0,0
1692377098,5509,"Блок проявки DV-512M для принтеров Konica Minolta Bizhub 224e, Bizhub ",140x610x170,14.518,,,,0,0,0,0
1692378464,5510,"Блок проявки DV-512Y для принтеров Konica Minolta Bizhub 224e, Bizhub ",140x610x170,14.518,,,,1,15600,0,0
1692379340,5511,"Блок проявки DV-512 для принтеров Konica Minolta Bizhub 224e, Bizhub 2",280x610x340,58.072,,,,0,0,0,0
1692396836,5565,"Фотобарабаны C950X73G для принтеров Lexmark и C950de, X950de, X950dhe ",157x243x155,5.913,,,,0,0,0,0
1692429921,5557,"Блок проявки DV-5140 для принтеров Kyocera ECOSYS M6030cdn, M6530cdn, ",165x430x195,13.835,,,,0,0,0,0
1692432708,5559,"Блок проявки DV-8115 для принтеров Kyocera и Ecosys M8124cidn, M8130ci",176x587x177,18.286,,,,0,0,0,0
1692433535,5560,"Блок проявки DV-8115 для принтеров Kyocera и Ecosys M8124cidn, M8130ci",176x587x177,18.286,,,,0,0,0,0
1692434431,5561,"Блок проявки DV-8115 для принтеров Kyocera и Ecosys M8124cidn, M8130ci",176x587x177,18.286,,,,0,0,0,0
1692435678,5562,"Блок проявки DV-5230M для принтеров Kyocera Ecosys M5521cdn, M5526cdn,",60x300x70,1.26,,,,0,0,0,0
4450880777,001828,Картридж для Canon PC-210,348x160x120,6.682,,,,0,0,0,0
1692436861,5563,"Блок проявки DV-5230C для принтеров Kyocera и Ecosys M5521cdn, M5526cd",60x300x70,1.26,,,,0,0,0,0
1692438629,5564,"Блок проявки DV-5230Y для принтеров Kyocera и Ecosys M5521cdn, M5526cd",60x300x70,1.26,,,,0,0,0,0
1692440933,5566,"Фотобарабан 70C0P00 для принтеров Lexmark CS310dn, CS310n, CS410dn, CS",155x243x157,5.913,,,,0,0,0,0
1692443086,5570,"Фотобарабан D1862276 для принтеров Ricoh и MP C3503, MP C4503 голубой",126x614x177,13.693,,,,0,0,0,0
1692444020,5571,"Картридж 604K86560 для принтеров Xerox и Color 550, Color 560",150x600x160,14.4,,,,0,0,0,0
1692456149,5579,"Картридж 070 для принтеров Canon i-SENSYS LBP243dw, LBP246dw, MF461dw,",320x100x120,3.84,4.278,-0.438,sakura;изи,0,0,0,0
1692457684,5580,"Картридж W1350A для принтеров HP LaserJet M209, LJ-M209dw, LJM209dwe ч",325x78x160,4.056,,,,0,0,0,0
1692459498,5581,"Картридж W1350A для принтеров HP LaserJet M209, LJ-M209dw, LJM209dwe ч",325x78x160,4.056,,,,0,0,0,0
