# oz_acc2: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
bordeaux,floor,1873140453,5422YHSC5BIR,"Картриджи DS 067H для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw",Все,9.0,6.0,-3.0,18.3,9.3,13.5,10750.0,0.02,справочная,396,9,86.93,0.0,0.0,9.7,2.27,,14,113.60,0.0,8.1,30.0000000000000000,45.0000000000000000,-15.0,312,168,10645,3897,15,0,14,3,34979.0000,2,23,25,215.80,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 25 кликов, 216 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
red,down10,2929331436,6733L93SWDSD,"Заправочный комплект DS PG-440 для принтеров Canon Pixma MG2140, PixmaMG2240 черный",от 0 до 3000,10.0,9.0,-1.0,11.8,1.8,17.6,2341.0,0.04,справочная,118,7,85.08,0.0,0.0,12.2,5.93,,0,0.0,0.0,,79.0000000000000000,110.0000000000000000,-31.0,50,-3,0,3453,2,2,15,0,0,0,1,7,85.08,0.0,0,0,"7 кликов, 85 ₽ и ни одного заказа за неделю"
red,down10,1805535579,4485HIDFWRXT,Картриджи DS CTL-1100XK - CTL-1100XY,5000-10000,14.0,12.6,-1.4,116.6,102.6,47.8,13617.0,0.02,справочная,108,6,82.09,0.0,0.0,13.7,5.56,,0,0.0,0.0,,165.0000000000000000,50.0000000000000000,115.0,71,22,0,3656,11,0,15,0,0,0,2,7,84.05,0.0,0,0,"6 кликов, 82 ₽ и ни одного заказа за неделю"
bordeaux,floor,2699059974,6460FGPKC9I2,"Чернила DS 115GY для принтеров Epson EcoTank L8160, EcoTank L8180 серый",Все,9.0,6.0,-3.0,0.0,-9.0,-21.6,621.0,0.06,справочная,538,9,79.93,0.0,0.0,8.9,1.67,,8,72.44,0.0,9.1,132.0000000000000000,85.0000000000000000,47.0,72,35,0,382,6,1,15,0,0,0,9,20,178.95,0.0,0,1,"за все 21 дн наблюдения ни одного заказа: 20 кликов, 179 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
red,down10,1883134379,1550R9P2HBDH,"Картридж DS №934XL для принтеров HP OfficeJet Pro 6230, OfficeJet Pro 6830 черный",от 0 до 3000,12.0,6.0,-6.0,4.2,-7.8,12.6,917.0,0.06,справочная,115,6,79.78,1.0,917.0,13.3,5.22,8.7,1,13.22,0.0,13.2,114.0000000000000000,98.0000000000000000,16.0,15,6,0,18,17,0,15,1,917.0000,0,1,7,93.00,1.0,0,0,"ставка 12.0 ₽ выше потолка по марже 4.2 ₽ (конверсия справочная 6.0 %) — заказы есть, но в убыток"
bordeaux,floor,2698855664,6452NKN14RKX,"Чернила DS GI-46PGBK для принтеров Canon MAXIFY GX5040, GX6040, GX7040 черный",Все,14.0,6.0,-8.0,16.0,2.0,18.2,3024.0,0.04,справочная,388,8,76.79,0.0,0.0,9.6,2.06,,7,74.28,0.0,10.6,50.0000000000000000,37.0000000000000000,13.0,194,-45,0,5070,6,2,15,0,0,1,33,23,260.81,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 23 кликов, 261 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
green,up10,1873179506,2451WH5YNQGK,"Фотобарабан DS 50F0Z00 для принтеров Lexmark LaserPrinter MS317, MS310, MS410, MS415, MS510, MS511, MS610, MS617 MX317 MX410 MX417 MX510 MX511 MX611 MX617 черный",3000-5000,12.0,13.2,1.2,31.6,19.6,18.7,11546.0,0.02,справочная,236,6,66.34,1.0,3874.0,11.1,2.54,1.7,0,0.0,0.0,,39.0000000000000000,33.0000000000000000,6.0,98,-54,0,250,7,1,12,1,3874.0000,0,9,9,90.93,2.0,0,0,"1 заказ(ов) на 3874 ₽, ДРР 1.7 %, было 0; ставка 12.0 ₽ при потолке 31.6 ₽  органика слабая (позиция 39) при спросе 250"
red,down10,3260315711,6803CL0EVRQE,"Картриджи DS PFI-030-PFI-031M для принтеров Canon imagePROGRAF TM-240, TM 250, TM255, IPF ТМ-340, TM-350, TM355",Все,8.0,7.2,-0.8,42.3,34.3,10.5,38429.0,0.02,справочная,240,10,62.01,0.0,0.0,6.2,4.17,,17,166.71,2.0,9.8,,23.0000000000000000,,0,-245,0,0,,0,0,0,0,2,5,40,289.71,2.0,0,0,"10 кликов, 62 ₽ и ни одного заказа за неделю; за всё время 2 заказ(ов) при расходе 290 ₽"
red,down10,1822890502,0098P06FJK2O,"Картриджи DS T0551-T0554 для принтеров Epson Stylus Photo R240, Stylus Photo R245",Все,9.0,8.1,-0.9,15.5,6.5,17.9,3009.0,0.04,справочная,159,11,60.87,0.0,0.0,5.5,6.92,,3,36.13,0.0,12.0,,92.0000000000000000,,0,-11,0,0,,0,0,0,0,0,1,15,98.00,0.0,0,0,"11 кликов, 61 ₽ и ни одного заказа за неделю"
bordeaux,floor,1873145260,0900BRQKP06T,"Картриджи DS T1711-T1714 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423",Все,8.0,6.0,-2.0,11.8,3.8,19.5,2032.0,0.04,справочная,330,8,56.10,0.0,0.0,7.0,2.42,,5,35.21,0.0,7.0,47.0000000000000000,30.0000000000000000,17.0,72,-104,0,150,16,0,4,0,0,0,4,17,118.60,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 17 кликов, 119 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
