nm_id;vendor_code;title;subject_id;revenue_since_0106;margin_pct;live_stock;from_sumrak
323108300;0193N8BTZ8AK;Картридж DS 121XL для HP DeskJet F4213 цветной;1820;3973;18.4;50;0
858266749;6858HSIK9JR0;Картридж DS TK-1200L для Kyocera M2235, M2235dn черный;1820;3901;33.2;50;0
323243753;1415PPLVZFO7;Картридж DS TK-8305Y для Kyocera TASKalfa 3551i желтый;1820;3747;36.2;12;0
323297374;2982V8WG3R6I;Картридж DS 106R03748 C для Xerox VersaLink C7020 голубой;1820;3730;35.7;50;0
323359603;5374QK0DW3CT;Картридж DS 069H для Canon LBP673Cdw, MF752Cdw черный;1820;3717;37.8;50;0
313195451;2357X43G2ZY5;Картридж DS CF256A для HP LJ M433, LJ M436n черный;1820;3711;19.2;6;0
323231306;4311TNESECKQ;Картридж DS TN-328Y для Konica Minolta C250i, C300i желтый;1820;3497;16.1;1;0
323359981;5421ICA2YRC5;Картридж DS 067H Y желтый;1820;3485;39.3;2;0
323298877;0735PYAMUFY7;Картридж DS 106R01531 для Xerox WC 3550 черный;1820;3461;34.8;4;0
313185208;0101JPGZ5YC9;Картриджи DS 27-28 для HP OfficeJet 5616, OfficeJet 6110;1820;3429;47.2;11;0
323191352;5276C16N4U0Q;Картридж DS 378XL для Epson XP 15000, XP 8500 черный;1820;3409;33.1;38;0
313191032;2290GFTN06ZW;Картридж DS CF533A для HP LJ Pro M180n пурпурный;1820;3407;34.6;1;0
323339858;5355Z7510O6T;Картридж DS 728 для Canon FAX-L150, FAX-L170, MF4410 черный;1820;3307;34.5;50;0
504285138;6545ZWMLX7WK;Картридж DS 064H M для Canon LBP722Cdw, MF832Cdw пурпурный;1820;3261;24.8;50;0
504281664;6544P7X8HR7P;Картридж DS 064H C для Canon LBP722Cdw, MF832Cdw голубой;1820;3227;27.2;50;0
313194565;1151VES8GO7J;Картридж DS CF360A для HP LJ M552dn, LJ M553dn черный;1820;3200;29.0;4;0
880350699;099211CPCJYR;Картридж для OKI MC562dn 3500 страниц;1820;3132;22.3;1;0
323168389;0927X13JJGYZ;Картридж DS T2621XL черный;1820;3084;36.0;1;0
915921844;08525Y0MQG4N;Фотобарабан для Brother HL-L2365 12000 страниц;1820;2944;26.6;2;0
323340088;5345R0N824Q2;Картридж DS SCX-4216 для Samsung SCX-4016, SCX-4100 черный;1820;2817;36.3;2;0
323237953;2030KNGO0FEP;Картридж DS TN-321 C голубой;1820;2758;27.1;50;0
324996027;5769NOWKXHWN;Картридж DS W2302X желтый;1820;2513;37.6;5;0
323240908;1700CYTLCOEN;Картридж DS TK-8325M для Kyocera TASKalfa 2551ci пурпурный;1820;2492;34.6;50;0
550366371;6685B1AD52PG;Заправочный комплект DS 3YM60-61 для HP DeskJet 2320;1820;2379;23.3;31;0
324985607;2636AHR23Z29;Картридж DS TN-221Y для Konica Minolta Bizhub C227 желтый;1820;2364;34.6;12;0
323312849;2351XLRBSFP8;Картридж DS 106R03535 пурпурный;1820;2363;34.3;27;0
323155780;4412B6ZXDBQ6;Чернила DS GI-40PGBK для Canon Pixma G5040 черный;1907;2338;41.9;18;0
882851021;16667YF2KNJ1;Картридж для HP LaserJet Pro M227fwd 3500 страниц;1820;2225;32.2;2;0
313188486;5525BDB7JX3U;Картридж DS W1450A для HP LJ Pro 3103, 3003 черный;1820;2164;31.1;1;0
886525438;41595V9OF52W;Картридж для BP5100DW 6000 страниц;1820;2137;37.7;50;0
313184347;1325X2ZTO6NE;Картридж DS SP150HE для Ricoh SP150, SP150SU, SP150W черный;1820;1868;35.7;50;0
313197573;5363RXD1VSVY;Картридж DS 729 для Canon LBP7010C, LBP7018C желтый;1820;1829;24.2;1;0
323359916;5419GEEB2CZ5;Картридж DS 067H C голубой;1820;1820;39.3;2;0
871632269;008711RXPP8E;Картридж для HP LaserJet Pro M1212 1600 страниц;1820;1679;20.7;1;0
313197451;5370O2HDFANL;Картридж DS TN-118 для Konica Minolta Bizhub 164 черный;1820;1671;31.6;50;0
323359928;5420EFYQ25AC;Картридж DS 067H M пурпурный;1820;1661;39.3;2;0
871628252;00876IV5SJ4Y;Картридж для HP LaserJet Pro P1108 1600 страниц;1820;1659;20.7;1;0
324989334;3620IUO7VE5K;Картридж DS 731Bk черный;1820;1649;21.3;4;0
313183820;0039NJOV6T4W;Картридж DS CLP-K300A для Samsung CLP-300N, CLP-300N черный;1820;1626;34.2;25;0
323148884;3606G99HLNSA;Картридж DS 045M для Canon MF631cn, MF631cn пурпурный;1820;1582;43.6;50;0
323165644;3067Y5M5FQGU;Картридж DS T9453 M для Epson пурпурный;1820;1574;37.8;7;0
313183157;0140CG55XY77;Картриджи DS BCI-24 для Canon MultiPASS C560, MultiPASS C70;1820;1560;43.4;15;0
323155755;4411L1J9S9A4;Картриджи DS CLI-426 для Canon Pixma MG6240;1820;1549;47.4;7;0
888188156;6890VOU88STU;Картридж DS 325 для Canon LBP6000, LBP6020, LBP6020B черный;1820;1535;36.9;1;0
323168159;0842C4YS3AH7;Картридж DS T7011 для Epson WP-4015DN, WP-4015DN черный;1820;1248;29.9;1;0
873444604;53517TAVK8EA;Картридж для Canon i-SENSYS MF3010 1600 страниц;1820;1208;21.7;1;0
323109405;0329PCONCDG1;Картридж DS 178XL для HP PhotoSmart 7520 фото-черный;1820;1141;26.2;31;0
313215012;0309QOMNNCIK;Картридж DS 132 для HP PhotoSmart C4183, PSC-1513 черный;1820;1105;21.9;34;0
887061516;44438CV01465;Картридж для Epson WorkForce WF-7710DWF 1100 страниц;1820;1080;36.9;34;0
313188631;2138TI2FM5JM;Картридж DS TK-5240Y желтый;1820;1074;32.2;50;0
313184262;0040PAUI2VST;Картридж DS CLP-C300A для Samsung CLX-2160 голубой;1820;1039;31.5;50;0
877457709;032814G3FRU3;Картридж для HP PhotoSmart C5383 550 страниц;1820;929;34.9;2;0
323089875;0016GR3LTFGI;Картридж DS CLI-426GY для Canon Pixma MG6140 серый;1820;819;16.2;2;0
323166899;3521OU90YVAB;Картридж DS T9444 для Epson WF Pro C5710 желтый;1820;805;44.2;25;0
313183301;3115YTFB7DL5;Картридж DS LC-665XLC для Brother MFC-J2320 голубой;1820;667;42.1;50;0
865055426;22033YG82BX9;Картридж для Epson ERC-38 2250000 знаков;1820;651;32.7;50;0
313193855;0319PLI98566;Картридж DS 82Y для HP DJ 500, DJ 500 Plus, DJ 500ps желтый;1820;543;19.7;2;0
313188437;0596C0F9D6D2;Картридж DS LC-1100C для Brother DCP-373CW голубой;1820;367;32.5;50;0
323142281;4062ACBZW33V;Картридж DS PFI-701GY для Canon iPF8000, iPF8000s серый;1820;0;36.6;4;1
323151603;2849OSN234MZ;Картридж DS PFI-706Y желтый;1820;0;36.5;4;1
323258059;3675KXY5CYA8;Картридж DS X340A11G/ X340A21G для Lexmark LP X340 черный;1820;0;35.3;4;1
323259849;4328TLQMH10X;Фотобарабан DS 46484107 DU для OKI MC573 голубой;1820;0;46.0;4;1
323328852;3470N1OONWCJ;Картридж DS 106R03522 для Xerox VersaLink C400 голубой;1820;0;34.7;4;1
323348160;4330PPHZMDEI;Фотобарабаны DS 46484105-46484108 DU для OKI Data C542;1820;0;44.4;4;1
323363027;5551KLT2XSFC;Картридж DS CF217XL для HP LJ Pro M102a черный;1820;0;39.4;50;1
489532315;6344VQDYJHQF;Картридж DS 45536506 для OKI C931, C941, es9541 пурпурный;1820;0;36.0;4;1
498270352;6474Y5FEOVGR;Картридж DS 45536505 для OKI C931, C941, es9541 желтый;1820;0;36.0;4;1
545011433;6595Q0BXMD88;Картридж DS TK-3100XXL для Kyocera M3040dn, M3540dn черный;1820;0;38.5;40;1
813100597;6723SGGR7TRG;Фотобарабан + картридж DS 049DU+047X для Canon MF112 черный;1820;0;30.4;28;1
865319727;34131H5M862V;Картридж для Canon iR Advance 525i 51500 страниц;1820;0;35.5;50;1
865320596;34132B45CQCS;Картридж для Canon iR Advance 615 51500 страниц;1820;0;35.5;50;1
865321254;34133NV958E8;Картридж для Canon iR Advance 715 51500 страниц;1820;0;35.5;50;1
883287777;55511IX14HT3;Картридж для HP LaserJet Pro M102a 6000 страниц;1820;0;39.4;50;1
915790779;36751FHPABCJ;Картридж для Lexmark LaserPrinter X340 2500 страниц;1820;0;35.3;4;1
915790854;36752TWEHVVN;Картридж для Lexmark LaserPrinter X342 2500 страниц;1820;0;35.3;4;1
