offer_id,name,qty_180d,revenue_180d,qty_90d,margin_pct,ceiling,bid_start
1108X2,Комплект картриджей 106R02612 (2 шт.) на 20000 страниц для п,1,8817,1,40.0,448.7,60
1531,"Картридж T0520 для принтеров Epson Stylus Color 1160, Stylus",1,1756,1,31.9,40.4,14
