# oz_acc1: реклама 2026-07-27..2026-08-15 (19 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-17 — трафика нет и не было
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
874373551,4517,"Картриджи 841853 - 841856 для принтеров Ricoh Aficio MP C4503, MP-C4504, Aficio MP C5503",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4481055447,10541,Картридж для Samsung CLP-680,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153793502,2818,"Картриджи T676XL для принтеров Epson WorkForce Pro WP-4010, WP 4020, WP4023, WP-4090, WP4520, WP 4530",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1143060989,5103,"Картридж 43459336 для принтеров OKI и Data C3500, DataC3520, MC350, MC360 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,6831.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
873319501,4115,"Картридж T6538 для принтеров Epson и Stylus PRO 4900, Stylus PRO 4910 черный матовый",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1165541061,1991,"Картридж 006R01551 для принтеров Xerox WorkCentre 5845, WC 5855 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
870872701,2799,"Картридж MLT-C607S для принтеров Samsung и SCX-8030, SCX 8040 голубой",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4797037491,32666,Лента для принтера для Sharp FO-1850,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5281292103,5862X10,"Комплект тонер-картриджей 842561 (10 шт.) на 300000 страниц для принтеров Ricoh IM C2010, IM C2510H",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,46606.0,,46.64,36.0,21735.31,0.0539,1045.4,778.3,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153667502,1727,"Картридж 60F5X00 для принтеров Lexmark MX510de, MX511, MX611de черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,5134.0,,27.54,16.9,1413.68,0.0389,45.0,23.8,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5242572148,1612X10,Комплект тонер-картриджей 106R01414 (10 шт.) на 40000 страниц для принтеров Xerox Phaser 3435,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930631029,3178,"Фотобарабан №520ZA DU для принтеров Lexmark MS710, MS711, MS810, MS811, MX710, MX711, MX810, MX811 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153761315,2503,Картридж S050090 для принтеров Epson и AcuLaser C4000 голубой,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,6483.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
3557210880,6567,Картридж CTL-2100HY желтый,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,14557.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5257948552,3354X2,"Комплект лент PR-101RF (2 шт.) на 1400 страниц для принтеров Brother FAX-1150, FAX 1200P",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
873314301,3689,"Картриджи 652XL для принтеров HP и DeskJet 3636, DeskJet 3855, DJ 1115, DJ 2135, DJ2136, DJ 3635, DJ 3775",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,8003.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930623281,1376,"Картридж CF217A для принтеров HP LaserJet Pro M102a, LJ Pro M102w черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930641231,0077,"Картриджи BCI-5/ BCI-6 для принтеров Canon и Pixma i9100, Pixma i950 набор cmyk lclm",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2740.0,,,,,0.0434,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4481062489,12171,Картридж для Xerox WorkCentre 60,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4576786275,7032,"Картридж W2132A для принтеров HP LJ 5700, LJ 6700, LJ-6701, LJ MFP 5800, LJ MFP 6800 желтый",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4463556235,05292,Фотобарабан для Panasonic KX-FLB858,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5322493444,5292X10,"Комплект тонера TK-1200 (10 шт.) на 1250мл. для принтеров Kyocera EcoSys M2235, M2735dn, M2835, P2335",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930609161,5321,"Картридж EP-87 для принтеров Canon и i-SENSYS LBP5200, ImageClass MF8180C, LBP 2410 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,8660.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4493633430,22182,Картридж для Star CR 3240,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1510950981,5399,Фотобарабан 44661802 KIT для принтеров OKI и Data B840 черный,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,46501.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5288741789,6014X2,"Комплект лент TZEFX641 (2 шт.) на 16 метров для принтеров Brother PT-1300, PT 1400, PT1600, PT-1650, PT1700, PT 1750",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1143061528,5199,"Картридж T-FC28EK для принтеров Toshiba и e-Studio 2330c, e Studio 2820c, eStudio 3520c, e-Studio 4520c черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
5259642463,3630X10,Комплект картриджей TK-5215Bk (10 шт.) на 200000 страниц для принтеров Kyocera TASKalfa 406,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,96492.0,,46.37,35.8,44744.89,0.0539,2150.3,1600.9,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1153759545,2474,"Картридж 106R01145 для принтеров Xerox и Phaser 6300, Phaser 6350 пурпурный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,7457.0,,,,,0.0389,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930627355,3044,Картридж PFI-1000R для принтеров Canon и iPF -PRO-1000 красный,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
4507519186,31212,Картридж для Canon LaserClass-710,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,45000.0,,,,,0.0539,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
930613827,0756,"Картриджи CE410A-CE413A для принтеров HP Color LaserJet Pro 300 M351a, M375nw, HP M451dn, HP-M451dw, HPM451nw, HP MFP M475dn",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
