article;ghost_ms_id;ghost_external_code;ghost_name;ghost_buy_price;ghost_created;ghost_barcode;keep_code;keep_name
CE743A;977125f6-3530-11eb-0a80-065300158cb1;XIHvJ-f1h-tJrFiNPn13u2;CE743A К-ж HP CLJ CP5220/CP5225 пурпурный, оригинал;282.125;2020-12-03;20289300;0780ct;Картридж CE743A M CP
CH565A;a2531161-3530-11eb-0a80-06530015b621;x7-hzECthYjIzvgs9hYer1;К-ж HP CH565A Картридж HP № 82 черный емкость 69 мл.;58.9311;2020-12-03;20316341;0320pl;Картридж HP 82 Black  PL
CL-41/0617B025;a303361f-3530-11eb-0a80-06530015b891;UQn5s9iLiOUxKjFhWzNly3;К-ж CANON CL-41 к Pixma MP150/170 цветной;16.9;2020-12-03;20308148;0183-or;Картридж CL-41 Col OR
CLI-42 BK/6384B001;a315fa30-3530-11eb-0a80-06530015b8d9;PrIgKHURgc-NCddYs9NRA2;К-ж CANON CLI-42BK  черный  для PIXMA PRO-100;18.0;2020-12-03;20308322;3590sf;Картридж CLI-42BK Canon
CLI-8C/0621B024;a3578ebc-3530-11eb-0a80-06530015b999;yyJ8vodNjUzGVe5Mk7s7O1;К-ж CANON CLI-8C cyan (МФУ Pixma MP500/800, Pixma  IP6600,5200,4200);20.2;2020-12-03;20308803;0136sf;Картридж CLI-8 C Canon
CLP-C600A;9b051ba4-3530-11eb-0a80-065300159b89;Qz-KsXV6iW1ggEcbNK2RF3;К-ж Samsung CLP-600-серия голубой CLP-C600A;52.4299;2020-12-03;20301224;0691;Картридж CLP-C600A
CLP-K600A;9b0813a0-3530-11eb-0a80-065300159b95;RqFdS79Qhj6jXIGS8rrJ80;К-ж Samsung CLP-600-серия черный CLP-K600A;61.7193;2020-12-03;20301255;0690;Картридж CLP-K600A
CLP-M600A;9b072700-3530-11eb-0a80-065300159b91;15kWhjHBiNPl6WqiQQ4nL2;К-ж Samsung CLP-600-серия пурпурный CLP-M600A;83.3415;2020-12-03;20301248;0692;Картридж CLP-M600A
CLP-Y600A;9b06302c-3530-11eb-0a80-065300159b8d;6pc4TagegDup0LqNiyh771;К-ж Samsung CLP-600-серия желтый CLP-Y600A;50.597;2020-12-03;20301231;0693;Картридж CLP-Y600A
CLT-M406S/SEE;9b25bc08-3530-11eb-0a80-065300159c11;051CPLTkhQboo7C3U3xjc1;К-ж Samsung CLT-406-серия пурпурный для CLP-360/365/368/CLX-3300/3305  оригинал ;30.093;2020-12-03;20301569;0794sf;К-ж Samsung-hp CLT-M406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Magenta S-print b
