запрос;nm_id;название;наша_цена;медиана_топ10;множитель;наших_отзывов;отзывов_медиана_соседей;позиция
brother mfc-j3520;200167242;Картридж LC563Y для Brother MFC-J3720, MFC-J3720 желтый;852;239;3.56;3;1;39
brother mfc-j3520;200167252;Картридж LC563M для Brother MFC-J3520, MFC-J3520 пурпурный;843;239;3.53;3;1;5
brother mfc-j3520;216429650;Картридж LC563C для Brother MFC-J2510, MFC-J2510 голубой;843;239;3.53;3;1;9
brother mfc-j3520;192228130;Картридж LC565XLY для Brother MFC-J2310, MFC-J2510 желтый;841;239;3.52;11;1;2
картридж на hp 5l;1001414434;Картридж для HP LaserJet 5L Extra;2113;606;3.49;0;1;4
hp 135;261176599;Картридж W1350X для HP LJ M209, LJ M209dw черный;4126;1198;3.44;4;3;97
картридж для принтера brother;199565890;Картридж для Brother HL-L5000d;2544;745;3.41;3;4;70
картридж hp 135;216424936;Картридж для HP PhotoSmart 375;3505;1032;3.4;0;6;47
картридж hp 135;216423466;Картридж для HP PhotoSmart 385;3505;1032;3.4;0;6;63
картридж ecosys m2135dn;1003732870;Картридж для Kyocera EcoSys M2135;2818;836;3.37;0;22;91
картридж ecosys m2135dn;1003732952;Картридж для Kyocera EcoSys P2235;2818;836;3.37;0;22;93
картридж ecosys m2135dn;1003732907;Картридж для Kyocera EcoSys M2635;2818;836;3.37;0;22;96
brother mfc-j3520;192228142;Картридж LC565XLM для Brother MFC-J2310 пурпурный;805;239;3.37;11;1;21
картридж canon mg4240;486414834;Картриджи PG-440-CL-441 для Canon Pixma MX474, Pixma MX514;8585;2546;3.37;0;4;61
brother mfc-j3520;192228160;Картридж LC565XLC для Brother MFC-J2310, MFC-J2510 голубой;797;239;3.33;11;1;23
картридж canon 325;850428263;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;3829;1171;3.27;0;8;28
картридж для принтера canon 325;850428263;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;3829;1171;3.27;0;8;34
cf219a картридж;547083246;Фотобарабан + картридж CF219A+CF217XL для HP черный;2389;734;3.26;6;19;29
блок проявки kyocera;400980645;Блок проявки DV-1200 DU для Kyocera M2235, M2735dn черный;20767;6536;3.18;8;2;86
картридж для принтера lexmark;209755386;Картридж для Lexmark MS812dtn;4687;1474;3.18;0;3;43
картридж для принтера hp laserjet 1150;199334133;Картридж CF256A для HP LJ M433, LJ M436n, LJ M436nda черный;3087;974;3.17;1;8;57
картридж tk-1200;209752271;Картридж TK-1200XL для Kyocera M2235, M2735dn, M2835 черный;2272;722;3.15;8;12;47
tk-1200 картридж;209752271;Картридж TK-1200XL для Kyocera M2235, M2735dn, M2835 черный;2272;722;3.15;8;12;47
картридж для принтера brother;199330938;Картридж TN-910BK для Brother HL-L9310, MFC-L9570 черный;2339;745;3.14;1;4;89
exv49;199334449;Картриджи C-EXV49 для Canon iR Advance C3525;13136;4254;3.09;6;2;8
картридж для принтера canon 460 461;964953374;Комплект картриджей для Canon Pixma TS5340;12447;4036;3.08;0;12;51
ecosys ma2100cwfx картриджи;268379620;Картриджи TK-5440 для Kyocera MA2100cfx, MA2100cwfx;4380;1441;3.04;14;0;1
картридж на hp 5l;859956648;Картридж для HP LaserJet 3100XI;1845;606;3.04;0;1;29
картридж на hp 5l;859957037;Картридж для HP LaserJet 3150XI;1845;606;3.04;0;1;30
картридж на hp 5l;859956790;Картридж для HP LaserJet 3150;1845;606;3.04;0;1;31
картридж на hp 5l;859957031;Картридж для HP LaserJet 3150SE;1845;606;3.04;0;1;32
картридж на hp 5l;859956651;Картридж для HP LaserJet 6LXI;1845;606;3.04;0;1;44
p2518 картридж;964955028;Картридж для P2516;2601;861;3.02;0;8;7
картридж для принтера brother;215239702;Картридж для Brother DCP-9020cdw;2228;745;2.99;1;4;67
принтер лазерный бротхер 2540;200166011;Картридж для Brother HL-L2340DWR;1795;603;2.98;10;278;32
принтер лазерный бротхер 2540;200165976;Картридж для Brother DCP-L2500DR;1795;603;2.98;29;278;38
mf752cdw;216361042;Картриджи 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;6825;2300;2.97;5;0;53
xerox 6015;199331035;Картридж 106R01634 для Xerox Phaser 6000, WC 6015 черный;1497;504;2.97;49;209;54
картридж samsung m2070w;192228639;Картридж MLT-D111S для Samsung Xpress M2020, M2020W черный;2180;744;2.93;5;718;80
картридж для принтера lexmark;199333431;Картридж 50F5U00 для Lexmark MS510dn, MS610de черный;4279;1474;2.9;3;3;8
картридж на hp 5l;216429686;Картридж для HP LaserJet 6LSE;1744;606;2.88;0;1;35
картридж на hp 5l;209752486;Картридж для HP LaserJet 3100;1744;606;2.88;0;1;40
картридж на hp 5l;209752506;Картридж для HP LaserJet 3100SE;1744;606;2.88;0;1;43
картридж для принтера brother;216341330;Картридж для Brother DCP-7030R;2120;745;2.85;7;4;69
катридж 178;181105105;Картриджи 178XL для HP PhotoSmart Plus B209a;2612;916;2.85;64;22;32
dymo;267893128;Лента S0720780 для Dymo LM 160, LM 210D, LM 280, LM 420P;1835;648;2.83;1;6;56
xerox 6015;199566550;Картридж для Xerox WorkCentre 6015;1423;504;2.83;5;209;11
картридж для принтера kyocera fs-1020 mfp;216355214;Фотобарабан DK-1110 DU для Kyocera FS-1020MFP черный;3903;1378;2.83;25;32;83
картридж tk-1200;254005244;Картридж TK-1200X для Kyocera M2235dn, M2735dn черный;2013;722;2.79;8;12;44
картридж для принтера lexmark;199572520;Картридж для Lexmark MS810dn;4117;1474;2.79;0;3;77
tk-1200 картридж;254005244;Картридж TK-1200X для Kyocera M2235dn, M2735dn черный;2013;722;2.79;8;12;44
p2518 картридж;200167538;Картридж для P2500W;2391;861;2.78;121;8;58
принтер лазерный бротхер 2540;200166009;Картридж для Brother HL-L2300DR;1668;603;2.77;9;278;10
