класс;код;внешний код;наименование;лежит;по ТК должно быть
ДРУГОЙ БРЕНД;0041sf;0041;Картридж Samsung CLP-300M  CLP-300/CLX-2160/3160/Phaser 6110 1K magenta Premium SuperFine;Картриджи/Картриджи Xerox;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0042sf;0042;Картридж Samsung CLP-300Y  CLP-300/CLX-2160/3160/Phaser 6110 1K yellow Premium SuperFine;Картриджи/Картриджи Xerox;Картриджи/Картриджи Samsung
ДРУГОЙ БРЕНД;0047sp;0047;Тонер Картридж ML-2250D5/ Xerox 109R00747 SP;Картриджи/Картриджи Samsung;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0047sp;0047;Тонер Картридж ML-2250D5/ Xerox 109R00747 SP;Картриджи/Картриджи Samsung;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0049sp;0049;Тонер Картридж ML-2250D5/ Xerox 109R00747/ 013R00606 SP;Картриджи/Картриджи Samsung;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0049sp;0049;Тонер Картридж ML-2250D5/ Xerox 109R00747/ 013R00606 SP;Картриджи/Картриджи Samsung;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0049sp;0049;Тонер Картридж SP-X-PE120;Картриджи/Картриджи Kyocera Mita;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0049sp;0049;Тонер Картридж SP-X-PE120;Картриджи/Картриджи Kyocera Mita;Картриджи/Картриджи Xerox
ДРУГОЙ БРЕНД;0050sg;0050;Тонер-картридж Smart Graphics SG-C3906A, FX-3, EP-A для Canon LBP460, LBP465, LBP660, HP LJ 3100 (Чёрный, 2700 стр.), совместимый, универсальный;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;00517q;0051;Тонер картридж 7Q C4092A, EP-22 для HP LJ 1100 и Canon LBP1120 (Чёрный, 2500 стр.), универсальный;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0051sg;0051;Тонер-картридж Smart Graphics SG-EP22 для Canon LBP1120, LBP800, HP LJ 1100, HP LJ 1100a, HP LJ 1100a AiO (Чёрный, 2500 стр.), совместимый, универсальный;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0053cg;0053;Картридж CG-CB541A/716 (№125A) для принтеров HP Color LaserJet CP1210/CP1215/CP1510/CP1515/CP1515n/CP1518/CM1312/CM-1312nfi/Canon i-SENSYS LBP5050/LBP5050n/MF8030/MF8030Cn/MF8040/MF8040Cn/MF8050/MF8050Cn/MF8080/MF8082Cw Cyan 1400 копий Colouring;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0060cs;0060;"Картридж лазерный G&G GG-719H черный (6500стр.) для Canon MF5840dni-Sensys/MF5880dni; LBP6300i/6650i";Картриджи/Картриджи G&G;Картриджи/Картриджи Canon
ДРУГОЙ БРЕНД;0074cs;0074;Картридж лазерный G&G GG-TN2075 черный (2500стр.) для Brother DCP-7010, 7010R, 7020, 7025, 7025R, FAX-2820, 2825, 2825R, 2920, 2920R, HL-2030, 2030R, 2040, 2040R, 2070N, 2070, 2070NR, MFC-7225, 7225N, 7420, 7420R, 7820, 7820N, 7820NR, 7820R;Картриджи/Картриджи G&G;Картриджи/Картриджи Brother
ДРУГОЙ БРЕНД;0081cs;0081;Картридж лазерный G&G GG-TN2175 черный (2600стр.) для Brother HL-2140/2150/2170, DP-7030/70407045N, MF-7045/7320/7440/7840W;Картриджи/Картриджи G&G;Картриджи/Картриджи Brother
ДРУГОЙ БРЕНД;00877q;0087;Тонер-картридж Canon LBP-6000 725 / CE285A (1.6k) (корпус CE285) 7Q;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0087cs;0087;Картридж лазерный G&G GG-CE285A черный (1600стр.) для HP LJ Pro P1102/P1102w/1214nfh/M1132/M1212nf MFP/M1217nfw MFP;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0088ep;0088;728 Картридж EasyPrint LC-728 для Canon MF4410/4430/4450/HP LJ P1566/M1536 (2100 стр.) с чипом;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0103cs;0103;Картридж лазерный G&G GG-CC364X черный (24000стр.) для HP LJ P4015/P4515;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0104cs;0104;Картридж лазерный G&G GG-CC530A черный (3500стр.) для HP CLJ CP2020/CP2025/CM2320 MFP, MF8330/8350;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0105cs;0105;Картридж лазерный G&G GG-CC531A голубой (2800стр.) для HP CLJ CP2020/CP2025/CM2320 MFP, MF8330/8350/8380;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0106cs;0106;Картридж лазерный G&G GG-CC532A желтый (2800стр.) для HP CLJ CP2020/CP2025/CM2320 MFP;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
