article;class;code;external_code;ec_kind;name;buy_price;qty_all;docs;qty_12m;barcodes;in_ms_product;created
C13T12824012;B;0189-or;0189;num;Картридж T1282 голубой Orig.;9.03;0.0;0;0.0;1;True;2017-10-02
C13T12824012;B;;JmuHGnwZie5O4dls0FLb80;auto;К-ж EPSON T12824012 new S22/SX125 голубой;9.03;0.0;0;0.0;1;True;2020-12-03
C1Q10A;B;;fePL3Q4xgO5LI2WQj5bxd2;auto;C1Q10A HP 711 Комплект замены печатающей головки (Printhead Replacement Kit);297.7475;0.0;0;0.0;1;True;2020-12-03
C1Q10A;B;;OwzqX9Yoj8OB6aUKHeyU22;auto;Комплект для замены печатающей головки HP 711;289.303;0.0;0;0.0;1;True;2018-10-31
C4096A;B;0020;0020;num;Картридж C4096A;74.962;0.0;0;0.0;1;True;5061-12-07
C4096A;B;;hWeLOJUfgdXtDvutT1KPr0;auto;C4096A  К-ж HP LJ 2100/2200, ориг. 5000 страниц;72.7739;0.0;0;0.0;1;True;2020-12-03
C4127X;B;0416;0416;num;Картридж C4127X;241.1382;0.0;0;0.0;1;True;2017-06-06
C4127X;B;;rSbKCyyNgxoi32Hyes6CU0;auto;C4127X  К-ж HP LJ 4000/4000N/4000T ориг.ресурс 10000;235.4031;0.0;0;0.0;1;True;2020-12-03
C4844A;B;0313-or;0313;num;Картридж 10 Bk HP;90.539;0.0;0;0.0;1;True;2017-10-10
C4844A;B;;f9OuFRkZiN8P61RCRLRG01;auto;К-ж HP C4844A 2000/2500C Color Printer  black;93.1818;0.0;0;0.0;1;True;2020-12-03
C9363HE;B;0310-or;0310;num;Картридж hp 134 Col HP;97.3562;0.0;0;0.0;1;True;2018-03-27
C9363HE;B;;xR0IjEv4gYnjuZF0DfzyJ0;auto;К-ж HP C9363HE 6543/5743/5740/6843/PS 8153/8453 №134;74.6749;0.0;0;0.0;1;True;2020-12-03
C9380A;B;;GtNh-TSdgLKhV-GHRSM3p0;auto;Печатающая головка HP C9380A;86.4739;0.0;0;0.0;1;True;2017-09-26
C9380A;B;;GwUQWGehiH2al6jO8THSa0;auto;К-ж HP C9380A HP № 72 Печатающая головка черная и серая;112.739;0.0;0;0.0;1;True;2020-12-03
C9384A;B;;kA6YOF7Hhj23NWHltC8Vw3;auto;Печатающая головка HP C9384A;90.7309;0.0;0;0.0;1;True;2017-09-26
C9384A;B;;ZVm83l8chYDgyjDTUgQWX0;auto;К-ж HP C9384A HP №72 Печатающая головка  матовая, черная и желтая;118.289;0.0;0;0.0;1;True;2020-12-03
C9396AE;B;0970-or;0970;num;Картридж C9396AE HP 88 XL Black Original;69.2085;0.0;0;0.0;2;True;2017-10-30
C9396AE;B;;flIAzXy3haoBneeRk8n4V1;auto;К-ж HP C9396AE Officejet Pro K550 № 88 увеличенный черный;53.0848;0.0;0;0.0;1;True;2020-12-03
C9403A;B;3980sf;3980;num;Картридж HP C9403А (№ 72) Матовый черный O;89.8795;0.0;0;0.0;1;True;2018-03-14
C9403A;B;;3WMtAdcAjNkkCZf7BWI5h0;auto;К-ж HP C9403А к Designjet T1100ps (№ 72) Матовый черный ориг;117.179;0.0;0;0.0;1;True;2020-12-03
C9421A;B;;dlYXdYh0iE7K8ig6IHoLi0;auto;К-ж HP C9421A печатающая головка № 85 magenta;0.0;0.0;0;0.0;1;True;2020-12-03
C9421A;B;;fQjkWgfAj72QUcwzW-Elk3;auto;Печатающая головка HP 85 пурпурная (1500 стр);0.0;0.0;0;0.0;1;True;2018-10-08
CB304AE;B;0947cs;0947;num;Картридж HP 110 Col Cactus;0.0;0.0;0;0.0;2;True;2016-09-08
CB304AE;B;;YG5e1oBQg9bGZWmHEwTT80;auto;К-ж HP CB304AE PhotoSmart A430 (№ 110) цветной оригинал;0.0;0.0;0;0.0;1;True;2020-12-03
CB335HE;C;0198-or;0198;num;Картридж hp 140xl HP;27.0674;0.0;0;0.0;1;True;2018-04-20
CB335HE;C;3624-or;3624;num;К-ж HP CB335HE OfficeJet J5783 № 140 стандартный черный;35.2888;0.0;0;0.0;2;True;2020-12-03
CB337HE;C;0199-or;0199;num;Картридж HP 141XL HP;43.3732;0.0;0;0.0;1;True;2018-04-20
CB337HE;C;3625-or;3625;num;К-ж HP CB337HE OfficeJet J5783 № 141 стандартный цветной;33.2685;0.0;0;0.0;2;True;2020-12-03
CC656AE;B;;gxcCAJ03h6cnmrLETtLbv3;auto;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;32.9634;0.0;0;0.0;1;True;2021-09-13
CC656AE;B;ORIG0847;ORIG0847;auto;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;42.9755;0.0;0;0.0;1;True;2020-12-03
CE400X;B;0347pl;0347;num;Картридж CE400X BK PL;268.6112;0.0;0;0.0;1;True;2013-11-08
CE400X;B;;A3g7cY09hw3i5LdcZcY6k2;auto;CE400X К-ж HP 507X CLJ Color M551 черный, увеличенный, оригинал;245.784;0.0;0;0.0;1;True;2020-12-03
CE740A;B;0777ct;0777;num;Картридж CE740A BK CP;209.496;0.0;0;0.0;1;True;2018-11-27
CE740A;B;;yJkmMhRgiTOh6QWWqQ1C61;auto;CE740A К-ж HP CLJ CP5220/CP5225 черный, оригинал;214.6;0.0;0;0.0;1;True;2020-12-03
CE741A;B;0778ct;0778;num;Картридж CE741A C CP;344.3112;0.0;0;0.0;1;True;2018-11-27
CE741A;B;;Nk1yJ-75hKJzz2H2k8sx41;auto;CE741A К-ж HP CLJ CP5220/CP5225 голубой, оригинал;282.125;0.0;0;0.0;1;True;2020-12-03
CE742A;B;0779ct;0779;num;Картридж CE742A Y CP;282.125;0.0;0;0.0;1;True;2018-11-27
CE742A;B;;0IkmMYYZhA3WH9f62WTei2;auto;CE742A К-ж HP CLJ CP5220/CP5225 желтый, оригинал;296.34;0.0;0;0.0;1;True;2020-12-03
CE743A;B;0780ct;0780;num;Картридж CE743A M CP;261.87;0.0;0;0.0;1;True;2018-11-27
CE743A;B;;XIHvJ-f1h-tJrFiNPn13u2;auto;CE743A К-ж HP CLJ CP5220/CP5225 пурпурный, оригинал;282.125;0.0;0;0.0;1;True;2020-12-03
CF256A;B;;HmV3Nmx8gm9QTg-8RvEi00;auto;Картридж CF256A OR;49.1206;0.0;0;0.0;1;True;2019-01-30
CF256A;B;;iH2UI9YRiWY5gwPDBblWm1;auto;CF256A К-ж HP 56A лазерный (7400 стр), оригинал;50.5975;0.0;0;0.0;1;True;2020-12-03
CF283XF;B;;7naGVCQij-hTonrDNV1ai3;auto;CF283XF К-ж HP LJ M225 MFP/M201, двойная упаковка, увелич.ресурс, оригинал;198.2182;0.0;0;0.0;1;True;2020-12-03
CF283XF;B;;vYMfVGdbgAfA0dN4M4kQe2;auto;CF283XF / XD К-ж HP LJ M225 MFP/M201, двойная упаковка, увелич.ресурс, оригинал;193.5039;0.0;0;0.0;1;True;2021-05-24
CF530A;B;;QS2LOwMPghDqWm1r9zTRN0;auto;CF530A K-ж HP 205A Black CLJ Pro MFP M180/181, оригинал;54.9576;0.0;0;0.0;1;True;2020-12-03
CF530A;B;;yeASzsysgZUAOlmuKMPWN3;auto;Чип HP CF530A;56.61;0.0;0;0.0;1;True;2019-07-19
CH565A;B;0320pl;0320;num;Картридж HP 82 Black  PL;76.8305;0.0;0;0.0;1;True;2015-09-02
CH565A;B;;x7-hzECthYjIzvgs9hYer1;auto;К-ж HP CH565A Картридж HP № 82 черный емкость 69 мл.;58.9311;0.0;0;0.0;1;True;2020-12-03
CL-41/0617B025;B;0183-or;0183;num;Картридж CL-41 Col OR;16.9;0.0;0;0.0;1;True;2020-06-02
CL-41/0617B025;B;;UQn5s9iLiOUxKjFhWzNly3;auto;К-ж CANON CL-41 к Pixma MP150/170 цветной;16.9;0.0;0;0.0;1;True;2020-12-03
CL-446XL;B;CL-446XL/8284B001;4IJuqoyniisMRKWffai453;auto;Картридж CL-446XL Col OR;23.6;0.0;0;0.0;1;True;2018-09-07
CL-446XL;B;CL-446XL/8284B001;qJo0k7rqhgq2t5yCnZcOx1;auto;К-ж CANON CL-446XL к Pixma MG2440/2540 увеличенный цветной;27.0;0.0;0;0.0;1;True;2020-12-03
CLI-42 BK/6384B001;B;3590sf;3590;num;Картридж CLI-42BK Canon;18.0;0.0;0;0.0;1;True;2018-06-13
CLI-42 BK/6384B001;B;;PrIgKHURgc-NCddYs9NRA2;auto;К-ж CANON CLI-42BK  черный  для PIXMA PRO-100;18.0;0.0;0;0.0;1;True;2020-12-03
CLI-8C/0621B024;B;0136sf;0136;num;Картридж CLI-8 C Canon;24.4;0.0;0;0.0;1;True;2017-11-16
CLI-8C/0621B024;B;;yyJ8vodNjUzGVe5Mk7s7O1;auto;К-ж CANON CLI-8C cyan (МФУ Pixma MP500/800, Pixma  IP6600,5200,4200);20.2;0.0;0;0.0;1;True;2020-12-03
CLI-8C/M/Y/0621B029;B;;4oyuofQoiTGYj-lz1wtv51;auto;Набор картриджей CLI-8 C/M/Y мульти-упаковка OR;25.8;0.0;0;0.0;1;True;2020-10-12
CLI-8C/M/Y/0621B029;B;;bUs4jVZthFoZ5-dngPWxA3;auto;К-ж CANON CLI-8 C/M/Y мульти-упаковка 0621B029;29.25;0.0;0;0.0;1;True;2020-12-03
CLP-C600A;B;0691;0691;num;Картридж CLP-C600A;52.4299;0.0;0;0.0;2;True;2014-05-26
CLP-C600A;B;;Qz-KsXV6iW1ggEcbNK2RF3;auto;К-ж Samsung CLP-600-серия голубой CLP-C600A;52.4299;0.0;0;0.0;1;True;2020-12-03
CLP-K600A;B;0690;0690;num;Картридж CLP-K600A;61.7193;0.0;0;0.0;2;True;2014-05-26
CLP-K600A;B;;RqFdS79Qhj6jXIGS8rrJ80;auto;К-ж Samsung CLP-600-серия черный CLP-K600A;61.7193;0.0;0;0.0;1;True;2020-12-03
CLP-M600A;B;0692;0692;num;Картридж CLP-M600A;83.3415;0.0;0;0.0;1;True;2014-05-26
CLP-M600A;B;;15kWhjHBiNPl6WqiQQ4nL2;auto;К-ж Samsung CLP-600-серия пурпурный CLP-M600A;83.3415;0.0;0;0.0;1;True;2020-12-03
CLP-Y600A;B;0693;0693;num;Картридж CLP-Y600A;50.597;0.0;0;0.0;1;True;2014-05-26
CLP-Y600A;B;;6pc4TagegDup0LqNiyh771;auto;К-ж Samsung CLP-600-серия желтый CLP-Y600A;50.597;0.0;0;0.0;1;True;2020-12-03
CLT-C404S/XEV;B;1327-or;B0uLMoxXg3p3mVYYT006a1;auto;К-ж SAMSUNG-hp CLT-404-серия синий для SL-C430/C430W/C480/C480W/C480FW, S-print ;36.7236;0.0;0;0.0;1;True;2020-12-03
CLT-C404S/XEV;B;;x3Pn5CKegy5B23mQ8g7KT2;auto;К-ж Samsung CLT-404-серия голубой для SL-C430/C430W/C480/C480W/C480FW оригинал C;36.7236;0.0;0;0.0;1;True;2020-12-03
CLT-C406S/SEE;B;;D6VyVt4jjVkbAAQ1sI8V23;auto;К-ж Samsung CLT-406-серия голубой для CLP-360/365/368/CLX-3300/3305  оригинал CL;30.093;0.0;0;0.0;1;True;2020-12-03
