campaign_id,sku,факт_действие,заказы_связка,заказы_sku,выручка_sku,расход_связка,клики,кампаний_у_sku,новый_фильтр_удержал
10626733,3557211051,rollback,0.0,0.0,0.0,0.0,0,1,0
10626733,4450870372,rollback,0.0,0.0,0.0,1.0,1,2,0
10626733,4450871107,rollback,0.0,0.0,0.0,0.0,0,1,0
10626733,4450894367,rollback,0.0,0.0,0.0,0.0,0,1,0
10626733,4451299177,rollback,0.0,0.0,0.0,0.0,0,0,0
10626733,4451978109,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4451984487,rollback,0.0,0.0,0.0,2.09,1,1,0
10626733,4451990235,rollback,0.0,0.0,0.0,48.16,6,1,0
10626733,4451994850,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4463790069,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4480823818,rollback,0.0,0.0,0.0,33.75,2,2,0
10626733,4480824898,rollback,0.0,0.0,0.0,0.0,0,1,0
10626733,4480826649,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4489623389,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4489623899,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4489625187,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4490441054,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4493556240,rollback,0.0,0.0,0.0,2.96,2,1,0
10626733,4493619395,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4504237065,rollback,0.0,0.0,0.0,1.53,1,2,0
10626733,4504237691,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4504655602,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4507507679,rollback,0.0,0.0,0.0,95.22,6,2,0
10626733,4507522657,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4515703538,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4515704247,rollback,0.0,0.0,0.0,1.0,1,2,0
10626733,4527379778,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4527388317,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4527389129,rollback,0.0,0.0,0.0,11.96,1,2,0
10626733,4527390470,rollback,0.0,0.0,0.0,93.62,5,2,0
10626733,4527394791,rollback,0.0,0.0,0.0,0.0,0,0,0
10626733,4527395045,rollback,0.0,0.0,0.0,27.54,1,2,0
10626733,4527402470,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4527402621,rollback,0.0,0.0,0.0,0.0,0,2,0
10626733,4527407669,rollback,0.0,0.0,0.0,32.71,2,1,0
