offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
1082,"Картриджи 006R01517-006R01520 для принтеров Xerox WorkCentre 7525, WC 7530, WC-7535, WC 7545",5,33,11,28.78,True,True
6851,"Картридж 40STB15 для принтеров F+ Imaging M40adn, M40adn20, P40dn черный",13,32,11,33.08,True,True
5878X6,"Комплект тонер-картриджей B240HA0 (6 шт.) на 36000 страниц для принтеров Lexmark LaserPrinter B2442, LP MB2442",3,32,14,54.16,False,False
0280X2,"Комплект картриджей MLT-D104S (2 шт.) на 3000 страниц для принтеров Samsung ML-1660, ML 1665, ML1667, ML-1670, ML1677, ML 1860, SCX-3200, SCX-3205",2,32,13,45.7,False,False
5246X6,"Комплект картриджей 56F5000 (6 шт.) на 36000 страниц для принтеров Lexmark LaserPrinter MS321, LP MS421, LP MS521",3,32,13,54.45,False,False
57541,Тонер-картридж для Bulat P1024,2,32,28,33.75,True,False
5246X2,"Комплект картриджей 56F5000 (2 шт.) на 12000 страниц для принтеров Lexmark LaserPrinter MS321, LP MS421, LP MS521",2,32,18,46.05,False,False
0603,"Картридж 113R00730 для принтеров Xerox Phaser 3200, Phaser 3200MFP черный",3,32,14,35.98,True,False
6652,Фотобарабан + картридж PCM247+THM247 черный,3,32,22,34.19,True,True
1285X6,"Комплект картриджей TN-3480 (6 шт.) на 48000 страниц для принтеров Brother DCP-L5500dn, DCP L5600, HL-L5000d, HLL5100dn, HL-L5200dw, HLL6200, HL L6400, MFC-L5700dn MFC-L5750dw",6,31,17,54.52,False,False
4582,"Лента LK6SBE для принтеров Epson LabelWorks 1000P, LW 600P, LW 700, LW Z700, LW Z800 черный",4,31,13,35.21,True,False
63616,Фотобарабан для Sharp MX-3560N,1,31,18,33.71,True,False
35543,Картридж для Canon Pixma TS8340,4,31,13,21.31,True,False
12872,Картридж для Brother HL-L6400DWT,1,31,29,35.43,True,False
0705X2,"Комплект картриджей MLT-D208L (2 шт.) на 20000 страниц для принтеров Samsung SCX-5635, SCX5835",2,31,11,45.94,False,False
44682,Картридж для Epson SureColor T5400,5,31,19,33.41,True,False
3424X2,"Комплект картриджей MLT-D203S (2 шт.) на 6000 страниц для принтеров Samsung SL-M3320, SL M3370, SLM3820, SL-M3870, SLM4020, SL M4070",5,31,12,46.14,False,False
0962,"Картриджи 711 для принтеров HP DesignJet T120, DJ-T125, DJ T130, DJ T520, DJT525",8,30,15,35.55,True,True
0502X10,"Комплект картриджей E250A21E (10 шт.) на 35000 страниц для принтеров Lexmark LaserPrinter E250d, LP-E250dn, LP E350d, LPE350dn, LP E352dn",4,30,12,56.17,False,False
2411X6,"Комплект тонер-картриджей TK-8115BK (6 шт.) на 72000 страниц для принтеров Kyocera Ecosys M8124cidn, M8130cidn",5,30,12,54.61,False,False
326216,"Картридж для M6557NW (РС-211EV) и M6500, M6506NW M6600N также M6607NW P2506W и P2207, P2200, P2500",3,30,18,34.86,True,False
001854,Картридж для Canon PC-785,1,30,14,35.25,True,False
239314,Комплект картриджей для Canon SELPHY CP720,5,30,13,34.43,True,False
0087X2,"Комплект картриджей CE285A (2 шт.) на 3200 страниц для принтеров HP LaserJet Pro M1132, LJ Pro M1136",2,30,12,45.09,False,False
1042X2,Комплект картриджей MLT-D111S (2 шт.) на 2000 страниц для принтеров Samsung Xpress M2020,1,30,17,46.08,False,False
1033X2,"Комплект картриджей 1250D (2 шт.) на 14000 страниц для принтеров Ricoh Aficio 1013, 1013F",1,30,18,46.11,False,False
0680X2,"Комплект картриджей 1220D (2 шт.) на 20000 страниц для принтеров Ricoh Aficio 1015, 1018, 1113",1,30,19,46.11,False,False
