nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_факт_%;ДРР_потолок_%;показы;клики;расход_₽;выручка_₽;закз_реклама;закз_органика;орг_корзина;орг_открытий;орг_позиция
257807830;35698968;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;23.9;;0.0;3;0;0.00;0.00;0;0;0;0;
209750368;35698882;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;38.4;;13.4;12;0;0.00;0.00;0;0;0;0;
199334763;35697852;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;23.7;;0.0;8;0;0.00;0.00;0;0;0;0;
199335396;35697852;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;35.3;;10.3;9;0;0.00;0.00;0;0;0;0;
964245669;36879576;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;23.6;;0.0;23;0;0.00;0.00;0;0;0;0;
327898202;35699209;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;37.7;;12.7;4;0;0.00;0.00;0;0;0;1;2
199333189;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;27.7;;2.7;4;0;0.00;0.00;0;0;0;0;
216355600;35700718;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;50.2;;25.2;4;0;0.00;0.00;0;0;0;0;
209665142;35698927;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;34.0;;9.0;3;0;0.00;0.00;0;0;0;0;
199565200;35705677;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;36.4;;11.4;15;0;0.00;0.00;0;0;0;0;
467725369;35278992;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;37.0;;12.0;15;0;0.00;0.00;0;0;0;1;3
181116086;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;19.1;;0.0;5;0;0.00;0.00;0;0;0;0;
199566073;35408957;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;24.2;;0.0;2;0;0.00;0.00;0;0;0;0;
199565554;35705677;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;21.8;;0.0;10;0;0.00;0.00;0;0;0;0;
192227822;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;30.5;;5.5;20;0;0.00;0.00;0;0;0;0;
477957134;35698159;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;53.0;;28.0;13;0;0.00;0.00;0;0;0;0;
964269022;36879425;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;22.4;;0.0;3;0;0.00;0.00;0;0;0;0;
964276293;36879425;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;33.7;;8.7;28;0;0.00;0.00;0;0;0;0;
964804863;36875094;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;31.1;;6.1;0;0;0.00;0.00;0;0;0;0;
192228107;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;37.6;;12.6;8;0;0.00;0.00;0;0;0;2;1
215239733;35704972;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;37.6;;12.6;7;0;0.00;0.00;0;0;0;0;
209663767;35699064;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.8;;11.8;9;0;0.00;0.00;0;0;0;0;
200165564;35703066;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;25.9;;0.9;16;0;0.00;0.00;0;0;0;0;
199574192;35701344;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;24.3;;0.0;3;0;0.00;0.00;0;0;0;0;
200163052;35701344;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;26.2;;1.2;28;0;0.00;0.00;0;0;1;0;1
200167298;35703547;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;25.6;;0.6;0;0;0.00;0.00;0;0;0;0;
199574614;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;20.6;;0.0;10;0;0.00;0.00;0;0;0;0;
200166168;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;31.1;;6.1;39;0;0.00;0.00;0;0;0;0;
200167549;35282079;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;17.18;35.1;;10.1;18;0;0.00;0.00;0;0;0;0;
216422978;35698882;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;29.4;;4.4;3;0;0.00;0.00;0;0;0;0;
200165415;35701344;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.1;;11.1;1;0;0.00;0.00;0;0;0;0;
200166709;35703066;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;19.5;;0.0;0;0;0.00;0.00;0;0;0;0;
192567070;35698510;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;49.0;;24.0;6;0;0.00;0.00;0;0;0;0;
192569052;35697852;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;16.3;;0.0;19;0;0.00;0.00;0;0;0;0;
216356152;35700300;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;10.68;35.2;;10.2;2;0;0.00;0.00;0;0;0;0;
967512688;36877167;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;11.75;40.6;;15.6;18;0;0.00;0.00;0;0;0;0;
199333840;35698292;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;34.0;;9.0;5;0;0.00;0.00;0;0;0;0;
216355370;35700551;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;33.4;;8.4;0;0;0.00;0.00;0;0;0;0;
209664814;35698968;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;18.1;;0.0;10;0;0.00;0.00;0;0;0;0;
199333249;35705358;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;21.1;;0.0;5;0;0.00;0.00;0;0;0;0;
262192043;35698419;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;35.8;;10.8;11;0;0.00;0.00;0;0;0;7;10
216429870;35697812;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;25.8;;0.8;3;0;0.00;0.00;0;0;0;0;
253955516;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;40.6;;15.6;51;0;0.00;0.00;0;0;0;0;
199334799;35705358;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;9.71;21.3;;0.0;9;0;0.00;0.00;0;0;0;5;6
199333216;35698882;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;29.0;;4.0;3;0;0.00;0.00;0;0;0;0;
192567257;35697894;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;42.3;;17.3;13;0;0.00;0.00;0;0;0;0;
199332102;35703851;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;30.8;;5.8;5;0;0.00;0.00;0;0;0;0;
199332153;35699209;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;19.1;;0.0;0;0;0.00;0.00;0;0;0;0;
199566571;35282079;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;21.2;;0.0;17;0;0.00;0.00;0;0;0;0;
209733979;35704140;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;11.72;39.3;;14.3;29;0;0.00;0.00;0;0;0;0;
199572345;35701146;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;27.9;;2.9;80;0;0.00;0.00;0;0;0;0;
199570507;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;31.0;;6.0;6;0;0.00;0.00;0;0;0;0;
216361369;35700551;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;21.3;;0.0;8;0;0.00;0.00;0;0;0;0;
199572582;35700930;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;10.68;35.2;;10.2;3;0;0.00;0.00;0;0;0;0;
216458920;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;7.30;35.7;;10.7;45;0;0.00;0.00;0;0;0;0;
192567741;35697951;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;52.8;;27.8;3;0;0.00;0.00;0;0;1;2;3
199334944;35698292;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;14.18;24.4;;0.0;5;0;0.00;0.00;0;0;0;0;
192228300;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;9.68;15.1;;0.0;5;0;0.00;0.00;0;0;0;0;
199333443;35699129;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;8.83;36.2;;11.2;10;0;0.00;0.00;0;0;0;0;
200167611;35703547;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;38.3;;13.3;0;0;0.00;0.00;0;0;0;0;
180064280;35282981;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;29.7;;4.7;21;0;0.00;0.00;0;0;0;0;
964756840;36876897;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;36.5;;11.5;0;0;0.00;0.00;0;0;0;0;
263820406;35277369;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;35.2;;10.2;30;0;0.00;0.00;0;0;0;1;18
326848488;35699129;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;23.6;;0.0;5;0;0.00;0.00;0;0;0;0;
199331183;35706311;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;13.19;22.7;;0.0;3;0;0.00;0.00;0;0;0;0;
199569574;35408957;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет — вопрос к карточке, не к ставке;12.93;34.7;;9.7;6;0;0.00;0.00;0;0;0;0;
