уровень;поставщик;артикул;название карточки;штук;внешний код;наша карточка;балл;код в МС;Название WB
B;bulat;GFEPSP7890010;Струйный картридж БУЛАТ T6365, C13T636500 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-голубой, 700 мл) pigment;20.000;1926;Картридж струйный Cactus CS-EPT636500 T6365 св.голуб.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;5;1926bt;Картридж T6365 для Epson C13T636500 светло-голубой
B;bulat;GFEPSP7890020;Струйный картридж БУЛАТ T6366, C13T636600 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-пурпурный, 700 мл) pigment;20.000;1927;Картридж струйный Cactus CS-EPT636600 T6366 св.пурп.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;5;1927bt;Картридж T6366 для Epson C13T636600 светло-пурпурный
B;bulat;GFEPSP7890040;Струйный картридж БУЛАТ T6369, C13T636900 для Epson Stylus Pro 7890, 7900, 9700, 9890, 9900, WT7900 (Светло-серый, 700 мл, pigment);20.000;1930;Картридж струйный Cactus CS-EPT636900 T6369 св.сер.пигм. (700мл) для Epson Stylus PRO 7700/7890/7900/9700 с чипом;5;1930bt;Картридж T6369 для Epson C13T636900 светло-серый
B;bulat;GFHPDJ110P010;Струйный картридж БУЛАТ HP-10Bk, C4844A для HP DesignJet 110 Plus, Чёрный (2500 стр.);50.000;0313;Картридж струйный Cactus CS-C4844 №10 черный (72мл) для HP BIJ 1000/1100/1200/2200/2300/2600/2800 с чипом;5;0313bt;Картридж 10 для HP C4844A черный
B;bulat;GFHPDJ110P020;Струйный картридж БУЛАТ C4836A для HP DesignJet 110 Plus, Голубой (2350 стр.);20.000;0314;Картридж струйный Cactus CS-C4836 №11 голубой (29мл) для HP BIJ 1000/1100/1200/2200/2300/2600/2800 с чипом;5;0314bt;Картридж 11 для HP C4836A голубой
B;bulat;GFHPDJ1600040;Струйный картридж БУЛАТ 730 (P2V69A) для HP DesignJet T1600, T1700, T2600 (Пурпурный, 300 мл);50.000;4471;IC-HP2V69A Картридж T2 №730 для HP DesignJet T1600/T1700/T2600 (300мл.) пурпурный, с чипом;5;4471bt;Картридж 730M для HP P2V69A пурпурный с чипом
B;bulat;GFHPDJ1600060;Струйный картридж БУЛАТ 730 (P2V72A) для HP DesignJet T1600, T1700, T2600 (Серый, 300 мл);50.000;4474;IC-HP2V72A Картридж T2 №730 для HP DesignJet T1600/T1700/T2600 (300мл.) серый, с чипом;5;4474bt;Картридж 730GY для HP P2V72A серый с чипом
B;bulat;GFHPDJ3100030;Струйный картридж БУЛАТ 70 (C9452A) Голубой,135 мл, pigment для HP DesignJet Z3100, Z3200;50.000;1567;IC-H9452 Картридж T2 № 70 для HP Designjet Z2100/Z3100/Z3200/Z5200/Z5400, голубой, с чипом, пигментный;5;1567bt;Картридж 70 для HP C9452A голубой
B;ramis;5223390000;Картридж для (132) HP DJ 5443/ PSC 2573 C9362HE (восстановленный) Black (5ml) Unijet;155.000;0309;Картридж струйный Cactus CS-C9362 №132 черный (7мл) для HP DJ 5443/D4163/DJ 6215/PS 2573/C3183/D5163/PSC 1513 с чипом;5;;Картридж 132 для HP C9362HE черный
B;ramis;5223440000;Картридж для (140XL) HP DJ D4263 CB336 (восстановленный) Black Unijet;245.000;0198;Картридж струйный Cactus CS-CB336 №140XL черный (29мл) для HP DJ D4263/D4363/DJ J5783/J6413/PSC C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363 с чипом;5;;Картридж 140XL для HP CB336HE черный XL ресурс
B;vtt;989999183080;Тонер-картридж NetProduct (N-106R01631) для Xerox Phaser 6000/6010/WC6015, C, 1K;394.000;0790;Тонер-картридж Hi-Black (HB-106R01631) для Xerox Phaser 6000/6010/WC6015, C, 1K;4;0790np;Картридж 106r01631 для Xerox голубой
C;blossom;BS-LQ-2080;Матричный картридж Epson LQ-2080 для LQ-2070/2080/2170/2180/2190, FX-2170/2180;12.000;2205;Риббон-картридж S015086 CS;3;;Картридж S015086 для Epson C13S015086BA черный
C;blossom;BS-X106R02610;Тонер-картридж Xerox 106R02610 для Phaser 7100 1 туба, M, 4,5K, Blossom;14.000;3145;Картридж лазерный Cactus CS-PH7100M 106R02607 пурпурный (4500стр.) для Xerox Phaser 7100/7100N/7100DN;5;3145bs;Картридж 106R02607 для Xerox пурпурный
C;blossom;BS-X106R02611;Тонер-картридж Xerox 106R02611 для Phaser 7100 1 туба, Y, 4,5K, Blossom;8.000;3146;Картридж лазерный Cactus CS-PH7100Y 106R02608 желтый (4500стр.) для Xerox Phaser 7100/7100N/7100DN;5;3146bs;Картридж 106R02608 для Xerox желтый
C;blossom;Q2613X;Q2613X  К-ж HP Smart Cartridge LJ 1300 ориг.;6.000;0022;Картридж CG-Q2613X/Q2624X/C7115X/EP-25 (№13X) для принтеров HP LaserJet 1300/1300n/1300xi/1150/1000/1000w/1005/1005w/1200/1200n/1200se/3300/3310/3320/3320n/3330/3330mfp/3380/3390/Canon i-SENSYS LBP1210 4000 копий Colouring;4;;Картридж Q2613X для HP 13X черный с чипом XL ресурс
C;bulat;AFHPE60055040;Тонер-картридж БУЛАТ s-Line W9004MC (OPC FUJI) для HP LJ E60055, E62575 (Чёрный, 50000 стр.), ref.;20.000;4172;Тонер-картридж Hi-Black (HB-W9004MC) для HP LJ E60055/E60065/E60075/E62555/E62565/E62575, 50K;6;4172sl;Картридж W9004WC для HP черный с чипом
C;bulat;AFKYEP2035010;Блок проявки БУЛАТ DV-160 для Kyocera FS-1120d (Чёрный, 100000 стр.), ref.;100.000;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;6;6859bt;Фотобарабан DK-1270 для Kyocera 30C1493020 черный с чипом
C;bulat;AFKYFS1300030;Блок проявки БУЛАТ s-Line DV-130 для Kyocera FS-1300 (Чёрный, 100000 стр.), ref.;20.000;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;6;6859sl;Фотобарабан DK-1270 для Kyocera 30C1493020 черный с чипом
C;bulat;BFKYEP6130010;Драм-юнит БУЛАТ s-Line DK-5140 для Kyocera ECOSYS P6130, P6035, P6230, P6235 (302NR93010, 302NR93011, 302NR93012, 302NR93013, 02NR93014), 100000 стр., ref.;50.000;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;5;6859sl;Фотобарабан DK-1270 для Kyocera 30C1493020 черный с чипом
C;bulat;BFKYFS8020110;Блок проявки БУЛАТ DV-895, 896 (302MY93030, 302K93031, 302K093030) для Kyocera FS-C8020 (Пурпурный), ref.;20.000;1213;TC-K895M Тонер-картридж T2 для Kyocera FS-C8020/C8025/C8520/C8525 (6000 стр.) пурпурный, с чипом;5;1213bt;Картридж TK-895M для Kyocera пурпурный
C;bulat;BFRCSPC352080;Драм-картридж БУЛАТ 408224-Y для Ricoh SP C352, C360 SP C352 (Жёлтый, 12000 стр.), ref.;50.000;3748;Тонер-картридж Smart Graphics SP 360HEY для Ricoh Aficio SP C360, Aficio SP C361 (Жёлтый, 6002 стр.), совместимый;4;3748bt;Картридж 408187 для Ricoh SP-C360HE Y желтый
C;bulat;DFCNDX4825010;Тонер-картридж БУЛАТ s-Line C-EXV62 (Чёрный, 42000 стр.)  для Canon iR DX 4825i;20.000;7078;Драм-картридж Canon iR DX 4825i C-EXV62;5;7078sl;Фотобарабан C-EXV62 для Canon черный с чипом
C;bulat;DFKYEP2040100;Блок проявки БУЛАТ DV-1150 (302RV93020) для Kyocera ECOSYS P2040, M2040, P2235 (100000 стр.);100.000;6859;Блок фотобарабана Cactus CS-DK1270 DK-1270/30C1493020 черный ч/б:100000стр. для Ecosys PA3500x/PA3500wx/PA4000x/PA4000wx/MA3500x/MA3500fx/MA3501wifx/MA4000x/MA4000fx/MA4000wifx Kyocera;5;6859bt;Фотобарабан DK-1270 для Kyocera 30C1493020 черный с чипом
C;bulat;DFRCAF1015010;Драм-картридж БУЛАТ s-Line 2015, MP2000 (B2592210, B2592200) для Ricoh Aficio 1015, MP 1500, MP 1900 (Чёрный, 60000 стр.), в сборе с барабаном и девелопером, универсальный, ref.;50.000;2892;Картридж Ricoh 1015 для Aficio 1015/1018/1113/1115/MP2000, drum unit black, 60000 стр.,Blossom;5;2892sl;Фотобарабан B0392214 DU для Ricoh черный
C;bulat;DFRCMP2554020;Драм-картридж БУЛАТ s-Line MP2554, MP3554 (D8690122, D2020124) для Ricoh Aficio MP 2554, MP 3554 (Чёрный, 50000 стр.) в сборе с барабаном и c девелопером, универсальный, ref.;50.000;2894;Тонер-картридж EasyPrint LR-MP3554 для Ricoh MP2554/3054/3554 (24000стр.);4;2894sl;Картридж 842125 для Ricoh MP 3554 черный
C;bulat;DFRX000D95020;Драм-картридж БУЛАТ s-Line 013R00668, 013R00666 для Xerox D95, совместимый;50.000;5737;Картридж для Xerox 013R00668/013R00666 D-95/110/125/136 DRUM White Box (Совместимый);3;5737sl;Фотобарабан 013R00668 для Xerox 013R666 черный
C;bulat;DFRXVL7125020;Драм-картридж БУЛАТ s-Line 013R00687 для Xerox VersaLink B7125 (Чёрный, 80000 стр.), ref.;51.000;5845;Тонер-картридж БУЛАТ s-Line 006R01819 для Xerox VersaLink B7125 (Чёрный, 31000 стр.);5;5845sl;Тонер-картридж 006R01819 для Xerox черный с чипом
C;bulat;EFCNIR1225050;Драм-картридж БУЛАТ s-Line 034K для Canon iR C1225 (Чёрный, 34000 стр.), ref.;50.000;3021;Тонер-картридж БУЛАТ s-Line 034K для Canon iR C1225 (Чёрный, 12000 стр.);4;3021sl;Картридж 034BK для Canon 9454B001 черный
C;bulat;EFKM00C258100;Блок проявки БУЛАТ s-Line DV313Y для Konica Minolta bizhub C258 (Жёлтый, 600000 cтр.), ref.;50.000;2641;TC-MTN-324Y Тонер-картридж T2 для Konica-Minolta BizHub C258/C458/C558/C658 (26000 стр.) желтый, с чипом;5;2641sl;Картридж TN-324Y для Konica A8DA250 желтый
C;bulat;EFKMBZ3351050;Драм-картридж БУЛАТ IUP-24(A95X01D) для Konica Minolta bizhub C3351 (Чёрный, 60000 стр.), ref.;20.000;5083;Картридж Konica Minolta TNP-49K для Bizhub C3351/3851, black, 13000 стр.,Blossom;4;5083bt;Тонер-картридж TNP-49K для Konica A95W150 черный
C;bulat;EFKMBZ3351070;Драм-картридж БУЛАТ IUP-24 (A95X0CD) для Konica Minolta bizhub C3351 (Пурпурный, 50000 стр.), ref.;20.000;5085;Картридж Konica Minolta TNP-49M для Bizhub C3351/3851, magenta, 12000 стр.,Blossom;4;5085bt;Тонер-картридж TNP-49M для Konica A95W350 пурпурный
C;bulat;EFKMBZ3351080;Драм-картридж БУЛАТ IUP-24(A95X06D) для Konica Minolta bizhub C3351 (Жёлтый, 50000 стр.), ref.;20.000;5084;Тонер-картридж Konica Minolta TNP-49Y для Bizhub C3351/3851, Y, 12K, Blossom;4;5084bt;Картридж TNP-49Y для Konica A95W250 желтый
C;bulat;EFRC0C2030010;Блок фотобарабана в сборе с блоком проявки БУЛАТ s-Line MP C2030, MP C2051 (D0392040 + D8093001) для Ricoh Aficio MP C2030, MP C2051 (Чёрный, 240000 стр.), универсальный, ref.;20.000;2060;Картридж лазерный Cactus CS-MP2551BK 841587 черный (10000стр.) для Ricoh type MPC2551E/C2051/С2551 с чипом;5;2060sl;Картридж MPC2551EBk для Ricoh черный
