sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,reason
1220164282,5233,"Картриджи 067H для принтеров Canon i-SENSYS LBP631CW, LBP633",Эксперимент1,9.0,32,246148,0,0,0,,продажи 90-180 дн назад
863431299,0373,Картриджи C9730A-C9733A для принтеров HP Color LaserJet 5500,от 10000 до 500 тыс,13.2,3,130768,0,45,0,,продажи 90-180 дн назад
873313626,3717,"Картридж 418481 для принтеров Ricoh IM 600, IM-550, P 801, P",Эксперимент1,9.0,13,130355,0,0,0,,продажи 90-180 дн назад
873313626,3717,"Картридж 418481 для принтеров Ricoh IM 600, IM-550, P 801, P",от 10000 до 500 тыс,13.0,13,130355,0,0,0,,продажи 90-180 дн назад
1277712435,5250,"Фотобарабан DK-320 для принтеров Kyocera FS-2020, FS 3040, F",от 10000 до 500 тыс,12.0,2,116422,0,2,0,,продажи 90-180 дн назад
1851968264,5821,"Картриджи CTL-2000 для принтеров CM2200FDW, CP2200DW",от 10000 до 500 тыс,12.0,2,89016,0,1,0,,продажи 90-180 дн назад
1851968264,5821,"Картриджи CTL-2000 для принтеров CM2200FDW, CP2200DW",Эксперимент1,8.0,2,89016,0,0,0,,продажи 90-180 дн назад
874374870,4236,Картриджи 006R01646-006R01649 для принтеров Xerox и Versant ,Эксперимент1,8.0,2,85801,0,0,0,,продажи 90-180 дн назад
874374870,4236,Картриджи 006R01646-006R01649 для принтеров Xerox и Versant ,от 10000 до 500 тыс,12.0,2,85801,0,0,0,,продажи 90-180 дн назад
873313756,3743,Фотобарабан 113R00782 DU для принтеров Xerox VersaLink C7000,Эксперимент1,8.0,12,70735,0,27,0,,продажи 90-180 дн назад
1153720555,1937,"Картридж T6945 для принтеров Epson SureColor SC-SC-T7200, SC",от 10000 до 500 тыс,13.2,3,63946,0,0,0,,продажи 90-180 дн назад
863388934,0179,"Картриджи CLT-609S для принтеров Samsung и CLP-770, CLP 770N",от 10000 до 500 тыс,12.0,2,63133,0,0,0,,продажи 90-180 дн назад
863388934,0179,"Картриджи CLT-609S для принтеров Samsung и CLP-770, CLP 770N",Эксперимент1,9.0,2,63133,0,0,0,,продажи 90-180 дн назад
863393446,0171,"Картриджи CLP-300 для принтеров Samsung CLP-300N, CLX-2160, ",Вне РК — спрос без рекламы (08.08),15.0,15,62892,0,0,0,,продажи 90-180 дн назад
904484090,3974,"Картриджи 47095705-47095708 для принтеров OKI Data C824, Dat",от 10000 до 500 тыс,12.0,3,59753,0,0,0,,продажи 90-180 дн назад
904484090,3974,"Картриджи 47095705-47095708 для принтеров OKI Data C824, Dat",Эксперимент1,8.0,3,59753,0,14,0,,продажи 90-180 дн назад
1717844452,5715,Картридж TK-7235 для принтеров Kyocera и TASKalfa MZ4000i че,Эксперимент1,8.0,8,57931,0,0,0,,продажи 90-180 дн назад
1701784017,0345,Картриджи CE410X-CE413A для принтеров HP Color LaserJet Pro ,Эксперимент1,8.0,5,55324,0,13,0,,продажи 90-180 дн назад
2518946588,6289,Картриджи PJIC1 - PJIC6 для принтеров Epson Discproducer PP-,Эксперимент1,8.0,1,53826,0,0,0,,продажи 90-180 дн назад
2929344409,6741,Фотобарабан + картридж 013R00679 DU+006R01731 для принтеров ,Пустые РК,12.0,2,52891,0,26,0,,продажи 90-180 дн назад
2524669171,6262,"Картридж 55B5H0E для принтеров Lexmark MS331dn, MS431dn, MS4",от 10000 до 500 тыс,12.0,3,51821,0,107,0,,продажи 90-180 дн назад
906874784,0713,"Картридж C8543X для принтеров HP LaserJet 9000, LJ 9040, LJ ",Эксперимент1,8.0,4,49644,0,17,0,,продажи 90-180 дн назад
1261462904,4794,Картриджи W2120A-W2123A для принтеров HP Color LaserJet M554,Эксперимент1,10.0,2,49462,0,0,0,,продажи 90-180 дн назад
1261462904,4794,Картриджи W2120A-W2123A для принтеров HP Color LaserJet M554,от 10000 до 500 тыс,13.0,2,49462,0,18,0,,продажи 90-180 дн назад
1851840003,5833,Картридж W2000X-W2003X для принтеров HP Color LJ M751,Эксперимент1,9.0,1,49313,0,74,0,,продажи 90-180 дн назад
1851840003,5833,Картридж W2000X-W2003X для принтеров HP Color LJ M751,от 10000 до 500 тыс,12.0,1,49313,0,11,0,,продажи 90-180 дн назад
1155649679,2438,"Картридж C-EXV39 для принтеров Canon iR Advance 4025i, iR Ad",Эксперимент1,8.0,10,48790,0,15,0,,продажи 90-180 дн назад
873313847,3719,"Картридж 56F5X00 для принтеров Lexmark LaserPrinter MS321, L",от 10000 до 500 тыс,12.0,3,48661,0,0,0,,продажи 90-180 дн назад
1156703707,2975,Картридж C950X2MGM для принтеров Lexmark Optra C950de пурпур,от 10000 до 500 тыс,12.0,4,48028,0,0,0,,продажи 90-180 дн назад
2924347562,6693,Фотобарабан + картридж DK-3180+TK-3060 для принтеров Kyocera,Эксперимент1,8.0,1,47452,0,6,0,,продажи 90-180 дн назад
864225563,1074,"Картридж 006R01449 для принтеров Xerox и Phaser DC 240, Phas",от 5000 до 10000,13.0,4,46473,0,14,0,,продажи 90-180 дн назад
1003270787,4824,"Фотобарабан A7U40TD для принтеров Konica Minolta Bizhub 308,",от 10000 до 500 тыс,12.0,4,45972,0,0,0,,продажи 90-180 дн назад
1153791623,2805,Фотобарабан MLT-R704 DU для принтеров Samsung MultiXpress K3,от 10000 до 500 тыс,12.0,1,45288,0,2,0,,продажи 90-180 дн назад
1692353560,5325,"Картридж DK-6115 для принтеров Kyocera и EcoSys M4125, M4132",Эксперимент1,8.0,1,44988,0,22,0,,продажи 90-180 дн назад
1999574151,6051,"Фотобарабан DK-450 для принтеров Kyocera FS-6970, FS-6970DN ",Пустые РК,12.0,1,44361,0,7,0,,продажи 90-180 дн назад
3651554092,6928,"Фотобарабан 46438002 для принтеров OKI Data C823, Data C833 ",от 10000 до 500 тыс,13.0,2,43903,0,0,0,,продажи 90-180 дн назад
3557211025,6844,"Картриджи 006R04387 - 006R04390 для принтеров Xerox C230, C2",Вне РК — спрос без рекламы (08.08),15.0,1,43634,0,0,0,,продажи 90-180 дн назад
873319580,4146del,"Картридж №963XL для принтеров HP OfficeJet Pro 9010, OfficeJ",от 2000 до 5000,12.0,14,43502,0,17,0,,продажи 90-180 дн назад
1220194240,5229,"Картридж 067H для принтеров Canon i-SENSYS LBP631CW, LBP633,",Эксперимент1,12.0,19,43465,0,0,0,,продажи 90-180 дн назад
2785191533,5889,"Картриджи GC-41 для принтеров Ricoh Aficio SG2100N, SG3100SN",Пустые РК,13.0,2,42319,0,0,0,,продажи 90-180 дн назад
874374394,4433,"Чернила №110 для принтеров Epson EcoTank M2170, EcoTank M110",Вне РК — спрос без рекламы (08.08),15.0,50,41770,0,0,0,,продажи 90-180 дн назад
1233358384,0007,Картриджи S051161-S051158 для принтеров Epson AcuLaser C2800,от 10000 до 500 тыс,12.0,1,41193,0,0,0,,продажи 90-180 дн назад
1233358384,0007,Картриджи S051161-S051158 для принтеров Epson AcuLaser C2800,Эксперимент1,8.0,1,41193,0,0,0,,продажи 90-180 дн назад
873313898,3483,Фотобарабаны 44315108DU-44315105DU для принтеров OKI Data C6,Эксперимент1,8.0,1,40306,0,16,0,,продажи 90-180 дн назад
873313898,3483,Фотобарабаны 44315108DU-44315105DU для принтеров OKI Data C6,от 10000 до 500 тыс,12.0,1,40306,0,0,0,,продажи 90-180 дн назад
1003270685,4823,"Фотобарабан A7U40RD для принтеров Konica Minolta Bizhub 308,",от 10000 до 500 тыс,13.0,2,39747,0,0,0,,продажи 90-180 дн назад
930641782,0776,"Картридж C9733A для принтеров HP и Color LaserJet 5500, LJ 5",Эксперимент1,8.0,3,39502,0,0,0,,продажи 90-180 дн назад
930631637,0775,"Картридж C9731A для принтеров HP и Color LaserJet 5500, LJ 5",Эксперимент1,8.0,3,39390,0,0,0,,продажи 90-180 дн назад
874374189,4358,Картридж TK-8365K для принтеров Kyocera и TASKalfa 2554 черн,от 2000 до 5000,12.0,4,38832,0,0,0,,продажи 90-180 дн назад
