account,sku,offer_id,name,campaign,bid_now,bid_new,ceiling,margin_pct,qty_90d,revenue_90d
oz_acc1,1261467557,4832,"Картридж CF289X для принтеров HP LaserJet M507, LJ M528 черн",Эксперимент1,9.0,27,171.7,39.6,8,33745
oz_acc1,1548617637,5442,"Картридж LC-472XL Y для принтеров Brother MFC-J2340DW, MFC J",от 2000 до 5000,22.0,51,146.4,34.7,10,33522
oz_acc1,873313801,3693,"Картриджи 728XXL для принтеров HP DesignJet T730, DJ T830",от 10000 до 500 тыс,12.0,36,773.2,26.8,1,33090
oz_acc1,873313801,3693,"Картриджи 728XXL для принтеров HP DesignJet T730, DJ T830",Эксперимент1,8.0,24,773.2,26.8,1,33090
oz_acc1,874375639,4283,Картриджи W2210A-W2213A для принтеров HP LJ Pro Color M255 d,от 10000 до 500 тыс,13.0,33,93.9,30.8,3,32139
oz_acc1,874375887,4274,"Картридж W2410A для принтеров HP Color LaserJet Pro M155a, C",от 2000 до 5000,14.0,39,112.5,36.2,11,31999
oz_acc1,3557210978,6820,"Фотобарабан 0IU40R4 для принтеров F+ Imaging M40adn, P40dn ч",от 5000 до 10000,12.0,34,95.7,33.3,4,31652
oz_acc1,3557210978,6820,"Фотобарабан 0IU40R4 для принтеров F+ Imaging M40adn, P40dn ч",Эксперимент1,8.0,24,95.7,33.3,4,31652
oz_acc1,3071403992,3623,"Картриджи 177 для принтеров HP PhotoSmart 3110, PhotoSmart 3",Эксперимент1,8.0,24,95.4,32.4,13,31524
oz_acc1,3582284204,4054,"Картридж PFI-320MBk для принтеров Canon iPF TM-200, iPF TM 2",Эксперимент1,8.0,24,308.3,29.1,3,31470
oz_acc2,1873143362,4838OO2XNCXV,"Картриджи DS 712 для принтеров HP DesignJet Studio, DJ Studi",Все,8.0,24,454.8,26.2,2,31425
oz_acc2,1873143362,4838OO2XNCXV,"Картриджи DS 712 для принтеров HP DesignJet Studio, DJ Studi",10000-500000,12.0,36,454.8,26.2,2,31425
