nm_id;advert_id;ставка_₽;новая_₽;показы;клики;расход_₽;орг_открытий;орг_позиция
292489053;35408957;11.99;7.30;55;1;10.90;4;6
568092926;35698510;11.99;7.30;4;1;10.90;3;16
850504161;35698159;11.99;7.30;14;1;10.90;1;9
326847245;35699129;11.99;7.30;83;1;10.90;3;6
199330791;35277054;11.99;7.30;8;1;10.90;2;5
200166497;35281617;11.99;7.30;38;1;10.90;1;3
326847844;35282981;11.99;7.30;20;1;10.90;4;10
199331668;35698593;11.99;7.30;38;1;10.90;2;8
200167551;35698453;11.99;7.30;84;1;10.90;1;18
181104963;35697812;11.99;7.30;9;1;10.90;1;87
181105033;35698510;11.99;7.30;9;1;10.90;2;5
216429516;35697812;11.99;7.30;7;1;10.90;1;22
181097531;35706311;11.99;7.30;48;1;10.90;3;8
209663349;35703547;11.99;7.30;80;1;10.90;2;4
209655407;35703066;11.99;7.30;67;1;10.90;1;23
250288138;35697812;11.99;7.30;28;1;10.90;3;3
199571823;35700718;11.99;7.30;32;1;10.90;2;14
900520462;35697951;11.99;7.30;26;1;10.90;1;4
199335428;35705677;11.99;7.30;33;1;10.90;1;1
181116509;35698453;11.99;7.30;10;1;10.90;2;5
216448628;35697812;11.99;7.30;87;1;10.90;2;7
850444046;35697894;11.99;7.30;44;1;10.90;4;26
199566067;35705677;11.75;7.30;4;1;10.68;1;1
181052378;35706004;11.75;7.30;17;1;10.68;1;2
200165067;35701146;11.75;7.30;4;1;10.68;1;2
264243768;35698099;11.75;7.30;45;1;10.68;2;31
967527067;36877167;11.75;7.30;25;1;10.68;2;14
200166368;35701344;11.75;7.30;19;1;10.68;1;13
511077811;35278992;11.75;7.30;22;1;10.68;4;15
563826116;36873563;11.75;7.30;94;1;10.68;2;6
199331470;35282447;11.75;7.30;17;1;10.68;1;128
199331771;35698593;11.75;7.30;7;1;10.68;1;7
200167516;35697812;11.75;7.30;17;1;10.68;2;2
216429054;35282079;11.75;7.30;17;1;10.68;1;2
292614708;35281617;11.75;7.30;38;1;10.68;1;7
264401478;35698882;11.75;7.30;6;1;10.68;1;9
199570346;35282079;11.75;7.30;8;1;10.68;3;2
474526695;35408957;11.75;7.30;17;1;10.68;1;2
209664310;35703066;11.75;7.30;64;1;10.68;1;21
209664330;35698099;11.75;7.30;59;1;10.68;7;14
209664600;35703066;11.75;7.30;26;1;10.68;1;5
261184197;35697894;11.75;7.30;41;1;10.68;2;3
181116638;35706311;11.75;7.30;8;1;10.68;2;2
200163236;35699209;11.75;7.30;36;1;10.68;6;4
200166259;35282079;11.72;7.30;6;1;10.65;1;7
192228377;35698510;11.72;7.30;5;1;10.65;3;1
181116158;35698510;12.89;7.30;14;1;10.65;5;7
199565775;35705677;11.75;7.30;21;1;9.71;2;13
216458008;35698968;11.75;7.30;25;1;9.71;2;5
199574679;35282079;11.75;7.30;19;1;9.71;1;27
199566606;35282447;11.75;7.30;42;1;9.71;1;5
192227971;35277054;11.75;7.30;6;1;9.71;1;2
200166191;35697812;11.75;7.30;34;1;9.71;1;4
200166204;35701146;11.75;7.30;10;1;9.71;1;1
216460101;35698927;11.75;7.30;23;1;9.71;1;13
903687693;35697894;10.68;7.30;14;1;9.71;2;10
475352745;35282981;11.75;7.30;19;1;9.71;1;14
209664427;35698453;11.75;7.30;19;1;9.71;2;15
199571986;35282981;11.75;7.30;6;1;9.71;1;2
192568590;35698453;11.75;7.30;10;1;9.71;3;3
397270373;35278992;11.75;7.30;22;1;9.71;1;15
199335369;35282079;11.75;7.30;34;1;9.71;1;4
683621878;35698099;11.75;7.30;45;1;9.71;1;12
248074992;35282447;11.99;7.30;41;1;9.70;3;12
216352765;35408957;11.99;7.30;30;1;9.69;3;26
199332171;35701146;8.83;7.30;3;1;8.83;1;2
886747618;35697951;9.71;7.30;12;1;8.83;1;12
209663681;35703851;8.83;7.30;4;1;8.83;1;1
292510536;35698099;10.68;7.30;57;1;8.83;3;50
261996711;35278992;11.99;7.30;33;1;8.80;2;6
216457748;35282079;11.99;7.30;16;1;8.80;2;14
181097496;35277054;11.99;7.30;17;1;8.80;1;2
199566604;35705677;11.99;7.30;48;1;8.00;1;4
209714704;35703851;11.99;7.30;5;1;8.00;2;2
964378981;36879110;11.99;7.30;2;1;7.30;1;2
964575881;36877433;11.99;7.30;10;1;7.30;1;51
199566550;35277369;11.99;7.30;9;1;7.30;3;2
200164937;35701344;11.99;7.30;10;1;7.30;1;67
997762735;36873966;11.99;7.30;1;1;7.30;1;4
967477236;36874215;11.99;7.30;2;1;7.30;1;60
447219910;35700057;11.99;7.30;8;1;7.30;1;10
209758860;35704644;11.99;7.30;6;1;7.30;1;6
967519106;36877686;11.99;7.30;7;1;7.30;1;2
435735562;35282079;11.99;7.30;9;1;7.30;1;10
964439302;36878508;11.99;7.30;22;1;7.30;1;6
216460611;35697812;11.99;7.30;72;1;7.30;2;4
967421303;36873660;11.99;7.30;12;1;7.30;1;6
216460680;35697812;11.99;7.30;59;1;7.30;1;7
850447922;35282079;11.99;7.30;3;1;7.30;2;4
967470734;36874254;11.99;7.30;3;1;7.30;1;33
964489174;36878081;11.99;7.30;6;1;7.30;1;14
181104903;35700300;11.99;7.30;33;1;7.30;1;8
181105075;35697894;11.99;7.30;151;1;7.30;1;2
1002525330;36873922;11.99;7.30;7;1;7.30;1;1
199570218;39087266;11.99;7.30;32;1;7.30;6;5
199332746;35706004;11.99;7.30;7;1;7.30;2;12
181097424;35700300;11.99;7.30;26;1;7.30;3;7
1003484318;36873596;11.99;7.30;6;1;7.30;1;317
209663329;35699209;11.99;7.30;17;1;7.30;4;3
209712716;35703851;11.99;7.30;7;1;7.30;1;10
261175061;35698223;11.99;7.30;10;1;7.30;2;5
192567280;35698453;11.99;7.30;14;1;7.30;1;15
209664101;35698453;11.99;7.30;12;1;7.30;3;4
192567418;35698510;11.99;7.30;2;1;7.30;5;13
209729894;35698292;11.99;7.30;12;1;7.30;0;
209664859;35703547;11.99;7.30;70;1;7.30;1;3
964443104;36878508;11.99;7.30;5;1;7.30;1;2
199572586;36874914;11.99;7.30;20;1;7.30;2;2
262192274;36873563;11.99;7.30;39;1;7.30;1;11
216432156;36879576;11.99;7.30;4;1;7.30;1;2
238898706;35698099;11.99;7.30;65;1;4.90;1;23
292510781;35698099;11.99;7.30;51;1;4.47;3;57
