# oz_acc1: неделя 31.08–06.09 против 24.08–30.08; органика — неделя 24.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
red,down10,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",от 10000 до 500 тыс,96.66,87.0,-9.7,74.0,-22.7,14.9,14890.0,0.0502,факт,7867,230,21171.63,9.0,131054.0,92.1,2.92,16.2,188,18239.93,9.0,97.0,9.0000000000000000,9.0000000000000000,0.0,2194,1489,57652,8481,3,11,15,17,251864.0000,9,150,478,42201.70,24.0,0,0,"9 заказ(ов), но ДРР 16.2 % выше предела 15.0 % (расход 21172 ₽ на выручку 131054 ₽) — реклама ест"
red,down10,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",Эксперимент1,33.83,30.4,-3.4,28.5,-5.3,14.9,14890.0,0.0193,факт,12047,213,7051.23,1.0,14865.0,33.1,1.77,47.4,168,5534.87,1.0,32.9,9.0000000000000000,9.0000000000000000,0.0,2194,1489,57652,8481,3,11,15,17,251864.0000,9,150,569,17550.17,11.0,0,0,"1 заказ(ов), но ДРР 47.4 % выше предела 15.0 % (расход 7051 ₽ на выручку 14865 ₽) — реклама ест"
red,down10,1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",от 10000 до 500 тыс,106.29,95.7,-10.6,192.4,86.1,23.6,23506.0,0.044,факт,3322,61,6047.21,2.0,37721.0,99.1,1.84,16.0,35,3565.42,1.0,101.9,16.0000000000000000,19.0000000000000000,-3.0,1115,953,0,32687,5,4,15,2,37721.0000,0,34,159,11772.05,7.0,0,0,"2 заказ(ов), но ДРР 16.0 % выше предела 15.0 % (расход 6047 ₽ на выручку 37721 ₽) — реклама ест"
red,down10,863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",Эксперимент1,60.0,54.0,-6.0,,,,,,справочная,4331,94,5489.46,4.0,33619.0,58.4,2.17,16.3,28,1495.98,0.0,53.4,11.0000000000000000,7.0000000000000000,4.0,738,49,0,16532,3,6,15,8,67313.0000,0,48,303,15794.94,11.0,0,0,"4 заказ(ов), но ДРР 16.3 % выше предела 15.0 % (расход 5489 ₽ на выручку 33619 ₽) — реклама ест"
red,down10,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",от 5000 до 10000,67.62,60.9,-6.7,56.3,-11.3,18.5,8337.0,0.05,факт,1754,52,3484.77,1.0,9537.0,67.0,2.96,36.5,44,2406.13,3.0,54.7,20.0000000000000000,19.0000000000000000,1.0,738,424,9311,92016,3,6,15,1,9537.0000,3,43,140,7148.14,7.0,0,0,"1 заказ(ов), но ДРР 36.5 % выше предела 15.0 % (расход 3485 ₽ на выручку 9537 ₽) — реклама ест"
red,down10,1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",Эксперимент1,30.0,27.0,-3.0,27.0,-3.0,24.6,1724.0,0.0798,факт,3940,69,2097.99,3.0,5553.0,30.4,1.75,37.8,75,2260.21,7.0,30.1,22.0000000000000000,25.0000000000000000,-3.0,542,35,4443,10153,5,2,15,3,5553.0000,9,150,351,10321.02,28.0,0,0,"3 заказ(ов), но ДРР 37.8 % выше предела 15.0 % (расход 2098 ₽ на выручку 5553 ₽) — реклама ест"
bordeaux,floor,5606438584,02516,Картридж для Brother DCP-8070D,Бонусы на продвижение товаров-новинок FBS,0.0,0.0,0.0,,,,,,справочная,1332,7,1109.02,0.0,0.0,158.4,0.53,,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,7,1109.02,0.0,0,0,"7 кликов, 1109 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 1109 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,930623456,1269,"Картриджи T0791-T0796 для принтеров Epson Stylus Photo 1400, Stylus Photo 1500W набор cmyk lclm",от 2000 до 5000,29.0,6.0,-23.0,,,,,,справочная,700,27,759.34,0.0,0.0,28.1,3.86,,13,348.73,1.0,26.8,31.0000000000000000,33.0000000000000000,-2.0,351,328,1288,22334,4,2,15,0,0,1,15,59,1469.16,3.0,0,0,"27 кликов, 759 ₽ и ни одного заказа за неделю (за всё время 3 заказ(ов) при 1469 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ-CP5225",от 10000 до 500 тыс,24.16,6.0,-18.2,217.6,193.4,20.4,37673.0,0.0375,факт,610,29,680.12,0.0,0.0,23.5,4.75,,17,317.53,1.0,18.7,26.0000000000000000,20.0000000000000000,6.0,305,60,18158,2359,6,5,15,3,104322.0000,1,24,80,1684.94,3.0,0,0,"29 кликов, 680 ₽ и ни одного заказа за неделю (за всё время 3 заказ(ов) при 1685 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,3681638376,4147,"Картриджи №963XL для принтеров HP OfficeJet Pro 9010, OfficeJet Pro 9013",Эксперимент1,24.0,6.0,-18.0,20.6,-3.4,11.9,14956.0,0.02,справочная,1717,29,673.95,0.0,0.0,23.2,1.69,,6,163.41,0.0,27.2,47.0000000000000000,29.0000000000000000,18.0,199,154,0,5290,4,3,15,0,0,0,13,56,962.93,1.0,0,0,"29 кликов, 674 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 963 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother hl-l8360cdw, brother hl, mfc-l8690cdw",Эксперимент1,14.5,6.0,-8.5,,,,,,справочная,2524,39,515.17,0.0,0.0,13.2,1.55,,0,0.0,0.0,,40.0000000000000000,14.0000000000000000,26.0,271,238,6391,41131,2,4,15,1,12665.0000,1,24,46,583.72,1.0,0,0,"39 кликов, 515 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 584 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,5623523293,7167,"Картридж CF226XXL для принтеров HP LaserJet Pro M402d, LJ Pro M402dn черный",Бонусы на продвижение товаров-новинок FBS,0.0,0.0,0.0,,,,,,справочная,376,3,370.54,0.0,0.0,123.5,0.8,,0,0,0,,67.0000000000000000,,,2,2,0,5428,67,0,2,0,0,0,0,3,370.54,0.0,0,0,"3 кликов, 371 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 371 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother hl-l8360cdw, brother hl, mfc-l8690cdw",от 5000 до 10000,33.83,6.0,-27.8,,,,,,справочная,196,10,354.45,0.0,0.0,35.4,5.1,,9,236.43,1.0,26.3,40.0000000000000000,14.0000000000000000,26.0,271,238,6391,41131,2,4,15,1,12665.0000,1,24,33,900.66,5.0,0,0,"10 кликов, 354 ₽ и ни одного заказа за неделю (за всё время 5 заказ(ов) при 901 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",Эксперимент1,14.0,6.0,-8.0,38.2,24.2,17.9,9871.0,0.03,справочная,1514,22,307.15,0.0,0.0,14.0,1.45,,7,99.37,0.0,14.2,18.0000000000000000,29.0000000000000000,-11.0,484,327,9409,13787,4,8,15,10,99642.0000,4,54,73,1127.75,0.0,0,0,"22 кликов, 307 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 1128 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,866442961,1444,"Картриджи CLI-471XL для принтеров Canon Pixma MG5740, Pixma MG6840",Эксперимент1,12.89,6.0,-6.9,,,,,,справочная,874,22,263.49,0.0,0.0,12.0,2.52,,13,150.88,0.0,11.6,71.0000000000000000,40.0000000000000000,31.0,184,-167,0,16644,15,0,15,0,0,0,13,98,1081.31,7.0,0,0,"22 кликов, 263 ₽ и ни одного заказа за неделю (за всё время 7 заказ(ов) при 1081 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, HL-3140cw, HL 3150, HL3170CDW, MFC-9140, MFC-9330",Эксперимент1,22.54,6.0,-16.5,,,,,,справочная,563,11,256.12,0.0,0.0,23.3,1.95,,1,33.59,0.0,33.6,31.0000000000000000,22.0000000000000000,9.0,196,-59,0,17848,9,1,15,3,23141.0000,0,47,46,872.43,2.0,0,0,"11 кликов, 256 ₽ и ни одного заказа за неделю (за всё время 2 заказ(ов) при 872 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,653303144,13243,"Картридж для Ricoh Aficio SP111SU, SP111",от 2000 до 5000,12.0,6.0,-6.0,,,,,,справочная,267,18,199.77,0.0,0.0,11.1,6.74,,6,27.45,0.0,4.6,36.0000000000000000,25.0000000000000000,11.0,129,73,0,10204,5,4,12,0,0,0,5,37,354.30,1.0,0,0,"18 кликов, 200 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 354 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,930623456,1269,"Картриджи T0791-T0796 для принтеров Epson Stylus Photo 1400, Stylus Photo 1500W набор cmyk lclm",Эксперимент1,17.71,6.0,-11.7,,,,,,справочная,476,11,194.04,0.0,0.0,17.6,2.31,,1,17.7,0.0,17.7,31.0000000000000000,33.0000000000000000,-2.0,351,328,1288,22334,4,2,15,0,0,1,15,22,378.67,0.0,0,0,"11 кликов, 194 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 379 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,651929068,53354,Картридж для Canon i-SENSYS MF4018,Эксперимент1,16.1,6.0,-10.1,,,,,,справочная,619,10,190.51,0.0,0.0,19.1,1.62,,8,94.67,0.0,11.8,39.0000000000000000,40.0000000000000000,-1.0,234,123,0,6636,2,2,15,0,0,0,16,24,389.60,0.0,0,1,"10 кликов, 191 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 390 ₽). Ставка в пол, показы оставляем"
