nm_id;advert_id;цвет;ставка_₽;новая_₽;маржа_live_%;ДРР_факт_%;ДРР_допустимый_%;показы;клики;расход_₽;выручка_₽;рекл_заказы;орг_заказы;орг_корзина;орг_открытий;орг_позиция
200166118;35282981;🟤 бордовый;12.93;7.30;28.0;;3.0;56;1;11.75;0.00;0;0;0;1;6
181115937;35698968;🟤 бордовый;12.93;7.30;39.8;;14.8;42;1;11.75;0.00;0;0;0;2;24
181104988;35698419;🟤 бордовый;12.93;7.30;38.6;;13.6;29;1;11.75;0.00;0;0;0;1;107
199574602;35698223;🟤 бордовый;12.93;7.30;24.7;;0.0;40;1;11.75;0.00;0;0;0;2;3
192228186;35706004;🟤 бордовый;12.93;7.30;17.3;;0.0;23;1;11.75;0.00;0;0;0;2;2
216356781;35700718;🟤 бордовый;12.93;7.30;35.7;;10.7;10;1;11.75;0.00;0;0;0;1;9
888371013;35697951;🟤 бордовый;12.93;7.30;25.7;;0.7;24;1;11.75;0.00;0;0;0;1;10
1001406882;36873966;🟤 бордовый;12.93;7.30;30.7;;5.7;27;1;11.75;0.00;0;0;0;1;2
860502769;35698159;🟤 бордовый;12.93;7.30;19.6;;0.0;7;1;11.75;0.00;0;0;0;2;8
192228643;35706311;🟤 бордовый;12.93;7.30;28.2;;3.2;3;1;11.75;0.00;0;0;0;1;19
262192152;35699064;🟤 бордовый;12.93;7.30;37.0;;12.0;9;1;11.75;0.00;0;0;0;1;4
199570713;35282079;🟤 бордовый;12.93;7.30;23.4;;0.0;3;1;11.75;0.00;0;0;0;1;20
215239840;35277054;🟤 бордовый;12.93;7.30;25.7;;0.7;52;1;11.75;0.00;0;0;0;1;17
547250791;35698419;🟤 бордовый;12.93;7.30;31.8;;6.8;85;1;11.75;0.00;0;0;0;2;3
192567449;35698510;🟤 бордовый;12.93;7.30;39.4;;14.4;23;1;11.75;0.00;0;0;0;1;1
192567564;35698510;🟤 бордовый;12.93;7.30;51.0;;26.0;17;1;11.75;0.00;0;0;0;2;5
262192073;35699026;🟤 бордовый;12.93;7.30;22.6;;0.0;41;1;11.75;0.00;0;0;0;1;2
292510369;35698099;🟤 бордовый;11.75;7.30;43.8;;18.8;121;1;11.75;0.00;0;0;0;1;38
256206885;35278992;🟤 бордовый;12.93;7.30;26.0;;1.0;80;1;11.75;0.00;0;0;0;4;17
216422370;35278992;🟤 бордовый;11.75;7.30;11.1;;0.0;58;1;11.75;0.00;0;0;0;1;15
209663808;35699064;🟤 бордовый;12.93;7.30;41.5;;16.5;9;1;11.75;0.00;0;0;0;2;23
180939063;35698011;🟤 бордовый;12.93;7.30;34.8;;9.8;23;1;11.75;0.00;0;0;0;1;7
257352462;35698011;🟤 бордовый;12.93;7.30;25.6;;0.6;5;1;11.75;0.00;0;0;0;1;6
199565916;35706004;🟤 бордовый;12.93;7.30;31.4;;6.4;7;1;11.75;0.00;0;0;0;2;3
709699258;35700392;🟤 бордовый;13.19;7.30;22.5;;0.0;8;1;10.90;0.00;0;0;0;2;22
1002554127;36873922;🔴 красный (ДРР выше своего порога);13.19;11.87;21.9;0.5;0.0;17;1;10.90;2121.00;1;1;0;2;4
546994938;36879647;🔴 красный (маржа < пола 15%);10.68;9.61;5.9;;0.0;69;1;10.68;0.00;0;0;1;2;59
199565568;35408957;🟤 бордовый;12.93;7.30;24.4;;0.0;45;1;10.68;0.00;0;0;0;5;17
964915510;36879576;🔴 красный (маржа < пола 15%);10.68;9.61;14.6;;0.0;50;1;10.68;0.00;0;0;1;1;2
547722702;35697852;🟤 бордовый;10.68;7.30;18.0;;0.0;23;1;9.71;0.00;0;0;0;1;6
216352768;39087266;🔴 красный (ДРР выше своего порога);13.19;11.87;22.6;0.4;0.0;57;1;7.30;1632.00;1;1;1;2;3
