# oz_acc2: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-18 — трафика нет и не было
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
1822591856,0009IQETQTS1,"Картриджи DS TN-320 для принтеров Brother HL-4150CDN, HL 4570 cdw, MFC-9460CDN, MFC956",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822597002,0010FL0JG7WS,"Картридж DS CC388A для принтеров HP LaserJet 1008, LJ P1007 черный",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2506.0,,,,,0.0281,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822597194,0017QHXCEIZE,"Картриджи DS 18C0034-18C0035 для принтеров Lexmark P4350, P6250, P915, X3330, X3350, X5250, X5270, X7170 X8350 Z812 Z815 Z845",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822597366,0023U3D7ECAT,"Картриджи DS 018C1520E для принтеров Lexmark X2500, X2530, X5070, X5075, X5490, X5495, Z1300, Z1310 Z845",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822597519,0039NJOV6T4W,"Картридж DS CLP-K300A для принтеров Samsung CLP-300N, CLX-2160, CLX 3160FN черный",True,12.0,2,Все / от 0 до 3000,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,3502.0,,29.02,18.4,1016.17,0.0281,23.6,13.2,1.2,no_traffic,,"в рекламе, показов нет; спроса по фразам тоже нет"
1822597716,0058B422HQ8R,"Картриджи DS PGI-9 для принтеров Canon Pixma iX7000, Pro9000 Mark II, Pixma PRO9500",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,24554.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822597900,0059Q5G65A2Z,"Картриджи DS C711 для принтеров Canon i-SENSYS LBP5300, LBP5360, MF8450, MF9130, MF9170",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,36508.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822886465,0073Y1TI366V,Картриджи DS №822A для принтеров HP Color LaserJet 9500,False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822887413,0075ZX360XE4,"Картриджи DS BCI-3 для принтеров Canon BJC-i560, BJ i865, IP3000, IP4000, IP5000, Pixma MP750, PixmaMP760",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2869.0,,,,,0.0281,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
1822887804,0066A3K07Z4M,"Картриджи DS T1631-T1634 для принтеров Epson WF-2630, WF 2650, WF2660, WF-2010W, WF2510WF, WF 2520NF",False,,0,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15000.0,,,,,0.031,,,,no_traffic,,вне рекламы; спроса по фразам тоже нет
