nm_id;вендор_код;товар;причина;остаток_МС;поставщик;заказов_с_01.06;выручка_с_01.06_₽;заказов_август;выручка_август_₽;последний_месяц
817143249;6844SAWTAY17;Картриджи DS 006R04387 - 006R04390 для Xerox C230, C235;нет у поставщика;0;;1;44916;0;0;2026-07-01
501629624;6517GUVF9IBQ;Картридж DS 006R04387 для Xerox C230, C235 черный;нет у поставщика;0;;2;21347;0;0;2026-07-01
323349519;4692X5BV7567;Картриджи DS №963 для HP OfficeJet Pro 9023;нет у поставщика;0;;3;20806;0;0;2026-06-01
465012356;5505NG7VFANDdel;Блок проявки DS DV-315Y для Konica Minolta C250i желтый;остаток есть, купить нельзя;23;"ИП Капшук Наталья Сергеевна, ООО ""ОДИССЕЙ"" WB";1;19520;0;0;2026-07-01
870469414;68604G6DL42S;Тонер-картридж для Brother DCP-L2680DW 3000 страниц;остаток есть, купить нельзя;203;"ООО ""КПД""(ВТТ)";2;14466;0;0;2026-06-01
868910596;;;нет у поставщика;0;;1;10383;1;10383;2026-08-01
313183860;;;нет у поставщика;0;;2;10130;0;0;2026-06-01
323341109;1439BCT0LA0J;Картриджи DS TK-560 для Kyocera P6030cdn, FS-C5300DN;нет у поставщика;0;;1;9024;0;0;2026-07-01
709634881;6802S7ZXRP4Y;Картриджи DS TK-8110 Азия для Kyocera M8124cidn, M8130cidn;нет у поставщика;0;;1;8824;0;0;2026-06-01
881893220;13675AMKMI4Q;Картридж для Xerox Phaser 3020 1500 страниц;остаток есть, купить нельзя;18567;ИП Капшук Наталья Сергеевна, ИП Яхин Рустам Ильфирович (Спри;3;8569;1;2460;2026-08-01
313193023;5233FK84UYDU;Картриджи DS 067H для Canon MF657Cdw, LBP631CW;нет у поставщика;0;;2;8528;0;0;2026-06-01
832161927;3468Y9LDMHMU;Картриджи DS W2410A-W2413A для HP Color LaserJet Pro M155nw;нет у поставщика;0;;1;8007;1;8007;2026-08-01
913056365;620417GAPFPZ;Картридж для HP Officejet 200 Mobile 600 страниц;нет у поставщика;0;;1;7839;0;0;2026-06-01
559712174;6238V27TYS2S;Картриджи DS PGI-425/CLI-426 для Canon Pixma MG8140;остаток есть, купить нельзя;4;ТОНЕРОПТТОРГ (Изипринт) T2;4;7288;1;1809;2026-08-01
323359842;4724SJY84UQE;Картриджи DS MPC2503;архив в МС;0;;1;5524;0;0;2026-06-01
871067592;53395FPDPNX6;Картридж для HP LaserJet P2015D 3500 страниц;остаток есть, купить нельзя;363;"ООО ""КОЛОРТЕК РУС"", ООО ""ОДИССЕЙ"" WB, ООО ""ПОЗИТИВ"", ТОНЕРОП";2;5188;0;0;2026-07-01
867136775;64055A6ADV35;Картридж для Konica Minolta Bizhub 225i 24000 страниц;нет у поставщика;0;;2;4913;0;0;2026-06-01
323177848;4992KSGVMMNM;Картридж DS T7606 для Epson SureColor P600 светло-пурпурный;остаток есть, купить нельзя;4;"ООО ""КОМПАНИЯ БЛОССОМ""";1;4745;0;0;2026-07-01
878740648;4689VCI2HXEH;Картридж DS №963 для HP OfficeJet Pro 9013 голубой;нет у поставщика;0;;1;3848;1;3848;2026-08-01
397557201;3258GVLN2LEE;Тонер DS TN-420X для M6700D, M6700DW, M6800FDW черный;остаток есть, купить нельзя;105;"ООО ""ПОЗИТИВ""";4;3845;0;0;2026-06-01
323178100;4995ON4PU5U6;Картридж DS T7609 для Epson SureColor P600 светло-серый;остаток есть, купить нельзя;4;"ООО ""КОМПАНИЯ БЛОССОМ""";1;3229;0;0;2026-06-01
886307454;35713XBKW74A;Картридж для HP LaserJet M442dn 13700 страниц;нет у поставщика;0;;1;3220;0;0;2026-06-01
323090928;0067Q2567YUX;Картриджи DS T961-T969 для Epson Stylus Photo R2880;нет у поставщика;0;;1;3204;0;0;2026-06-01
496139892;6405T89LLP3W;Картридж DS TN-116/TN-118 (2шт.) для Konica Minolta черный;нет у поставщика;0;;2;3200;0;0;2026-06-01
886543121;;;нет у поставщика;0;;1;2962;0;0;2026-06-01
886304638;35711JGNE5WN;Картридж для HP LaserJet M438n 13700 страниц;нет у поставщика;0;;1;2945;0;0;2026-07-01
865237915;52482LCSN45H;Картридж для Kyocera EcoSys M2540 15000 страниц;остаток есть, купить нельзя;291;"ИП Капшук Наталья Сергеевна, ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ ";1;2872;0;0;2026-06-01
323119266;1615B584VC8F;Картридж DS TN-3230 для Brother DCP-8070, DCP-8085DN черный;остаток есть, купить нельзя;18;"ООО ""КОМПАНИЯ ФЕРРЕТ"", ООО ""КПД""(ВТТ)";1;2866;0;0;2026-07-01
865521481;45321LF6398A;Картридж для Canon imageRUNNER 2425 10200 страниц;остаток есть, купить нельзя;684;"ИП Капшук Наталья Сергеевна, ООО ""КОМПАНИЯ РМ"", ООО ""КОМПАНИ";1;2705;0;0;2026-07-01
313188559;5530WQ4NN7SN;Картридж DS W1510X для HP LJ Pro 4003 dn черный;остаток есть, купить нельзя;1563;"ООО ""КВК ТРЕЙД"", ООО ""КОЛОРТЕК РУС"", ООО ""КОМПАНИЯ ФЕРРЕТ"", ";1;2615;0;0;2026-07-01
380712741;5899CQOQEIC8;Картриджи DS №132-134 для HP PhotoSmart 8049;нет у поставщика;0;;1;2612;0;0;2026-06-01
871065134;00122R3K4RUH;Картридж для HP LaserJet 3390 3500 страниц;остаток есть, купить нельзя;2183;"ИП Капшук Наталья Сергеевна, ООО ""КВК ТРЕЙД"", ООО ""КОЛОРТЕК ";1;2588;0;0;2026-06-01
323296907;2121DKU8KKQ3;Картридж DS T-1800E для Toshiba e-Studio 18 черный;нет у поставщика;0;;1;2452;0;0;2026-06-01
881930353;13775IEF6L1L;Картридж для HP LaserJet Pro M132a 1400 страниц;остаток есть, купить нельзя;6097;"ИП Капшук Наталья Сергеевна, ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ ";1;1835;0;0;2026-06-01
323330980;4563GOE7R375;Картридж DS LK4TBN для Epson LW 1000P, LW 300, LW 400;нет у поставщика;0;;1;1650;1;1650;2026-08-01
313188679;1308NWO8GOWH;Картридж DS 50F5X00 для Lexmark MS410d, MS410dn черный;остаток есть, купить нельзя;273;"ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""КОМПАНИЯ РМ"", ";1;1526;0;0;2026-06-01
