nm_id;vendor_code;price_2508;price_0709;margin_2508;margin_0709;discount_pct;net_per_unit;qty_sep;qty_aug;revenue_sep;loss_sep;snaps;neg_snaps;in_ads;cpc
323362444;5508GXDRQY7R;4681.0;2353.0;-16.73;-124.28;87.0;-3472.86;1;0;5910.0;-3472.86;14;9;0;
488744138;6382YVCHBZ8W;2423.0;1556.0;-3.54;-67.09;82.0;-1211.08;2;0;4683.0;-2422.16;14;9;0;
323242748;1304L4DF4L21;2240.0;1602.0;2.13;-119.35;84.0;-2218.39;1;0;2616.0;-2218.39;14;2;0;
313185072;0345YZSBFN57;8120.0;3583.0;23.38;-25.14;67.0;-1069.96;2;0;17174.0;-2139.92;14;2;0;
869293673;57541PO2V8LY;4837.0;2482.0;11.27;-44.29;79.0;-1305.49;1;0;2948.0;-1305.49;14;2;0;
324994725;5596LC17ALWG;1628.0;931.0;-2.2;-47.06;78.0;-497.05;1;0;1039.0;-497.05;14;11;0;
874752486;02322YMBN3YY;736.0;473.0;17.66;-11.88;0.0;-63.79;3;0;1645.0;-191.37;14;13;0;
313184483;0245RPEJ6OCL;881.0;883.0;-3.03;-9.32;60.0;-93.35;2;2;2204.0;-186.7;14;14;0;
313184721;1293UHQ7UFU1;951.0;670.0;-9.73;-23.71;73.0;-180.26;1;0;1190.0;-180.26;14;10;1;10.9
313184465;0825TVETLVA0;1154.0;656.0;18.07;-22.31;73.0;-166.0;1;0;721.0;-166.0;14;1;0;
313183771;0035SE8J970L;1430.0;1147.0;4.98;-9.45;70.0;-122.99;1;0;2048.0;-122.99;14;1;1;7.3
883514392;23651PCB013G;878.0;896.0;-7.6;-11.8;39.0;-119.93;1;0;1677.0;-119.93;14;2;0;
880571786;11442KMPTQQA;1091.0;1065.0;0.05;-9.33;63.0;-112.74;1;0;1618.0;-112.74;14;2;0;
874764217;02329L9P5XEG;972.0;473.0;27.7;-11.88;0.0;-63.79;1;0;1216.0;-63.79;14;1;0;
862504599;11573DHSGD79;2652.0;1323.0;30.43;-3.68;55.0;-56.54;1;3;2072.0;-56.54;14;1;0;
885302865;32323E8VYE8W;1067.0;1319.0;-7.98;-2.63;61.0;-39.28;1;0;1335.0;-39.28;14;11;0;
485560295;6327A7RAK533;17805.0;9034.0;-29.22;-129.74;86.0;-14615.51;0;0;0;0.0;14;10;0;
497169988;6440ZFVKNOWK;16714.0;8442.0;-29.12;-131.18;87.0;-13808.81;0;0;0;0.0;14;10;0;
915888812;63271XXIB1W1;20260.0;10325.0;-18.53;-106.21;84.0;-13674.09;0;0;0;0.0;14;10;0;
869228663;49419V30M4PD;19901.0;9897.0;-18.73;-109.73;84.0;-13540.99;0;0;0;0.0;14;10;0;
869216322;49411GZGUY3F;19901.0;9897.0;-18.73;-109.73;84.0;-13540.99;0;0;0;0.0;14;10;0;
869217568;49412WW2DOLX;19901.0;9897.0;-18.73;-109.73;84.0;-13540.99;0;0;0;0.0;14;10;0;
