тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;1914;502051215;мать;8x10x5;0.4;31.8x5.8x14.6;2.69;6.73;2.29;веб-оригинал;Картридж T5964 для Epson Stylus Pro 9700 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;1914DFLFB6MG;323189588;ребёнок;8x10x5;0.4;31.8x5.8x14.6;2.69;6.73;2.29;наследование от 1914 (веб-оригинал);Картридж DS T5964 для Epson Stylus Pro 9700 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;5315;257807868;мать;7x7x22;1.08;34x10x20;6.8;6.31;5.72;rapid(согл.3);Заправочный комплект TL-420X для M6700D, M6800FDW черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;5315RNUNF0RR;323270732;ребёнок;7x7x22;1.08;34x10x20;6.8;6.31;5.72;rapid(согл.3);Заправочный комплект DS TL-420X для M6700D, M6800FDW черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7116;1286378782;мать;6x6x14;0.5;31x10x10;3.1;6.15;2.6;изи(согл.3);Тонер CB435A/CB436A/CE278A/CE285A/CF283A/CF244A для Canon
A1. ядро волны 1: подтверждён ≥2 источниками;наш-озон;Цифровой квадрат;5539;254501813;мать;8x10x15;1.2;38.5x11.4x14.8;6.5;5.41;5.3;наш-озон;Картридж PFI-300PBK для Canon iPF PRO-300 фото-черный
A1. ядро волны 1: подтверждён ≥2 источниками;наш-озон;Дисквэр;5539OQ20E1ZU;323362884;ребёнок;8x10x15;1.2;38.5x11.4x14.8;6.5;5.41;5.3;наследование от 5539 (наш-озон);Картридж DS PFI-300PBK для Canon iPF PRO-300 фото-черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7098;1283566948;мать;7x7x23;1.13;33.5x9.1x19.7;6.01;5.33;4.88;sakura(согл.2);Тонер CF226X для HP LJ Pro M402d, LJ Pro M402dn черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7098EDHR4906;1283567085;ребёнок;7x7x23;1.13;33.5x9.1x19.7;6.01;5.33;4.88;sakura(согл.2);Тонер DS CF226X для HP LJ Pro M402d, LJ Pro M402dn черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7101;1283844254;мать;7x7x12;0.59;31.5x9.8x9.5;2.93;4.99;2.34;cactus(согл.2);Тонер CF283X для HP LJ Pro M201, LJ Pro M225 MFP черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7101KZMZFIC5;1283844463;ребёнок;7x7x12;0.59;31.5x9.8x9.5;2.93;4.99;2.34;cactus(согл.2);Тонер DS CF283X для HP LJ Pro M201, LJ Pro M225 MFP черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7110;1283868363;мать;7x7x19;0.93;11x32x11;3.87;4.16;2.94;solutionsprint(согл.3);Тонер W1106A для HP Laser 107A, Laser 107R черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7093;1283560463;мать;7x7x20;0.98;32x11x11;3.87;3.95;2.89;cactus(согл.2);Тонер 106R02773 для Xerox Phaser 3020, Phaser 3020BI черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7093KL9YGO20;1283560557;ребёнок;7x7x20;0.98;32x11x11;3.87;3.95;2.89;cactus(согл.2);Тонер DS 106R02773 для Xerox Phaser 3020, WC 3025 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;2219;216429495;мать;8x10x5;0.4;15x10x10;1.5;3.75;1.1;веб-оригинал;Картридж PR2 для Olivetti PR2 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;2219LI466DN4;323334835;ребёнок;8x10x5;0.4;15x10x10;1.5;3.75;1.1;наследование от 2219 (веб-оригинал);Картридж DS PR2 для Olivetti PR2 черный
