sku,группа,действия,связок,применено_связок,действие_применено,нет_baseline,нет_карточки,нет_остатка,в_обеих_группах,в_оценке_ITT
1822913447,treatment,remove,2,2,1,0,0,1,0,1
1822913892,treatment,bid_down,2,1,1,0,0,1,0,1
1822913939,treatment,remove,2,2,1,0,0,1,0,1
1822914285,treatment,remove,1,1,1,0,0,1,0,1
1822914351,treatment,remove,1,1,1,0,0,1,0,1
1822914746,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1822914825,treatment,remove,2,2,1,0,0,1,0,1
1822915439,treatment,remove,1,1,1,0,0,1,0,1
1822915777,treatment,remove,1,1,1,0,0,1,0,1
1822915998,treatment,remove,1,1,1,0,0,1,0,1
1822916251,treatment,remove,1,1,1,0,0,1,0,1
1822916407,treatment,remove,1,1,1,0,0,1,0,1
1822916750,treatment,remove,1,1,1,0,0,1,0,1
1822916872,treatment,remove,1,1,1,0,0,1,0,1
1822917298,treatment,remove,1,1,1,0,0,1,0,1
1822917765,treatment,remove,1,1,1,0,0,1,0,1
1822917920,treatment,remove,1,1,1,0,0,1,0,1
1822918055,treatment,remove,1,1,1,0,0,1,0,1
1822918248,treatment,remove,1,1,1,0,0,1,0,1
1822918262,treatment,remove,1,1,1,0,0,1,0,1
1822918654,treatment,bid_down,1,0,0,0,0,1,0,1
1822919896,treatment,remove,1,1,1,0,0,1,0,1
1822919960,treatment,bid_down,2,0,0,0,0,1,0,1
1822920468,treatment,remove,1,1,1,0,0,1,0,1
1822920843,treatment,remove,1,1,1,0,0,1,0,1
1822921035,treatment,remove,1,1,1,0,0,1,0,1
1822921192,treatment,remove,2,2,1,0,0,1,0,1
1822934656,treatment,remove,2,2,1,0,0,1,0,1
1822935866,treatment,remove,2,2,1,0,0,1,0,1
1822936291,treatment,remove,1,1,1,0,0,1,0,1
1822936416,treatment,remove,1,1,1,0,0,1,0,1
1822937165,treatment,remove,1,1,1,0,0,1,0,1
1822938957,treatment,remove,1,1,1,0,0,1,0,1
1822939040,treatment,remove,1,1,1,0,0,1,0,1
1822939432,treatment,remove,1,1,1,0,0,1,0,1
1822939635,treatment,remove,1,1,1,0,0,1,0,1
1822939677,treatment,remove,1,1,1,0,0,1,0,1
1822939758,treatment,remove,1,1,1,0,0,1,0,1
1822940049,treatment,remove,1,1,1,0,0,1,0,1
1822940166,treatment,remove,1,1,1,0,0,1,0,1
1822940313,treatment,remove,1,1,1,0,0,1,0,1
1822940959,treatment,remove,2,2,1,0,0,1,0,1
1822941255,treatment,remove,1,1,1,0,0,1,0,1
1822941597,treatment,bid_down,2,1,1,0,0,1,0,1
1822941818,treatment,remove,1,1,1,0,0,1,0,1
1822942150,treatment,remove,1,1,1,0,0,1,0,1
1822942170,treatment,remove,1,1,1,0,0,1,0,1
1822942353,treatment,remove,2,2,1,0,0,1,0,1
1822942390,treatment,remove,1,1,1,0,0,1,0,1
1822942449,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1822942463,treatment,remove,1,1,1,0,0,1,0,1
1822942610,treatment,remove,1,1,1,0,0,1,0,1
1822942611,treatment,remove,1,1,1,0,0,1,0,1
1822942613,treatment,remove,1,1,1,0,0,1,0,1
1822942623,treatment,remove,1,1,1,0,0,1,0,1
1823123363,treatment,remove,1,1,1,0,0,1,0,1
1823177793,treatment,remove,1,1,1,0,0,1,0,1
1823180583,treatment,remove,1,1,1,0,0,1,0,1
1872787137,treatment,remove,2,2,1,0,0,1,0,1
1873054000,treatment,bid_down,1,1,1,0,0,1,0,1
1873060798,treatment,remove,1,1,1,0,0,1,0,1
1873072870,treatment,remove,1,1,1,0,0,1,0,1
1873140168,treatment,bid_down,1,0,0,0,0,1,0,1
1873140285,treatment,remove,1,1,1,0,0,1,0,1
1873140559,treatment,remove,2,2,1,0,0,1,0,1
1873140561,treatment,remove,2,2,1,0,0,1,0,1
1873140803,treatment,remove,1,1,1,0,0,1,0,1
1873140805,treatment,bid_down,1,0,0,0,0,1,0,1
1873141030,treatment,remove,1,1,1,0,0,1,0,1
1873141605,treatment,bid_down,1,1,1,0,0,1,0,1
1873141819,treatment,remove,1,1,1,0,0,1,0,1
1873141973,treatment,remove,2,2,1,0,0,1,0,1
1873142248,treatment,remove,2,2,1,0,0,1,0,1
1873142259,treatment,bid_down,2,1,1,0,0,1,0,1
1873142357,treatment,remove,2,2,1,0,0,1,0,1
1873142951,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873143469,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873143660,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873143724,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873143753,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873144736,treatment,remove,2,2,1,0,0,1,0,1
1873144946,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873145207,treatment,remove,2,2,1,0,0,1,0,1
1873145258,treatment,remove,3,3,1,0,0,1,0,1
1873145260,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873145324,treatment,remove,1,1,1,0,0,1,0,1
1873146254,treatment,bid_down,3,0,0,0,0,1,0,1
1873146883,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873147269,treatment,bid_down,1,1,1,0,0,1,0,1
1873147544,treatment,remove,2,2,1,0,0,1,0,1
1873148187,treatment,bid_down,2,0,0,0,0,1,0,1
1873150362,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873151608,treatment,bid_down,1,0,0,0,0,1,0,1
1873152057,treatment,bid_down,1,0,0,0,0,1,0,1
1873156106,treatment,bid_down,1,1,1,0,0,1,0,1
1873163110,treatment,remove,2,2,1,0,0,1,0,1
1873171286,treatment,bid_down,2,1,1,0,0,1,0,1
1873178022,treatment,remove,2,2,1,0,0,1,0,1
1873178262,treatment,remove,2,2,1,0,0,1,0,1
1873178480,treatment,remove,1,1,1,0,0,1,0,1
1873178593,treatment,bid_down,2,1,1,0,0,1,0,1
1873178617,treatment,bid_down,1,0,0,0,0,1,0,1
1873178746,treatment,remove,2,2,1,0,0,1,0,1
1873178762,treatment,remove,2,2,1,0,0,1,0,1
1873178866,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873179063,treatment,remove,2,2,1,0,0,1,0,1
1873179119,treatment,remove,2,2,1,0,0,1,0,1
1873179165,treatment,remove,1,1,1,0,0,1,0,1
1873179228,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873179260,treatment,remove,2,2,1,0,0,1,0,1
1873179323,treatment,remove,1,1,1,0,0,1,0,1
1873179404,treatment,remove,2,2,1,0,0,1,0,1
1873179632,treatment,remove,2,2,1,0,0,1,0,1
1873179807,treatment,bid_down,2,2,1,0,0,1,0,1
1873179872,treatment,remove,2,2,1,0,0,1,0,1
1873179982,treatment,remove,2,2,1,0,0,1,0,1
1873180111,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873180169,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873180568,treatment,remove,1,1,1,0,0,1,0,1
1873180592,treatment,remove,1,1,1,0,0,1,0,1
1873180698,treatment,remove,1,1,1,0,0,1,0,1
1873180717,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873180789,treatment,bid_down,3,0,0,0,0,1,0,1
1873180845,treatment,remove,1,1,1,0,0,1,0,1
1873180876,treatment,remove,1,1,1,0,0,1,0,1
1873180982,treatment,remove,1,1,1,0,0,1,0,1
1873181371,treatment,remove,1,1,1,0,0,1,0,1
1873181433,treatment,bid_down,2,2,1,0,0,1,0,1
1873181548,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873181625,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1873181685,treatment,remove,1,1,1,0,0,1,0,1
1873181823,treatment,bid_down,1,0,0,0,0,1,0,1
1873181885,treatment,remove,2,2,1,0,0,1,0,1
1873181948,treatment,remove,2,2,1,0,0,1,0,1
1873182018,treatment,remove,2,2,1,0,0,1,0,1
1873182072,treatment,remove,1,1,1,0,0,1,0,1
1873182098,treatment,remove,1,1,1,0,0,1,0,1
1873182165,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873182181,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873182225,treatment,remove,2,2,1,0,0,1,0,1
1873182252,treatment,remove,2,2,1,0,0,1,0,1
1873182256,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1873182309,treatment,remove,1,1,1,0,0,1,0,1
1873182513,treatment,remove,1,1,1,0,0,1,0,1
1873182645,treatment,remove,2,2,1,0,0,1,0,1
1873182790,treatment,remove,1,1,1,0,0,1,0,1
1873182816,treatment,remove,1,1,1,0,0,1,0,1
1873182857,treatment,remove,1,1,1,0,0,1,0,1
