# oz_acc1: реклама 2026-07-27..2026-08-15 (19 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-17 — трафик есть, реклама ест
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
874375293,4297,"Картриджи №727 для принтеров HP DesignJet T1500, DJ-T1530, DJ T2530, DJ T920",False,,0,,146,7,4.79,12.1,84.97,134,0.0,0.0,,0.0,13,7,84.97,0.0,0.0,6339,217,0,0,58.5000000000000000,33,387,0,12092,7,0,0,0,0,0,0,1,1,100.0,,,0,,,,,,0.0673,,,,ad_eater,E1,"7 кликов, 0 рекламных заказов; продаж не было вовсе"
4543076433,58691,Тонер-картридж для Ricoh IM C4500LT,False,,0,,135,6,4.44,13.9,83.29,132,0.0,0.0,,0.0,12,3,51.34,0.0,0.0,2424,28,0,0,35.3333333333333333,22,31,0,2427,6,0,0,0,0,0,0,1,1,100.0,,,0,6480.0,,27.43,16.8,1777.73,0.0389,56.6,29.8,,ad_eater,E1,"6 кликов, 0 рекламных заказов; продаж не было вовсе"
4504237446,239329,"Картридж для фотопринтера Canon Selphy CP1300(KP-108in / RP-108) и CP1500, cp1000, cp400, cp520, cp1200, cp530, cp720",False,,0,,397,6,1.51,12.5,75.10,119,0.0,0.0,,0.0,13,3,43.03,0.0,0.0,20778,573,0,0,66.5000000000000000,59,1444,0,28889,7,0,0,0,0,0,0,0,0,,,,0,9197.0,,26.63,16.0,2449.51,0.0389,77.4,39.4,,ad_eater,E1,"6 кликов, 0 рекламных заказов; продаж не было вовсе"
4451934180,012818,Картридж для Canon Bubble Jet S330,False,,0,,612,9,1.47,8.0,71.74,113,0.0,0.0,,0.0,13,4,34.16,0.0,0.0,7047,176,0,0,68.5000000000000000,51,349,0,7351,7,0,0,0,0,0,0,0,0,,,,0,1042.0,,25.65,15.0,267.26,0.0558,12.0,5.8,,ad_eater,E1,"9 кликов, 0 рекламных заказов; продаж не было вовсе"
906875213,0885,"Картридж CE341A для принтеров HP и LJ 700 M775dn, M775f голубой",False,,0,,762,9,1.18,7.6,68.47,108,0.0,0.0,,0.0,13,0,0.0,0.0,0.0,1081,33,0,0,61.2500000000000000,37,67,0,2899,7,0,0,0,0,0,0,0,0,,,,0,14556.0,,25.36,14.8,3691.67,0.0539,159.6,76.8,,ad_eater,E1,"9 кликов, 0 рекламных заказов; продаж не было вовсе"
653324852,0056,"Картридж ML-1210 для принтеров Samsung ML-1250, ML-1430, ML 1010, ML1020",True,12.0,1,от 2000 до 5000,98,5,5.1,13.3,66.75,105,0.0,0.0,,0.0,18,3,35.35,0.0,0.0,4472,109,0,0,47.0000000000000000,29,176,0,7139,7,0,0,0,0,0,0,0,0,,,,0,,,,,,0.0673,,,,ad_eater,E1,"5 кликов, 0 рекламных заказов; продаж не было вовсе; показов рекламы 98 за окно при ставке 12 ₽"
1999579460,6054,"Картридж B235000/B2300A0 для принтеров Lexmark LaserPrinter B2338, LP B2442, LP B2546 черный",True,12.0,1,от 10000 до 500 тыс,221,5,2.26,13.3,66.40,105,0.0,0.0,,0.0,19,4,64.32,0.0,0.0,3892,219,0,0,46.5000000000000000,18,384,0,4161,7,0,0,0,0,0,0,0,0,,,,0,15071.0,,23.88,13.3,3598.29,0.0539,153.3,67.4,55.4,ad_eater,E1,"5 кликов, 0 рекламных заказов; продаж не было вовсе"
3369164431,0310,"Картридж 134 для принтеров HP DeskJet 5743, DeskJet 5943, OfficeJet 100, OfficeJet 150, PhotoSmart 2573, PhotoSmart 2575, PSC-1613, PSC-2353 цветной",False,,0,,730,7,0.96,9.3,65.40,103,0.0,0.0,,0.0,11,5,47.70,0.0,0.0,837,163,0,0,104.0000000000000000,75,289,0,3297,7,0,0,0,0,0,0,0,0,,,,0,3801.0,,31.01,20.4,1178.82,0.0434,42.9,25.4,,ad_eater,E1,"7 кликов, 0 рекламных заказов; продаж не было вовсе"
873319991,3213,"Картридж TN-421C для принтеров Brother DCP-L8410CDW, HL-L8260CDW, HL L8360CDW, MFC-L8690CDW, MFCL8900CDW голубой",False,,0,,313,8,2.56,7.5,59.93,95,0.0,0.0,,0.0,13,4,30.18,0.0,0.0,3454,86,0,0,49.7500000000000000,40,151,0,6199,7,0,0,0,0,0,0,0,0,,,,0,3009.0,,29.54,18.9,888.8,0.0434,32.0,18.2,,ad_eater,E1,"8 кликов, 0 рекламных заказов; продаж не было вовсе"
4489629549,14833,Картридж для Canon MAXIFY MB2140,False,,0,,318,7,2.2,8.6,59.90,95,0.0,0.0,,0.0,13,4,27.88,0.0,0.0,117,94,0,0,188.5000000000000000,35,163,0,188,7,0,0,0,0,0,0,0,0,,,,0,1357.0,,28.64,18.0,388.62,0.0558,17.9,9.8,,ad_eater,E1,"7 кликов, 0 рекламных заказов; продаж не было вовсе"
