класс;объём_л;ДхШхВ;nmID;артикул;тип;источник;ссылка/файл
>60 л — почти наверняка мастер-короб;221.3;92.0x28.3x85.0;878084504;05162VFR644O;ребёнок;rapid;наследование от 0516
>60 л — почти наверняка мастер-короб;207.0;46.0x90.0x50.0;502019797;6525;набор;набор:согласовано;"компоненты:44643001=23x50x45(solutionsprint); 44643002=23x50x45(solutionsprint); 44643003=23x50x45(solutionsprint); 4464"
>60 л — почти наверняка мастер-короб;207.0;46.0x90.0x50.0;211410596;5122;набор;набор:согласовано;"компоненты:44059169=23x50x45(solutionsprint); 44059170=23x50x45(solutionsprint); 44059171=23x50x45(solutionsprint); 4405"
>60 л — почти наверняка мастер-короб;207.0;46.0x90.0x50.0;502019771;6525SJUIY2XS;набор;набор:согласовано;"компоненты:44643001=23x50x45(solutionsprint); 44643002=23x50x45(solutionsprint); 44643003=23x50x45(solutionsprint); 4464"
>60 л — почти наверняка мастер-короб;207.0;46.0x90.0x50.0;323353613;5122JN4800YI;набор;набор:согласовано;"компоненты:44059169=23x50x45(solutionsprint); 44059170=23x50x45(solutionsprint); 44059171=23x50x45(solutionsprint); 4405"
>60 л — почти наверняка мастер-короб;200.4;36.0x96.0x58.0;216356306;5148;набор;набор:согласовано;"компоненты:44844469=58x48x18(solutionsprint); 44844470=58x48x18(solutionsprint); 44844471=58x48x18(solutionsprint); 4484"
>60 л — почти наверняка мастер-короб;200.4;36.0x96.0x58.0;323354201;5148FNMDG9AL;набор;набор:согласовано;"компоненты:44844469=58x48x18(solutionsprint); 44844470=58x48x18(solutionsprint); 44844471=58x48x18(solutionsprint); 4484"
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;828815827;1345;мать;поставщик;rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;915407490;13454LIY1LYW;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;967419420;13452;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;967419459;13454;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;915407369;13451U9U1IOM;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;915407475;13452IE501XZ;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;915407492;13453T3CK0Z7;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;967419354;13451;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;193.6;70.0x39.5x70.0;828816160;1345T28NIWMS;ребёнок;наследование от 1345 (поставщик);rapid|SF-006R01179
>60 л — почти наверняка мастер-короб;184.1;27.6x64.0x104.2;942769394;6434;набор;набор:согласовано;"компоненты:45103719=32x104.2x13.8(rapid); 45103720=32x104.2x13.8(rapid); 45103721=32x104.2x13.8(rapid); 45103722=32x104."
>60 л — почти наверняка мастер-короб;184.1;27.6x64.0x104.2;496988762;6434RLW4TQ8Q;набор;набор:согласовано;"компоненты:45103719=32x104.2x13.8(rapid); 45103720=32x104.2x13.8(rapid); 45103721=32x104.2x13.8(rapid); 45103722=32x104."
>60 л — почти наверняка мастер-короб;178.7;39.8x91.8x48.9;216429901;2552;набор;набор:согласовано;"компоненты:43837133=19.9x48.9x45.9(solutionsprint); 43837134=19.9x48.9x45.9(solutionsprint); 43837135=19.9x48.9x45.9(sol"
