nm_id;vendor_code;buyer_price_0709;buyer_price_live;margin_0709;margin_live;stock_live;cpc
323246943;1299RQCFRVWN;498;498;-38.2;-38.2;10;
324990605;4254QYRJEKN2;926;1006;-45.5;-37.2;36;
923432807;6615XE9E0BF8;1978;2248;-42.9;-30.7;4;
914658469;6743SVFYE7CR;1961;2280;-34.5;-21.5;22;
313183759;2343HUMBFFUC;671;671;-13.3;-13.3;8;
323244607;3062TYFX9IML;671;671;-13.3;-13.3;8;
323244656;3063G28E9T4J;671;671;-13.3;-13.3;8;
883471478;23431DC4G8JM;671;671;-13.3;-13.3;8;
883472685;23432GZFGL6C;671;671;-13.3;-13.3;8;
874751978;02321LRE30OL;473;473;-11.9;-11.9;3;
874752486;02322YMBN3YY;473;473;-11.9;-11.9;3;
874753100;02323FU8WSXL;473;473;-11.9;-11.9;3;
874760977;02325IRZ25L1;473;473;-11.9;-11.9;3;
874762346;02326RGURMHE;473;473;-11.9;-11.9;3;
874762807;02327F7W658H;473;473;-11.9;-11.9;3;
874763854;02328TW5L02R;473;473;-11.9;-11.9;3;
874764217;02329L9P5XEG;473;473;-11.9;-11.9;3;
883514392;23651PCB013G;896;896;-11.8;-11.8;1;
324981351;2175DSYBZ461;690;690;-11.3;-11.3;21;
862508658;11841BCYCZL5;830;830;-10.2;-10.2;6;
862508816;11842B3W9QVR;830;830;-10.2;-10.2;6;
862509053;11843DRUOCBD;830;830;-10.2;-10.2;6;
323269945;0525EJZT58ZI;776;776;-9.9;-9.9;4;
324987436;3369SE6XO0NM;667;834;-27.1;-9.9;36;
313193101;2402NTJHJC3J;671;671;-9.2;-9.2;30;
323244920;1184OKRM3ZXY;847;847;-8.8;-8.8;6;
313214867;2174ZZCC15WU;728;728;-7.7;-7.6;33;
861585234;05251SY7AURY;819;819;-6.3;-6.3;4;
861585873;05252K7J2XTY;819;819;-6.3;-6.3;4;
886789526;6619WBU0RQL2;4344;5716;-26.5;-6.1;36;
923413849;6621PT2LVOEW;3977;3977;-6.0;-6.0;36;
923381699;6626LCFOBOM9;2381;3133;-26.2;-5.9;8;
879554099;07344C1YXTKI;824;824;-5.8;-5.8;2;
313190624;1098NMXVDAQL;892;892;-5.7;-5.7;28;
323263724;0983OENC5Q23;921;940;-6.1;-4.8;23;
323299842;1097ACYMSPA7;909;909;-4.5;-4.5;22;
323302662;1096CM8ICO7L;909;909;-4.5;-4.5;24;
323291441;0696N9LMN4Q1;889;889;-4.0;-4.0;8;
323291449;0697O95APEZ7;889;889;-4.0;-4.0;8;
923434124;6614P1ACNHKK;3333;3875;-14.2;-4.0;36;
323244535;3061L5OD6U6X;776;776;-3.6;-3.6;9;
324981343;2173TL6KRZWU;776;776;-3.6;-3.6;24;
879552413;07342SLZN3S3;852;852;-3.6;-3.6;2;
323242748;1304L4DF4L21;1602;4600;-119.3;-3.4;15;
323242615;2171Q12YTCD6;2830;3010;-7.2;-3.3;16;
916966049;6711HD4F0MSV;4038;5177;-20.7;-3.3;36;
923325514;6632LXKWO799;1993;2318;-13.2;-3.2;4;
878126065;05341BETOLRJ;900;979;-8.5;-3.1;30;
865315603;33691ZYTC6RZ;934;934;-2.6;-2.6;36;
862424392;028010YWEPP4;1148;1148;-1.6;-1.6;1;
323115975;0985CTZAQ2IS;955;955;-1.3;-1.3;25;
880334184;09851UL706WU;955;955;-1.3;-1.3;25;
880335260;09852RTC902R;955;955;-1.3;-1.3;25;
880336012;09853HW38561;955;955;-1.3;-1.3;25;
880338056;09854S48KKXJ;955;955;-1.3;-1.3;25;
880339800;09855RBZJSGC;955;955;-1.3;-1.3;25;
880341263;09856VTIN7ME;955;955;-1.3;-1.3;25;
888401726;6603GPSX2KJS;1835;2414;-19.4;-0.7;1;
323340352;5369VQ2BDSVI;1049;1049;-0.5;-0.5;1;
882866349;53692EKD7JN1;629;1049;-39.9;-0.5;1;
882866540;53693OK1290M;1007;1049;-3.0;-0.5;1;
313214717;3228PVVMYN9N;4145;4145;-0.3;-0.3;2;
860504258;02411RLZ9CW0;1306;1306;-0.3;-0.3;36;
905016663;6661O67I4BXG;5365;7891;-28.0;-0.3;21;
313185072;0345YZSBFN57;3583;5107;-25.1;-0.2;2;
878111195;05253ALI95R7;905;905;-0.2;-0.2;4;
878111858;05254JTESEPC;905;905;-0.2;-0.2;4;
878112928;05255AVRMOKC;905;905;-0.2;-0.2;4;
878114787;05256S69MZ70;905;905;-0.2;-0.2;4;
878123813;05257IZJIN18;905;905;-0.2;-0.2;4;
313184298;1380J789BERY;976;1061;-5.2;-0.1;1;
881944857;13801XYP45BS;912;1061;-9.7;-0.1;1;
881945244;13802LPXW1D3;912;1061;-9.7;-0.1;1;
