аккаунт,отгрузка,дата,штук_отгружено,штук_вернулось,себест_отгрузки_₽,сторно_МС_₽,статус,статус_сырьё
oz_acc1,06817615-0583-1,2025-12-27,18.0,4.0,2258.44,0.0,return_stock,
oz_acc1,45159104-0455-1,2025-12-26,2.0,1.0,828.38,0.0,return_stock,
oz_acc1,86183308-0100-2,2025-12-26,6.0,4.0,2443.7,0.0,return_stock,
oz_acc1,47235149-0182-1,2025-12-26,12.0,4.0,1896.78,0.0,return_stock,
oz_acc1,65833298-0091-1,2025-12-26,64.0,4.0,2849.49,0.0,return_stock,
oz_acc1,43372735-0078-3,2025-12-25,10.0,4.0,2426.73,0.0,return_stock,
oz_acc1,88986235-0535-1,2025-12-25,7.0,1.0,517.95,0.0,return_stock,
oz_acc1,33614723-0046-1,2025-12-24,5.0,4.0,1493.71,0.0,return_stock,
oz_acc1,28929484-0764-4,2025-12-24,2.0,1.0,462.0,0.0,return_stock,
oz_acc1,05983579-2342-1,2025-12-24,5.0,4.0,2442.79,0.0,return_stock,
oz_acc1,0101088009-0361-1,2025-12-23,2.0,1.0,542.42,0.0,return_defect,
oz_acc1,0126497523-0135-1,2025-12-18,13.0,12.0,7415.02,0.0,return_stock,
oz_acc1,0194094875-0080-1,2025-12-17,14.0,4.0,4164.0,0.0,return_stock,
oz_acc1,0143435954-0354-1,2025-12-16,7.0,1.0,980.51,0.0,return_defect,
oz_acc1,05441549-1419-1,2025-12-13,15.0,4.0,4282.14,0.0,return_stock,
oz_acc2,63864134-0477-2,2025-12-11,12.0,4.0,3394.07,0.0,return_stock,
oz_acc1,52100514-0044-1,2025-12-11,2.0,1.0,693.02,0.0,return_stock,
oz_acc1,05912707-0522-1,2025-12-10,20.0,4.0,2028.42,0.0,return_stock,
oz_acc2,04739747-0421-1,2025-12-10,4.0,1.0,395.13,0.0,return_stock,
oz_acc1,58269423-0015-1,2025-12-09,11.0,4.0,1725.38,0.0,return_stock,
oz_acc1,56186009-0087-1,2025-12-08,12.0,1.0,961.31,0.0,return_stock,
oz_acc1,0196345866-0057-3,2025-12-05,3.0,1.0,945.98,0.0,return_stock,
