# oz_acc2: реклама 2026-07-27..2026-08-15 (19 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-17 — трафик есть, реклама ест
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
1883158978,1615B584VC8F,"Картридж DS TN-3230 для принтеров Brother DCP-8070, DCP 8085DN, HL-5340D, HL5350DN, HL-5370DW, HL5380DN, MFC-8370, MFC 8880DN черный",True,12.0,2,Все / от 0 до 3000,2145,40,1.86,7.9,315.23,498,0.0,0.0,,0.0,15,1,9.21,0.0,0.0,306,144,0,0,35.0000000000000000,27,237,0,451,6,0,0,0,0,0,0,0,0,,,,0,3955.0,,25.43,14.8,1005.95,0.0302,24.4,11.7,-0.3,ad_eater,E1,"40 кликов, 0 рекламных заказов; ставка 12 ₽ > потолка 11.7 ₽; продаж не было вовсе"
1883355363,1546ORHYNVOR,Картридж DS T967 для принтеров Epson Stylus Photo R2880 серый,True,7.0,1,Все,3793,39,1.03,6.9,269.88,426,0.0,0.0,,0.0,19,36,249.58,0.0,0.0,276,97,0,0,62.0000000000000000,51,146,0,329,7,0,0,0,0,0,0,0,0,,,,0,1382.0,,26.45,15.8,365.52,0.0456,13.5,6.8,-0.2,ad_eater,E1,"39 кликов, 0 рекламных заказов; ставка 7 ₽ > потолка 6.8 ₽; продаж не было вовсе"
1916259676,5223IMXDS0I3,"Картридж DS 106R04348 для принтеров Xerox B-205, B 210, B215 черный",True,12.0,2,Все / от 0 до 3000,2219,33,1.49,8.0,263.43,416,0.0,0.0,,0.0,19,0,0.0,0.0,0.0,732,97,0,0,56.0000000000000000,40,185,0,918,7,0,0,0,0,0,0,0,0,,,,0,3408.0,,28.0,17.4,954.12,0.0302,23.7,12.8,0.8,ad_eater,E1,"33 кликов, 0 рекламных заказов; продаж не было вовсе"
1822942610,0498MLYQ272L,"Картридж DS T0552 для принтеров Epson Stylus Photo R240, Stylus Photo R245 голубой",True,8.0,1,Все,1749,23,1.32,7.9,181.77,287,0.0,0.0,,0.0,19,13,102.94,0.0,0.0,167,119,0,0,47.5000000000000000,34,182,0,240,7,0,0,0,0,0,0,0,0,,,,0,916.0,,23.05,12.5,211.15,0.0261,4.3,1.8,-6.2,ad_eater,E1,"23 кликов, 0 рекламных заказов; ставка 8 ₽ > потолка 1.8 ₽; продаж не было вовсе"
1883113573,3755JTXAHO02,"Чернила DS GI-490PGBK для принтеров Canon Pixma G1400, PixmaG1410 черный",True,10.0,2,Все / от 0 до 3000,1558,21,1.35,8.2,172.49,272,0.0,0.0,,0.0,19,8,60.11,0.0,0.0,903,218,0,0,149.5000000000000000,124,367,0,1848,7,0,0,0,0,0,0,0,0,,,,0,784.0,,20.78,10.2,162.91,0.0261,3.2,1.1,-8.9,ad_eater,E1,"21 кликов, 0 рекламных заказов; ставка 10 ₽ > потолка 1.1 ₽; продаж не было вовсе"
2929331436,6733L93SWDSD,"Заправочный комплект DS PG-440 для принтеров Canon Pixma MG2140, PixmaMG2240 черный",True,10.0,2,Все / от 0 до 3000,1213,18,1.48,9.2,165.41,261,0.0,0.0,,0.0,19,13,130.75,0.0,0.0,29622,758,0,0,71.2500000000000000,46,1584,0,35371,7,0,0,0,0,1,2902.0000,1,0,0.0,2026-05-10,99,0,2341.0,,28.24,17.6,661.12,0.0302,16.4,8.9,-1.1,ad_eater,E1,"18 кликов, 0 рекламных заказов; ставка 10 ₽ > потолка 8.9 ₽; последняя продажа 2026-05-10"
1873190995,4656PID830U4,"Картридж DS M21-375595YL для принтеров Brady BMP 21-LAB, BMP 21-PLUS",True,9.0,1,Все,584,13,2.23,8.9,115.59,183,0.0,0.0,,0.0,19,5,44.58,0.0,0.0,673,160,0,0,43.2500000000000000,34,281,0,843,7,0,0,0,0,0,0,0,0,,,,0,3183.0,,28.89,18.3,919.43,0.0302,23.0,12.8,3.8,ad_eater,E1,"13 кликов, 0 рекламных заказов; продаж не было вовсе"
1822942170,0496ZP6Q91HA,"Картридж DS T0474 для принтеров Epson Stylus C63, Stylus C65 желтый",True,10.0,1,Все,521,10,1.92,10.9,108.52,171,0.0,0.0,,0.0,19,4,51.59,0.0,0.0,16561,206,0,0,47.2500000000000000,32,312,0,16751,7,0,0,0,0,1,1179.0000,1,0,0.0,2026-05-07,102,0,430.0,,10.85,0.2,46.65,0.0261,0.7,-0.5,-10.5,ad_eater,E1,"10 кликов, 0 рекламных заказов; ставка 10 ₽ > потолка -0.5 ₽; последняя продажа 2026-05-07"
1873179982,5519VHBVR9K0,"Картридж DS W1420A для принтеров HP LaserJet M110w, LJ-M110we, LJ MFP M140w, LJ MFP M140we черный",True,12.0,2,Все / от 0 до 3000,504,9,1.79,8.7,78.15,123,0.0,0.0,,0.0,19,3,23.68,0.0,0.0,9426,109,0,0,76.0000000000000000,54,205,0,9606,7,0,0,0,0,0,0,0,0,,,,0,3386.0,,27.69,17.1,937.57,0.0302,23.2,12.4,0.4,ad_eater,E1,"9 кликов, 0 рекламных заказов; продаж не было вовсе"
1873183002,2212B2BL8DHK,"Картридж DS LQ800 для принтеров Epson ERC-19, LQ-200, LQ 300, LQ400, LQ-450, LQ500, LQ 550, LQ 580 LQ800 LQ870 LX-300 LX 300+ LX-400 черный",True,12.0,2,Все / от 0 до 3000,427,6,1.41,12.4,74.26,117,0.0,0.0,,0.0,19,0,0.0,0.0,0.0,2869,266,0,0,46.0000000000000000,35,266,0,2869,4,0,0,0,0,0,0,0,0,,,,0,1673.0,,28.29,17.7,473.27,0.0456,17.8,9.7,-2.3,ad_eater,E1,"6 кликов, 0 рекламных заказов; ставка 12 ₽ > потолка 9.7 ₽; продаж не было вовсе"
