snapshot_date,campaign_id,campaign_title,sku,offer_id,name,bid,ad_spend_window,ad_clicks,rev90
2026-08-18,13425066,10000-500000,1886479211,2649IEO4E13S,"Картриджи DS SPC310 для принтеров Ricoh Aficio 232, 242, 310, 311, 312, 320, SPC231",12.0,12.21,1.0,0.0
2026-08-18,13424726,Все,1886479211,2649IEO4E13S,"Картриджи DS SPC310 для принтеров Ricoh Aficio 232, 242, 310, 311, 312, 320, SPC231",8.0,12.21,1.0,0.0
2026-08-18,13424988,3000-5000,1886479508,3107JOEIY3OT,"Картридж DS CLT-Y506L для принтеров Samsung CLP-680ND, CLX-6260FD желтый",17.0,19.84,2.0,0.0
2026-08-18,13424726,Все,1886479508,3107JOEIY3OT,"Картридж DS CLT-Y506L для принтеров Samsung CLP-680ND, CLX-6260FD желтый",8.0,19.84,2.0,0.0
2026-08-18,13424726,Все,1886479558,4216KOILUX7X,"Картридж DS 842255 для принтеров Ricoh IM-C3000, IM-C3500 черный",8.0,7.48,1.0,0.0
2026-08-18,13424726,Все,1886479707,1052ZX9I8MJJ,"Картридж DS CLT-Y504S для принтеров Samsung CLP-410, CLP 415N, CLX-4170, CLX-4195FN желтый",8.0,6.87,1.0,0.0
2026-08-18,13424726,Все,1886479842,5171KNXCUF4Z,"Картридж DS MLT-D304E для принтеров Samsung Xpress ser SL-M4530ND, SL-M4583fx черный",8.0,6.77,1.0,0.0
2026-08-18,13424726,Все,1886479991,4218G4CNZFP6,"Картридж DS 842257 для принтеров Ricoh IM-C3000, IM-C3500 пурпурный",8.0,12.51,1.0,0.0
2026-08-18,13424726,Все,1886480381,2430VD1RMFBA,Картриджи DS MPC2503 для принтеров Ricoh Aficio MPC2003,8.0,8.25,1.0,0.0
2026-08-18,13424726,Все,1886481046,2798X87CZ2HY,"Картридж DS MLT-K607S для принтеров Samsung SCX-8030, SCX 8040 черный",8.0,6.22,1.0,0.0
2026-08-18,13424726,Все,1886481416,3106Q0D0MG2G,"Картридж DS CLT-M506L для принтеров Samsung CLP-680ND, CLX-6260FD пурпурный",8.0,11.05,1.0,0.0
2026-08-18,13424726,Все,1886482445,4153OPWR5L0L,"Картридж DS MLT-D204U для принтеров Samsung SL-M3325, SL M3375, SLM3825, SL-M3875, SLM4025, SL M4075 черный",8.0,19.23,2.0,0.0
2026-08-18,13424726,Все,1886484513,0696N9LMN4Q1,Картридж DS CLP-M350A для принтеров Samsung CLP-350 пурпурный,9.0,11.31,1.0,0.0
2026-08-18,13424726,Все,1886484557,3514YMMVVPR1,"Картридж DS CLT-M503L для принтеров Samsung SL-C3010, SL-C3060 пурпурный",8.0,6.84,1.0,0.0
2026-08-18,13424726,Все,1886485333,1608NQW4FH2A,"Картридж DS CLT-Y609S для принтеров Samsung CLP-770, CLP 770ND желтый",8.0,11.56,1.0,0.0
2026-08-18,13424988,3000-5000,1886487969,2322EY14NY31,"Картридж DS SCX-D6555A для принтеров Samsung SCX-4645, SCX 6545N черный",12.0,2.66,1.0,0.0
2026-08-18,13424726,Все,1886487969,2322EY14NY31,"Картридж DS SCX-D6555A для принтеров Samsung SCX-4645, SCX 6545N черный",8.0,2.66,1.0,0.0
2026-08-18,13424726,Все,1886488103,2632QIYFADBS,"Картриджи DS CLT-809S для принтеров Samsung CLX-9201, CLX 9251",8.0,8.86,1.0,0.0
2026-08-18,13424726,Все,1886489164,3423IFMP4PWQ,"Картридж DS MLT-D103S для принтеров Samsung ML-2950, ML 2955, SCX-4727, SCX4728 черный",8.0,7.35,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1886490257,0686D5KHB95K,"Картридж DS CLP-500K для принтеров Samsung CLP-500, CLP 500N черный",12.0,11.02,1.0,0.0
2026-08-18,13424726,Все,1886490257,0686D5KHB95K,"Картридж DS CLP-500K для принтеров Samsung CLP-500, CLP 500N черный",8.0,11.02,1.0,0.0
2026-08-18,13424726,Все,1886492763,3105BU5BDYBB,"Картридж DS CLT-C506L для принтеров Samsung CLP-680ND, CLX-6260FD голубой",8.0,24.02,3.0,0.0
2026-08-18,13424726,Все,1886504065,2978CU03NZP6,Картридж DS SP200HE для принтеров Ricoh Aficio SP200 черный,8.0,12.19,1.0,0.0
2026-08-18,13424726,Все,1886535061,3104ZS8CMQOX,"Картридж DS CLT-K506L для принтеров Samsung CLP-680ND, CLX-6260FD черный",8.0,10.97,1.0,0.0
2026-08-18,13424726,Все,1888905121,4527KFCX6SKT,"Картридж DS MX-61GTCA для принтеров Sharp MX-3050, MX 3060, MX3070, MX-3550, MX3560, MX 3570, MX 4060, MX4070 MX5070 MX 6050 голубой",8.0,6.78,1.0,0.0
