sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,bid_new,group
1719319666,5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,от 5000 до 10000,25.3,82,399081,56,1759,45900,52.0,80.3,35.5,28,A. реклама тянет
3557210726,6851,"Картридж 40STB15 для принтеров F+ Imaging M40adn, M40adn20, ",Эксперимент1,9.9,22,386489,8,106,0,,433.5,26.4,30,C. в июле не продавалась
863390858,3621,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7",Эксперимент1,8.8,48,384496,8,21,0,66.0,118.5,33.6,26,B. продаёт сама
863390858,3621,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7",от 5000 до 10000,13.2,48,384496,8,121,9552,66.0,118.5,33.6,40,B. продаёт сама
870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, H",от 5000 до 10000,22.0,65,373515,36,187,13148,30.0,175.3,30.5,60,A. реклама тянет
870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, H",Эксперимент1,15.4,65,373515,36,408,24710,30.0,175.3,30.5,46,A. реклама тянет
863418800,4214,Картриджи W2210X-W2213X (HP 207X) с чипом для принтеров HP P,от 10000 до 500 тыс,13.2,32,335995,16,376,42975,50.0,227.6,27.6,40,A. реклама тянет
1665073081,5544,"Фотобарабан DR-421CL для принтеров Brother DCP-L8410CDW, HL-",от 10000 до 500 тыс,16.5,20,323716,6,46,21497,0.0,449.0,26.1,50,A. реклама тянет
1665073081,5544,"Фотобарабан DR-421CL для принтеров Brother DCP-L8410CDW, HL-",Эксперимент1,9.9,20,323716,6,18,0,0.0,449.0,26.1,30,A. реклама тянет
930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother",Эксперимент1,9.9,48,315582,14,83,0,49.0,188.8,28.5,30,A. реклама тянет
930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother",от 5000 до 10000,23.1,48,315582,14,187,8267,49.0,188.8,28.5,60,A. реклама тянет
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018",от 2000 до 5000,16.5,72,296323,15,199,5870,46.0,54.8,26.1,19,A. реклама тянет
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018",Эксперимент1,9.9,72,296323,15,165,4383,46.0,54.8,26.1,19,A. реклама тянет
870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6",от 5000 до 10000,19.8,33,294968,24,340,28924,62.0,233.1,29.3,59,B. продаёт сама
870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6",Эксперимент1,14.3,33,294968,24,105,9334,62.0,233.1,29.3,43,B. продаёт сама
2510033633,6283,"Картриджи 006R04395-006R04398 для принтеров Xerox C230, C235",от 10000 до 500 тыс,13.2,4,273714,2,346,0,,1047.7,23.6,40,C. в июле не продавалась
1261629356,5148,Фотобарабаны 44844469 - 44844472 для принтеров OKI Data MC85,от 10000 до 500 тыс,13.2,6,272363,4,7,0,,1511.8,23.3,40,C. в июле не продавалась
1771578083,5723,"Картриджи 006R04368-006R04371 для принтеров Xerox C310, C315",от 10000 до 500 тыс,17.6,23,271861,13,299,57190,0.0,317.2,28.3,53,A. реклама тянет
1771578083,5723,"Картриджи 006R04368-006R04371 для принтеров Xerox C310, C315",Эксперимент1,8.8,23,271861,13,50,0,0.0,317.2,28.3,26,A. реклама тянет
874374114,4312,Картриджи TN-328K-TN-328C для принтеров Konica Minolta Bizhu,от 10000 до 500 тыс,17.6,13,265274,8,717,77011,0.0,441.0,26.2,53,A. реклама тянет
874374114,4312,Картриджи TN-328K-TN-328C для принтеров Konica Minolta Bizhu,Эксперимент1,8.8,13,265274,8,27,0,0.0,441.0,26.2,26,A. реклама тянет
870872764,2887,"Картриджи C-EXV49 для принтеров Canon iR Advance C3320, iR A",от 10000 до 500 тыс,15.4,18,261646,17,136,52371,26.0,357.2,26.4,46,A. реклама тянет
863385336,1214,"Картриджи TK-895 для принтеров Kyocera FS-C8020MFP, FS C8025",Эксперимент1,12.1,28,260346,18,273,66656,38.0,278.1,27.1,36,A. реклама тянет
1716763459,4650,Картриджи TK-8545 для принтеров Kyocera TASKalfa 4054ci,от 10000 до 500 тыс,13.2,9,255845,2,27,0,,695.2,26.4,40,C. в июле не продавалась
1469084054,5418,"Картридж 067H Bk для принтеров Canon i-SENSYS LBP633Cdw, LBP",от 2000 до 5000,24.2,73,253549,40,149,0,100.0,119.6,35.3,42,B. продаёт сама
1469084054,5418,"Картридж 067H Bk для принтеров Canon i-SENSYS LBP633Cdw, LBP",Эксперимент1,16.5,73,253549,40,174,0,100.0,119.6,35.3,42,B. продаёт сама
1432017435,4751,Картриджи PG-460XL-CL-461XL для принтеров canon pixma mg5740,Вне РК — спрос без рекламы (08.08),15.0,21,253196,9,0,0,100.0,289.6,29.5,45,B. продаёт сама
930625989,2642,"Картриджи TN-324 для принтеров Konica Minolta Bizhub C258, B",Эксперимент1,8.8,18,250244,14,84,0,43.0,326.3,22.6,26,A. реклама тянет
930625989,2642,"Картриджи TN-324 для принтеров Konica Minolta Bizhub C258, B",от 10000 до 500 тыс,16.5,18,250244,14,323,70277,43.0,326.3,22.6,50,A. реклама тянет
870872394,2287,"Картриджи CLT-406S для принтеров samsung clp-360, samsung cl",Эксперимент1,8.8,34,249985,4,234,10680,58.0,178.7,29.2,26,A. реклама тянет
930616806,2409,"Картриджи TK-5280 для принтеров Kyocera Ecosys M6235cidn, M6",Вне РК — спрос без рекламы (08.08),15.0,22,236857,7,0,0,100.0,171.3,28.0,45,B. продаёт сама
2994100339,5374,"Картридж 069H для принтеров Canon i-SENSYS LBP673Cdw, MF752C",Вне РК — спрос без рекламы (08.08),15.0,43,233606,26,0,0,100.0,61.5,31.1,22,B. продаёт сама
1759807965,5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203",Эксперимент1,16.5,45,229280,18,121,0,42.0,80.4,32.4,28,A. реклама тянет
1759807965,5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203",от 2000 до 5000,24.2,45,229280,18,555,19289,42.0,80.4,32.4,28,A. реклама тянет
1852062768,5807,Картридж C-EXV65K для принтеров Canon iR-C3226i черный,от 5000 до 10000,22.0,29,223533,23,135,48538,31.0,91.8,33.6,32,A. реклама тянет
870872605,2637,"Картриджи TN-221 для принтеров Konica Minolta Bizhub C227, B",от 10000 до 500 тыс,13.2,15,220534,10,201,191885,0.0,357.3,25.1,40,A. реклама тянет
930609259,0718,"Картриджи 718 для принтеров Canon i-SENSYS LBP7200Cdn, LBP72",Эксперимент1,8.8,23,218502,13,175,21757,61.0,278.0,32.7,26,B. продаёт сама
1510950358,5388,"Картриджи 055H для принтеров Canon i-SENSYS LBP-662, LBP 663",Эксперимент1,8.8,18,213301,12,92,27288,32.0,366.0,35.1,26,A. реклама тянет
873314216,3673,Картриджи 106R03765-106R03768 для принтеров Xerox VersaLink ,от 10000 до 500 тыс,13.2,17,212288,4,0,0,,300.1,27.5,40,C. в июле не продавалась
873314216,3673,Картриджи 106R03765-106R03768 для принтеров Xerox VersaLink ,Эксперимент1,8.8,17,212288,4,19,0,,300.1,27.5,26,C. в июле не продавалась
863384426,0006,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7",от 5000 до 10000,13.2,25,203766,9,224,19487,52.0,68.1,21.4,24,A. реклама тянет
1548617449,5439,"Картридж LC-472XL BK для принтеров Brother MFC-J2340DW, MFC ",от 2000 до 5000,25.3,48,199601,28,654,4557,51.0,156.3,36.7,55,A. реклама тянет
870872492,2187,"Картриджи №953XL для принтеров HP OfficeJet Pro 7720, Office",Вне РК — спрос без рекламы (08.08),15.0,38,193611,7,0,0,100.0,62.7,29.9,22,B. продаёт сама
3681638376,4147,"Картриджи №963XL для принтеров HP OfficeJet Pro 9010, Office",Эксперимент1,8.8,16,182873,8,117,45140,36.0,275.6,24.9,26,A. реклама тянет
873319626,4124,"Картриджи PFI-320 для принтеров Canon iPF TM-200, iPF TM 205",Эксперимент1,9.9,4,182792,3,45,0,100.0,977.2,23.6,30,B. продаёт сама
