nm_id;артикул;наша_цена_покупателя;цена_продающегося_родственника;отклонение_%;чистая_₽;маржа_%
199565585;13802;1489.0;1697.0;-12;225.95;15.17
199566269;08264;2223.0;2515.0;-12;669.78;25.36
199570267;022116;2325.0;2638.0;-12;715.94;25.92
199570334;02622;1462.0;1661.0;-12;344.15;21.93
199330753;1190;1938.0;2215.0;-13;544.15;23.63
216431892;02763;2181.0;2519.0;-13;690.51;26.65
181123616;1325;2353.0;2739.0;-14;591.88;21.18
859071412;533510;1445.0;1671.0;-14;334.43;21.57
859071420;533511;1445.0;1671.0;-14;334.43;21.57
859071503;533512;1445.0;1671.0;-14;334.43;21.57
216360254;319210;1816.0;2103.0;-14;365.04;16.92
216361294;31923;1816.0;2103.0;-14;365.04;16.92
859073653;53359;1445.0;1671.0;-14;334.43;21.57
859076432;53358;1445.0;1671.0;-14;334.43;21.57
964705050;24102;2852.0;3335.0;-14;648.46;19.14
199572529;13072;2750.0;3201.0;-14;684.71;20.96
964878412;114922;3426.0;4015.0;-15;902.04;22.17
200163480;019512;2732.0;3217.0;-15;1022.65;31.51
964878646;114927;3426.0;4015.0;-15;902.04;22.17
200163806;01959;2732.0;3217.0;-15;1022.65;31.51
964879005;114930;3426.0;4015.0;-15;902.04;22.17
859071314;53351;1422.0;1671.0;-15;319.69;20.94
859071586;533513;1422.0;1671.0;-15;319.69;20.94
964879532;114933;3426.0;4015.0;-15;902.04;22.17
199566560;07873;1391.0;1639.0;-15;197.26;14.17
859071715;53352;1422.0;1671.0;-15;319.69;20.94
967410946;10733;2786.0;3285.0;-15;816.61;24.68
859071880;53353;1422.0;1671.0;-15;319.69;20.94
964880171;11499;3426.0;4015.0;-15;902.04;22.17
859073292;53357;1422.0;1671.0;-15;319.69;20.94
199330855;0729;2154.0;2534.0;-15;612.21;23.92
199331172;1324;2115.0;2481.0;-15;349.1;13.89
257806941;1191;2019.0;2380.0;-15;442.0;18.42
209761508;34412;1992.0;2330.0;-15;600.31;25.37
964875549;114910;3426.0;4015.0;-15;902.04;22.17
964875655;114914;3426.0;4015.0;-15;902.04;22.17
964875694;114912;3426.0;4015.0;-15;902.04;22.17
964875870;114915;3426.0;4015.0;-15;902.04;22.17
859076299;53355;1422.0;1671.0;-15;319.69;20.94
964877217;114916;3426.0;4015.0;-15;902.04;22.17
181115998;1367;1591.0;1871.0;-15;191.1;11.19
964877431;114917;3426.0;4015.0;-15;902.04;22.17
964877504;114919;3426.0;4015.0;-15;902.04;22.17
964878116;114920;3426.0;4015.0;-15;902.04;22.17
199332691;0746;1827.0;2176.0;-16;476.6;21.96
209712726;018221;2544.0;3016.0;-16;733.64;24.27
199571810;07464;1827.0;2176.0;-16;476.6;21.96
215243523;239510;3006.0;3573.0;-16;867.35;24.29
1001414434;005012;2333.0;2793.0;-16;723.34;26.1
1001414483;005013;2333.0;2793.0;-16;723.34;26.1
1001414552;005014;2333.0;2793.0;-16;723.34;26.1
200167300;13202;2214.0;2672.0;-17;498.68;18.96
1002608372;10532;10242.0;12340.0;-17;3191.07;24.99
199572541;13074;2660.0;3201.0;-17;619.56;19.61
1002608511;10533;10242.0;12340.0;-17;3191.07;24.99
964245557;11911;1983.0;2380.0;-17;415.94;17.65
964245593;11913;1983.0;2380.0;-17;415.94;17.65
964245596;11912;1983.0;2380.0;-17;415.94;17.65
964245611;11914;1983.0;2380.0;-17;415.94;17.65
964245639;11915;1983.0;2380.0;-17;415.94;17.65
181116167;1216;2608.0;3150.0;-17;454.41;14.67
967294419;02766;2089.0;2519.0;-17;623.92;25.14
1002888907;20183;3080.0;3706.0;-17;889.49;24.31
964386876;35594;3638.0;4440.0;-18;1530.51;35.41
199565454;00282;2172.0;2648.0;-18;565.42;21.91
964544953;43541;3513.0;4301.0;-18;1304.19;31.25
964250114;02764;2058.0;2519.0;-18;601.72;24.61
1002558478;03411;2568.0;3113.0;-18;1072.3;35.15
1002558568;03413;2568.0;3113.0;-18;1072.3;35.15
1002558564;03412;2568.0;3113.0;-18;1072.3;35.15
199333271;1157;1818.0;2208.0;-18;342.69;17.56
964386188;35591;3638.0;4440.0;-18;1530.51;35.41
964386554;35593;3638.0;4440.0;-18;1530.51;35.41
1002537172;05068;2881.0;3569.0;-19;820.09;23.97
199565923;003310;1851.0;2289.0;-19;381.64;17.35
964731859;05067;2881.0;3569.0;-19;820.09;23.97
199574633;53391;1834.0;2262.0;-19;362.38;18.41
964495229;07461;1773.0;2176.0;-19;437.78;20.79
964495460;07463;1773.0;2176.0;-19;437.78;20.79
967362762;07462;1773.0;2176.0;-19;437.78;20.79
964495620;07465;1773.0;2176.0;-19;437.78;20.79
859991134;00624;2115.0;2606.0;-19;644.18;25.63
859991139;00626;2115.0;2606.0;-19;644.18;25.63
859991144;00625;2115.0;2606.0;-19;644.18;25.63
859991176;00627;2115.0;2606.0;-19;644.18;25.63
199331123;0033;1851.0;2289.0;-19;381.64;17.35
964497369;00044;2281.0;2829.0;-19;837.48;30.91
964497640;00046;2281.0;2829.0;-19;837.48;30.91
1003684499;59695;1872.0;2347.0;-20;720.71;32.4
1003684509;59693;1872.0;2347.0;-20;720.71;32.4
1003684879;59697;1872.0;2347.0;-20;720.71;32.4
1003684884;59699;1872.0;2347.0;-20;720.71;32.4
1003684894;596911;1872.0;2347.0;-20;720.71;32.4
1003684923;596914;1872.0;2347.0;-20;720.71;32.4
1003685064;59696;1872.0;2347.0;-20;720.71;32.4
199331865;0417;4219.0;5257.0;-20;1341.35;25.18
199570517;04173;4219.0;5257.0;-20;1341.35;25.18
964491339;43131;1663.0;2084.0;-20;509.03;28.53
1003224514;30543;1825.0;2268.0;-20;390.34;19.92
967409498;43591;10162.0;12767.0;-20;3954.06;31.2
967409625;43592;10162.0;12767.0;-20;3954.06;31.2
200163520;01957;2556.0;3217.0;-21;895.3;29.49
200163529;01956;2556.0;3217.0;-21;895.3;29.49
200163706;01955;2556.0;3217.0;-21;895.3;29.49
200163747;01958;2556.0;3217.0;-21;895.3;29.49
199565806;02511;1518.0;1925.0;-21;314.08;19.28
967408819;42433;9771.0;12377.0;-21;3657.6;30.02
964515699;41462;2972.0;3774.0;-21;1041.36;29.5
199571838;07466;1724.0;2176.0;-21;282.49;15.26
967408912;42434;9771.0;12377.0;-21;3657.6;30.02
216432117;01213;2473.0;3145.0;-21;650.34;22.14
1003030662;28955;3991.0;5108.0;-22;1433.06;28.44
1003030702;28956;3991.0;5108.0;-22;1433.06;28.44
964332372;02201;1525.0;1948.0;-22;267.17;16.32
209753995;05062;2795.0;3569.0;-22;757.95;22.83
209754009;05063;2795.0;3569.0;-22;757.95;22.83
209754036;05064;2795.0;3569.0;-22;757.95;22.83
209754058;05066;2795.0;3569.0;-22;757.95;22.83
209665462;0506;2795.0;3569.0;-22;757.95;22.83
199574426;44816;2435.0;3169.0;-23;751.48;25.98
1003603126;52472;14988.0;19554.0;-23;3680.89;19.7
1003603161;52471;14988.0;19554.0;-23;3680.89;19.7
200166044;31094;1427.0;1848.0;-23;495.62;34.71
435736531;44812;2435.0;3169.0;-23;751.48;25.98
967422101;52901;3232.0;4222.0;-23;934.99;24.35
964251874;37796;1463.0;1912.0;-23;381.34;24.28
1002928197;23714;1915.0;2495.0;-23;506.15;22.25
1002928205;23713;1915.0;2495.0;-23;506.15;22.25
199572262;10732;2536.0;3285.0;-23;636.35;21.12
199572299;10731;2536.0;3285.0;-23;636.35;21.12
1002610223;11571;1696.0;2208.0;-23;381.61;18.93
967294742;37794;1463.0;1912.0;-23;381.34;24.28
199573725;29871;3286.0;4382.0;-25;718.74;18.42
199565924;07376;2184.0;2926.0;-25;351.81;13.56
199566066;08263;1895.0;2515.0;-25;432.72;19.22
199566584;13233;1776.0;2353.0;-25;317.83;16.68
199566612;13221;4668.0;6201.0;-25;1419.42;24.08
199566649;13223;4668.0;6201.0;-25;1419.42;24.08
199566658;13224;4668.0;6201.0;-25;1419.42;24.08
967510542;54821;1473.0;1952.0;-25;322.55;21.89
967510680;54823;1473.0;1952.0;-25;322.55;21.89
967510739;54824;1473.0;1952.0;-25;322.55;21.89
964334264;24392;3340.0;4480.0;-25;868.7;21.9
964334312;24395;3340.0;4480.0;-25;868.7;21.9
209779238;43543;3234.0;4301.0;-25;1102.71;28.7
199334698;3054;1711.0;2268.0;-25;315.86;17.2
199565489;00284;1969.0;2648.0;-26;418.26;17.89
1003088559;29781;2319.0;3131.0;-26;534.29;19.4
1003088565;29782;2319.0;3131.0;-26;534.29;19.4
1003091244;29783;2319.0;3131.0;-26;534.29;19.4
1003224519;30542;1683.0;2268.0;-26;297.24;16.46
1003224528;30541;1683.0;2268.0;-26;297.24;16.46
967516230;071411;2333.0;3208.0;-27;615.39;22.21
967516268;07146;2333.0;3208.0;-27;615.39;22.21
964804741;068310;1793.0;2453.0;-27;485.61;22.79
967516340;071414;2333.0;3208.0;-27;615.39;22.21
967397691;28953;3733.0;5108.0;-27;1065.21;24.02
967516351;071417;2333.0;3208.0;-27;615.39;22.21
967510629;54822;1418.0;1952.0;-27;351.95;23.12
200166411;027612;1843.0;2519.0;-27;446.34;20.39
199332165;0683;1793.0;2453.0;-27;485.61;22.79
964811388;28951;3733.0;5108.0;-27;1065.21;24.02
199572526;13121;2304.0;3155.0;-27;612.67;22.38
1002921818;23001;5438.0;7467.0;-27;1914.8;27.88
1002751200;19451;4285.0;5951.0;-28;1287.93;23.8
859956648;00505;2015.0;2793.0;-28;493.46;20.62
859956651;005010;2015.0;2793.0;-28;493.46;20.62
1002751469;19452;4285.0;5951.0;-28;1287.93;23.8
859956790;00506;2015.0;2793.0;-28;493.46;20.62
859957031;00507;2015.0;2793.0;-28;493.46;20.62
859957037;00508;2015.0;2793.0;-28;493.46;20.62
859957070;005011;2015.0;2793.0;-28;493.46;20.62
1010913685;44814;2280.0;3169.0;-28;639.77;23.62
943144298;6409;2411.0;3355.0;-28;952.0;33.24
199574427;44811;2242.0;3169.0;-29;611.84;22.98
199572512;12874;2298.0;3217.0;-29;556.96;20.41
199572517;12871;2298.0;3217.0;-29;556.96;20.41
199573414;24394;3175.0;4480.0;-29;750.02;19.88
199565297;00623;1839.0;2606.0;-29;444.79;20.35
964952112;071415;2260.0;3208.0;-30;562.71;20.96
964952162;071416;2260.0;3208.0;-30;562.71;20.96
548876972;57421;4241.0;6049.0;-30;1319.61;24.64
964728100;05023;2776.0;3966.0;-30;845.66;25.64
216356520;37441;12777.0;18346.0;-30;7445.46;46.73
964951391;07143;2260.0;3208.0;-30;562.71;20.96
964951421;07144;2260.0;3208.0;-30;562.71;20.96
964951520;07145;2260.0;3208.0;-30;562.71;20.96
964951576;07147;2260.0;3208.0;-30;562.71;20.96
964951700;07148;2260.0;3208.0;-30;562.71;20.96
964951790;07149;2260.0;3208.0;-30;562.71;20.96
964951821;071410;2260.0;3208.0;-30;562.71;20.96
964951911;071412;2260.0;3208.0;-30;562.71;20.96
964951994;071413;2260.0;3208.0;-30;562.71;20.96
964501607;00914;3531.0;5148.0;-31;890.94;21.24
967364643;00915;3531.0;5148.0;-31;890.94;21.24
1002672263;13122;2162.0;3155.0;-31;510.21;19.86
1002672383;13124;2162.0;3155.0;-31;510.21;19.86
964501484;00911;3531.0;5148.0;-31;890.94;21.24
199331642;2894;2499.0;3663.0;-32;873.72;29.43
209752486;00503;1909.0;2793.0;-32;416.83;18.38
209752506;00504;1909.0;2793.0;-32;416.83;18.38
216429686;00502;1909.0;2793.0;-32;416.83;18.38
209655489;0050;1909.0;2793.0;-32;416.83;18.38
1002610689;12691;1785.0;2678.0;-33;715.55;33.74
199332381;0714;2151.0;3208.0;-33;483.69;18.93
199571774;07141;2151.0;3208.0;-33;483.69;18.93
964464047;15301;978.0;1483.0;-34;415.16;42.44
964464119;153010;978.0;1483.0;-34;415.16;42.44
964464326;153011;978.0;1483.0;-34;415.16;42.44
1003696018;61302;4587.0;6917.0;-34;1477.32;25.5
964464602;153012;978.0;1483.0;-34;415.16;42.44
967356415;153013;978.0;1483.0;-34;415.16;42.44
967356431;15302;978.0;1483.0;-34;415.16;42.44
964464966;153014;978.0;1483.0;-34;415.16;42.44
964465156;153015;978.0;1483.0;-34;415.16;42.44
964465374;153016;978.0;1483.0;-34;415.16;42.44
964465648;15303;978.0;1483.0;-34;415.16;42.44
964465808;15304;978.0;1483.0;-34;415.16;42.44
964465946;15305;978.0;1483.0;-34;415.16;42.44
964466162;15306;978.0;1483.0;-34;415.16;42.44
964466435;15308;978.0;1483.0;-34;415.16;42.44
964466496;15309;978.0;1483.0;-34;415.16;42.44
967362700;23581;2012.0;3096.0;-35;521.92;21.83
964872716;02543;1939.0;2978.0;-35;428.8;18.62
326831330;0866;1846.0;2846.0;-35;437.0;19.92
199570372;02542;1939.0;2978.0;-35;428.8;18.62
216341344;1106;2431.0;3728.0;-35;580.31;20.09
199572930;21093;3387.0;5184.0;-35;797.0;19.81
199573031;21094;3387.0;5184.0;-35;797.0;19.81
964706953;01211;1978.0;3145.0;-37;292.91;12.46
964707110;01214;1978.0;3145.0;-37;292.91;12.46
964707227;01216;1978.0;3145.0;-37;292.91;12.46
