внешний код;модель ТК;медиана чиповых;цена молчуна;доля;поставщик;название;остаток
0330;178XL;350;132;0.38;"ООО ""ОДИССЕЙ"" WB";Картридж для HP CB323HE № 178XL Cyan AQUAMARINE (Совместим;73.0
0330;178XL;350;134;0.38;"ООО ""Солюшнс принт"" МСК";Картридж hp 178XL iC SP;153.0
0598;LC-1100Y;198;76;0.38;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC11/LC16/LC38/LC61/LC980/LC1100 (Hig;77.0
0792;CLT-K406S;556;210;0.38;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный G&G GG-K406S черный (1500стр.) для Samsu;14.0
1448;CLI-471XLGY;186;71;0.38;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-471XL PIXMA MG5740/6840/7740 Gray A;34.0
5446;TK-3430;2164;821;0.38;"ООО ""ТОНЕРСТОР""";Тонер-картридж Smart Graphics TK-3430 для Kyocera ECOSYS M;61.0
0595;LC-1100BK;189;74;0.39;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-LC1100BK/LC-980Bk) для Brother DCP-1;209.0
0598;LC-1100Y;198;78;0.39;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-LC1100Y/LC980Y) для Brother DCP-145C;82.0
1221;LC525XLY;229;89;0.39;"ООО ""КВК ТРЕЙД"" OEM";Картридж BROTHER LC525XLY DCP J100/J105/J200 Yellow SuperF;25.0
0595;LC-1100BK;189;76;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC11/LC16/LC38/LC61/LC980/LC1100K (Hi;73.0
0596;LC-1100C;189;76;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC11/LC16/LC38/LC61/LC980/LC1100 (Hig;78.0
0597;LC-1100M;189;76;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC11/LC16/LC38/LC61/LC980/LC1100(High;92.0
0799;177Y;208;84;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для HP C8773 № 177 Yellow AQUAMARINE (Совместимый;57.0
0800;177LC;208;84;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для HP C8774 № 177 Light Cyan AQUAMARINE (Совмест;95.0
0819;CLI-451C;207;84;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-451XL PIXMA iP7240/MG6340 Cyan AQUA;105.0
0820;CLI-451M;207;84;0.40;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon CLI-451XL PIXMA iP7240/MG6340 Magenta A;111.0
0866;TK-4105;1528;610;0.40;"ООО ""КОЛОРТЕК РУС""";Картридж Colortek Kyocera TK-4105;100.0
0917;T1291;219;88;0.40;"ООО ""ОДИССЕЙ""";Картридж для Epson T1291 SX420W/BX305F Black AQUAMARINE (С;62.0
0918;T1292;211;84;0.40;"ООО ""КОЛОРТЕК РУС""";Картридж T1292 Cyan CT;100.0
0920;T1294;208;84;0.40;"ООО ""КОЛОРТЕК РУС""";Картридж T1294 Yellow CT;100.0
0597;LC-1100M;189;78;0.41;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-LC1100M/LC980M) для Brother DCP-145C;76.0
0919;T1293;205;84;0.41;"ООО ""КОЛОРТЕК РУС""";Картридж T1293 Magenta CT;100.0
0596;LC-1100C;189;79;0.42;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-LC1100C/LC980C) для Brother DCP-145C;66.0
0918;T1292;211;88;0.42;"ООО ""ОДИССЕЙ""";Картридж для Epson T1292 SX420W/BX305F Cyan AQUAMARINE (Со;65.0
0920;T1294;208;88;0.42;"ООО ""ОДИССЕЙ""";Картридж для Epson T1294 SX420W/BX305F Yellow AQUAMARINE (;68.0
4334;TL-5120X;1624;689;0.42;"ООО ""ТОНЕРСТОР""";Тонер-картридж Smart Graphics TL-5120X для Pantum BP5100, ;660.0
0297;T0801;203;88;0.43;"ООО ""ОДИССЕЙ""";Картридж для Epson T0801 Stylus RX560/RX585/R285/R360/PX65;18.0
0919;T1293;205;88;0.43;"ООО ""ОДИССЕЙ""";Картридж для Epson T1293 SX420W/BX305F Magenta AQUAMARINE ;65.0
3066;T9452 C;1654;714;0.43;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-C13T945240 Т9452 голубой (66мл) д;8.0
0332;178XL;463;204;0.44;"ООО ""КВК ТРЕЙД"" OEM";Картридж HP CB325HE  № 178XL  SuperFine yellow;377.0
0598;LC-1100Y;198;88;0.44;"ООО ""КОМПАНИЯ БЛОССОМ""";Blossom BS-LC1100/980Y Струйный картридж для Brother LC11/;41.0
1330;CLT-Y404S;723;315;0.44;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный G&G GG-Y404S желтый (1000стр.) для Samsu;7.0
3622;177;274;120;0.44;"ООО ""КВК ТРЕЙД"" OEM";Картридж HP C8721  № 177 black SuperFine;37.0
1329;CLT-M404S;705;315;0.45;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный G&G GG-M404S пурпурный (1000стр.) для Sa;3.0
5446;TK-3430;2164;972;0.45;ИП Капшук Наталья Сергеевна;Тонер-картридж Kyocera ECOSYS MA5500ifx/PA5500x TK-3430 (2;50.0
0237;TK-1140;653;299;0.46;"ООО ""КВК ТРЕЙД"" OEM";Картридж Kyocera TK1140 FS-1035MFP/1135MFP 7.2K Compatible;203.0
