# oz_acc2: неделя 31.08–06.09 против 24.08–30.08; органика — неделя 24.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
bordeaux,floor,1883108656,4312F44HK3QD,"Картриджи DS TN-328K-TN-328C для принтеров Konica Minolta Bizhub C250i, C300i, C360i",10000-500000,12.0,6.0,-6.0,22.1,10.1,9.8,23054.0,0.02,справочная,12,1,54.9,0.0,0.0,54.9,8.33,,1,1.0,0.0,1.0,43.0000000000000000,48.0000000000000000,-5.0,51,26,0,10264,2,5,12,1,6684.0000,0,4,14,183.18,0.0,0,0,"1 кликов, 55 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 183 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2675948868,6282HEMM5AUR,"Картриджи DS C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",10000-500000,12.6,6.0,-6.6,35.6,23.0,12.7,23147.0,0.02,справочная,45,3,53.58,0.0,0.0,17.9,6.67,,2,10.17,1.0,5.1,50.0000000000000000,67.0000000000000000,-17.0,130,109,19630,292,6,3,15,1,20687.0000,2,12,5,63.75,1.0,0,0,"3 кликов, 54 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 64 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873145260,0900BRQKP06T,"Картриджи DS T1711-T1714 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423",от 0 до 3000,12.0,6.0,-6.0,11.8,-0.2,19.5,2032.0,0.04,справочная,177,4,53.09,0.0,0.0,13.3,2.26,,4,27.82,0.0,7.0,38.0000000000000000,67.0000000000000000,-29.0,134,48,0,5868,6,4,12,0,0,0,4,23,222.85,0.0,0,0,"4 кликов, 53 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 223 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1885394094,4540Z6UV1P2I,"Картридж DS 123 для принтеров HP DeskJet 1110, DeskJet 2130, OfficeJet 3830, OfficeJet3832 черный",5000-10000,12.0,6.0,-6.0,,,,5951.0,0.03,справочная,73,3,50.95,0.0,0.0,17.0,4.11,,1,9.26,0.0,9.3,97.0000000000000000,108.0000000000000000,-11.0,57,40,0,88,14,0,15,0,0,0,0,4,60.21,0.0,0,0,"3 кликов, 51 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 60 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1888929025,4770GICB01QJ,"Картридж DS M21-750499 для принтеров Brady BMP 21-LAB, BMP 21-PLUS",Все,9.0,6.0,-3.0,18.3,9.3,16.8,3870.0,0.04,справочная,139,5,47.06,0.0,0.0,9.4,3.6,,10,87.46,0.0,8.7,43.0000000000000000,47.0000000000000000,-4.0,61,11,0,188,8,2,11,0,0,0,3,26,235.68,1.0,0,0,"5 кликов, 47 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 236 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873190028,5243S2O54ZIU,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",10000-500000,17.0,6.0,-11.0,48.7,31.7,21.5,14748.0,0.02,справочная,131,2,40.78,0.0,0.0,20.4,1.53,,1,7.3,0.0,7.3,35.0000000000000000,35.0000000000000000,0.0,111,96,0,340,8,2,15,0,0,0,15,13,233.58,1.0,0,0,"2 кликов, 41 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 234 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873145260,0900BRQKP06T,"Картриджи DS T1711-T1714 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423",Все,8.0,6.0,-2.0,11.8,3.8,19.5,2032.0,0.04,справочная,386,5,39.65,0.0,0.0,7.9,1.3,,6,47.75,0.0,8.0,38.0000000000000000,67.0000000000000000,-29.0,134,48,0,5868,6,4,12,0,0,0,4,28,206.00,0.0,0,0,"5 кликов, 40 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 206 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,2073242583,5779TXZQT7Y9,Лента DS M210-750595WT для принтеров Brady M210 белый,Все,8.1,6.0,-2.1,15.8,7.7,17.1,3263.0,0.04,справочная,97,5,37.60,0.0,0.0,7.5,5.15,,3,27.68,0.0,9.2,23.0000000000000000,34.0000000000000000,-11.0,131,109,0,300,5,6,12,0,0,0,11,16,136.42,0.0,0,0,"5 кликов, 38 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 136 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883229918,1444M5NHQ8DJ,"Картриджи DS CLI-471XL для принтеров Canon Pixma MG5740, Pixma MG6840",Все,8.0,6.0,-2.0,14.9,6.9,18.4,2772.0,0.04,справочная,190,5,36.38,0.0,0.0,7.3,2.63,,5,56.62,0.0,11.3,83.0000000000000000,119.0000000000000000,-36.0,84,-14,0,1560,20,0,15,0,0,0,7,20,158.67,1.0,0,0,"5 кликов, 36 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 159 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873181823,1425D6DH9C5E,"Картридж DS 45807120 для принтеров OKI B412, Data B432, B432dn, B512, Kraftway KRP432, MB472dnw, MB492, MB562 MB562dnw черный",Все,8.0,6.0,-2.0,18.5,10.5,15.7,4312.0,0.04,справочная,158,6,28.59,0.0,0.0,4.8,3.8,,1,1.0,0.0,1.0,24.0000000000000000,18.0000000000000000,6.0,104,36,0,9521,2,8,15,0,0,0,3,21,92.78,0.0,0,0,"6 кликов, 29 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 93 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883145142,5593WSJKPDT1,Картридж DS M210-750-430 для принтеров Brady M210 черный,Все,8.0,6.0,-2.0,20.4,12.4,16.7,4361.0,0.04,справочная,42,3,24.26,0.0,0.0,8.1,7.14,,1,7.33,0.0,7.3,53.0000000000000000,56.0000000000000000,-3.0,33,-11,0,51,12,0,13,0,0,0,1,16,112.18,0.0,0,0,"3 кликов, 24 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 112 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873186597,0838P2EY3O2M,"Картридж DS T1711 для принтеров Epson Expression Home XP-103, XP 203, XP207, XP-303, XP306, XP 313, XP 33, XP403 XP413 XP 423 черный",Все,6.0,6.0,0.0,0.4,-5.6,6.2,602.0,0.06,справочная,98,4,23.98,0.0,0.0,6.0,4.08,,2,11.01,0.0,5.5,65.0000000000000000,228.0000000000000000,-163.0,46,7,0,64,19,0,15,0,0,0,1,16,102.06,0.0,0,2,"4 кликов, 24 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 102 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1822913370,0310USIWY3CE,"Картридж DS 134 для принтеров HP DeskJet 5743, DeskJet 5943, OfficeJet 100, OfficeJet 150, PhotoSmart 2573, PhotoSmart 2575, PSC-1613, PSC-2353 цветной",Все,8.0,6.0,-2.0,21.9,13.9,19.1,3891.0,0.04,справочная,101,3,23.33,0.0,0.0,7.8,2.97,,1,7.19,0.0,7.2,81.0000000000000000,66.0000000000000000,15.0,45,5,0,3042,21,0,14,0,0,0,4,16,124.01,0.0,0,1,"3 кликов, 23 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 124 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873180128,1458HA6NKXG9,"Картридж DS PGI-470XLBk для принтеров Canon Pixma MG5740, Pixma MG6840 черный",Все,11.0,6.0,-5.0,2.5,-8.5,10.7,717.0,0.06,справочная,103,2,22.64,0.0,0.0,11.3,1.94,,1,9.65,0.0,9.7,71.0000000000000000,71.0000000000000000,0.0,88,5,0,216,6,1,13,0,0,0,11,15,154.66,1.0,0,0,"2 кликов, 23 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 155 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1822890502,0098P06FJK2O,"Картриджи DS T0551-T0554 для принтеров Epson Stylus Photo R240, Stylus Photo R245",Все,8.1,6.0,-2.1,15.5,7.4,17.9,3009.0,0.04,справочная,95,5,17.50,0.0,0.0,3.5,5.26,,1,17.96,0.0,18.0,82.0000000000000000,66.0000000000000000,16.0,26,-34,0,40,1,2,15,0,0,0,1,24,163.68,0.0,0,0,"5 кликов, 18 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 164 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883236642,1253K157GPZX,"Картридж DS PGI-425PGBK для принтеров Canon Pixma iP4840, PixmaiP4940 черный",Все,9.0,6.0,-3.0,0.0,-9.0,-2.6,593.0,0.06,справочная,135,2,16.50,0.0,0.0,8.2,1.48,,1,8.48,0.0,8.5,65.0000000000000000,74.0000000000000000,-9.0,53,-6,0,143,2,1,15,0,0,0,6,19,157.89,2.0,0,0,"2 кликов, 16 ₽ и ни одного заказа за неделю (за всё время 2 заказ(ов) при 158 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883237065,3564WMC9JF0U,"Картриджи DS PFI-120 для принтеров Canon iPF TM200, iPFTM205",Все,8.0,6.0,-2.0,29.5,21.5,11.1,24179.0,0.02,справочная,62,1,14.69,0.0,0.0,14.7,1.61,,0,0.0,0.0,,50.0000000000000000,47.0000000000000000,3.0,21,-30,0,27,6,3,15,0,0,0,3,16,140.68,1.0,0,0,"1 кликов, 15 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 141 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2699068044,6461R2LC52BY,"Чернила DS 115 для принтеров Epson EcoTank L8160, EcoTank L8180",Все,9.0,6.0,-3.0,15.7,6.7,18.4,2937.0,0.04,справочная,70,1,8.53,0.0,0.0,8.5,1.43,,4,35.95,0.0,9.0,157.0000000000000000,132.0000000000000000,25.0,27,-11,2705,284,16,0,15,1,2258.0000,2,8,31,276.23,0.0,0,0,"1 кликов, 9 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 276 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1888949146,4650BFKOYRSE,Картриджи DS TK-8545 для принтеров Kyocera TASKalfa 4054ci,10000-500000,13.0,6.0,-7.0,39.6,26.6,10.5,35992.0,0.02,справочная,36,1,7.99,0.0,0.0,8.0,2.78,,0,0.0,0.0,,89.0000000000000000,57.0000000000000000,32.0,36,25,0,51,2,3,11,0,0,0,5,20,201.43,0.0,0,0,"1 кликов, 8 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 201 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1873140453,5422YHSC5BIR,"Картриджи DS 067H для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw",10000-500000,13.0,6.0,-7.0,54.8,41.8,13.5,10750.0,0.06,факт,42,1,1.0,0.0,0.0,1.0,2.38,,7,86.28,0.0,12.3,30.0000000000000000,29.0000000000000000,1.0,337,21,0,424,7,1,12,4,41024.0000,2,30,33,443.73,3.0,0,0,"1 кликов, 1 ₽ и ни одного заказа за неделю (за всё время 3 заказ(ов) при 444 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883134379,1550R9P2HBDH,"Картридж DS №934XL для принтеров HP OfficeJet Pro 6230, OfficeJet Pro 6830 черный",от 0 до 3000,12.0,6.0,-6.0,4.2,-7.8,12.6,917.0,0.06,справочная,100,0,0.0,0.0,0.0,,0.0,,5,87.04,0.0,17.4,34.0000000000000000,39.0000000000000000,-5.0,106,32,0,1101,3,7,14,1,898.0000,0,2,12,180.04,1.0,0,0,"0 кликов, 0 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 180 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2698086971,6409ZEMQ4799,Картридж DS TK-5450B для принтеров Kyocera ECOSYS MA2600cfx черный,от 0 до 3000,13.0,6.0,-7.0,17.5,4.5,16.2,3910.0,0.04,справочная,60,0,0.0,0.0,0.0,,0.0,,1,8.51,0.0,8.5,56.0000000000000000,25.0000000000000000,31.0,65,-72,0,4760,8,1,15,0,0,1,20,14,157.24,1.0,0,0,"0 кликов, 0 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 157 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2699040524,6456RNAWZQW0,"Чернила DS 115PBK для принтеров Epson EcoTank L8160, EcoTank L8180 фото-черный",Все,8.0,6.0,-2.0,0.0,-8.0,-25.0,640.0,0.06,справочная,118,0,0.0,0.0,0.0,,0.0,,2,15.43,0.0,7.7,119.0000000000000000,90.0000000000000000,29.0,130,47,648,1055,18,0,15,0,0,3,13,18,148.05,1.0,0,0,"0 кликов, 0 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 148 ₽). Ставка в пол, показы оставляем"
